label,key,wave,stance_1,stance_2,polarity,explicitness,strength,topic_1,topic_2,topic_conf_1,topic_conf_2,assigned_prob_1,assigned_prob_2
02__qwen3-embedding-0.6b__run_20260210_221633_570b87a6,3d1ddc23b606b8c8,1,I eat meat at least once a day,I grew up eating meat at meals,positive,explicit,90,14,-1,1.0,0.0238021048217297,1.0,
02__qwen3-embedding-0.6b__run_20260210_221633_570b87a6,3d1ddc23b606b8c8,1,I eat meat at least once a day,Meat-eating is a family tradition,positive,explicit,85,14,0,1.0,0.1288902431587146,1.0,0.1288902431587146
02__qwen3-embedding-0.6b__run_20260210_221633_570b87a6,3d1ddc23b606b8c8,1,I eat meat at least once a day,My family eats meat as main portion,positive,explicit,80,14,0,1.0,1.0,1.0,1.0
02__qwen3-embedding-0.6b__run_20260210_221633_570b87a6,3d1ddc23b606b8c8,1,I grew up eating meat at meals,Meat-eating is a family tradition,positive,explicit,95,-1,0,0.0238021048217297,0.1288902431587146,,0.1288902431587146
02__qwen3-embedding-0.6b__run_20260210_221633_570b87a6,3d1ddc23b606b8c8,1,I grew up eating meat at meals,My parents served meat with dinner,positive,explicit,100,-1,0,0.0238021048217297,0.5535936016836839,,0.5535936016836839
02__qwen3-embedding-0.6b__run_20260210_221633_570b87a6,3d1ddc23b606b8c8,1,I grew up eating meat at meals,My family eats meat as main portion,positive,explicit,75,-1,0,0.0238021048217297,1.0,,1.0
02__qwen3-embedding-0.6b__run_20260210_221633_570b87a6,3d1ddc23b606b8c8,1,Meat-eating is a family tradition,My family eats meat as main portion,positive,explicit,85,0,0,0.1288902431587146,1.0,0.1288902431587146,1.0
02__qwen3-embedding-0.6b__run_20260210_221633_570b87a6,3d1ddc23b606b8c8,1,Meat-eating is a family tradition,My parents served meat with dinner,positive,explicit,90,0,0,0.1288902431587146,0.5535936016836839,0.1288902431587146,0.5535936016836839
02__qwen3-embedding-0.6b__run_20260210_221633_570b87a6,3d1ddc23b606b8c8,1,I eat meat at least once a day,My religious beliefs justify eating animals,positive,explicit,50,14,1,1.0,0.100277043260619,1.0,0.100277043260619
02__qwen3-embedding-0.6b__run_20260210_221633_570b87a6,3d1ddc23b606b8c8,1,I feel guilty about eating animals,I eat meat at least once a day,negative,explicit,75,1,14,0.0907751317815929,1.0,0.0772137007073695,1.0
02__qwen3-embedding-0.6b__run_20260210_221633_570b87a6,3d1ddc23b606b8c8,1,I feel guilty about eating animals,My religious beliefs justify eating animals,negative,explicit,80,1,1,0.0907751317815929,0.100277043260619,0.0772137007073695,0.100277043260619
02__qwen3-embedding-0.6b__run_20260210_221633_570b87a6,3d1ddc23b606b8c8,1,I feel guilty about eating animals,Meat-eating is a family tradition,negative,implicit,35,1,0,0.0907751317815929,0.1288902431587146,0.0772137007073695,0.1288902431587146
02__qwen3-embedding-0.6b__run_20260210_221633_570b87a6,3d1ddc23b606b8c8,1,I feel guilty about eating animals,My family eats meat as main portion,negative,implicit,30,1,0,0.0907751317815929,1.0,0.0772137007073695,1.0
02__qwen3-embedding-0.6b__run_20260210_221633_570b87a6,3d1ddc23b606b8c8,1,I feel guilty about eating animals,I grew up eating meat at meals,negative,implicit,25,1,-1,0.0907751317815929,0.0238021048217297,0.0772137007073695,
02__qwen3-embedding-0.6b__run_20260210_221633_570b87a6,242bdf6bc5bb0b94,1,Doctor recommended I eat lean beef,I am chronically anemic,positive,explicit,100,4,3,0.2197912901552396,0.0736409012783963,0.2197912901552396,0.0736409012783963
02__qwen3-embedding-0.6b__run_20260210_221633_570b87a6,242bdf6bc5bb0b94,1,Doctor recommended I eat lean beef,I eat meat at least once daily,positive,explicit,80,4,14,0.2197912901552396,1.0,0.2197912901552396,1.0
02__qwen3-embedding-0.6b__run_20260210_221633_570b87a6,242bdf6bc5bb0b94,1,Doctor recommended I eat lean beef,I sometimes reduce meat due to health issues,negative,explicit,80,4,4,0.2197912901552396,1.0,0.2197912901552396,1.0
