label,key,wave,stance_1,stance_2,polarity,explicitness,strength,topic_1,topic_2,topic_conf_1,topic_conf_2,assigned_prob_1,assigned_prob_2
08__all-MiniLM-L6-v2__run_20260210_222527_5fffdd10,3d1ddc23b606b8c8,1,I eat meat at least once a day,I grew up eating meat at meals,positive,explicit,90,16,-1,1.0,0.0169999223393251,1.0,
08__all-MiniLM-L6-v2__run_20260210_222527_5fffdd10,3d1ddc23b606b8c8,1,I eat meat at least once a day,Meat-eating is a family tradition,positive,explicit,85,16,1,1.0,0.1099853133277814,1.0,0.1099853133277814
08__all-MiniLM-L6-v2__run_20260210_222527_5fffdd10,3d1ddc23b606b8c8,1,I eat meat at least once a day,My family eats meat as main portion,positive,explicit,80,16,1,1.0,1.0,1.0,1.0
08__all-MiniLM-L6-v2__run_20260210_222527_5fffdd10,3d1ddc23b606b8c8,1,I grew up eating meat at meals,Meat-eating is a family tradition,positive,explicit,95,-1,1,0.0169999223393251,0.1099853133277814,,0.1099853133277814
08__all-MiniLM-L6-v2__run_20260210_222527_5fffdd10,3d1ddc23b606b8c8,1,I grew up eating meat at meals,My parents served meat with dinner,positive,explicit,100,-1,1,0.0169999223393251,0.7591585710152794,,0.7591585710152794
08__all-MiniLM-L6-v2__run_20260210_222527_5fffdd10,3d1ddc23b606b8c8,1,I grew up eating meat at meals,My family eats meat as main portion,positive,explicit,75,-1,1,0.0169999223393251,1.0,,1.0
08__all-MiniLM-L6-v2__run_20260210_222527_5fffdd10,3d1ddc23b606b8c8,1,Meat-eating is a family tradition,My family eats meat as main portion,positive,explicit,85,1,1,0.1099853133277814,1.0,0.1099853133277814,1.0
08__all-MiniLM-L6-v2__run_20260210_222527_5fffdd10,3d1ddc23b606b8c8,1,Meat-eating is a family tradition,My parents served meat with dinner,positive,explicit,90,1,1,0.1099853133277814,0.7591585710152794,0.1099853133277814,0.7591585710152794
08__all-MiniLM-L6-v2__run_20260210_222527_5fffdd10,3d1ddc23b606b8c8,1,I eat meat at least once a day,My religious beliefs justify eating animals,positive,explicit,50,16,8,1.0,1.0,1.0,1.0
08__all-MiniLM-L6-v2__run_20260210_222527_5fffdd10,3d1ddc23b606b8c8,1,I feel guilty about eating animals,I eat meat at least once a day,negative,explicit,75,8,16,1.0,1.0,1.0,1.0
