label,key,wave,stance_1,stance_2,polarity,explicitness,strength,topic_1,topic_2,topic_conf_1,topic_conf_2,assigned_prob_1,assigned_prob_2
09__all-MiniLM-L6-v2__run_20260210_222432_3c9714b4,3d1ddc23b606b8c8,1,I eat meat at least once a day,I grew up eating meat at meals,positive,explicit,90,5,-1,1.0,0.0087118847023843,1.0,
09__all-MiniLM-L6-v2__run_20260210_222432_3c9714b4,3d1ddc23b606b8c8,1,I eat meat at least once a day,Meat-eating is a family tradition,positive,explicit,85,5,1,1.0,0.2987769249487542,1.0,0.2987769249487542
09__all-MiniLM-L6-v2__run_20260210_222432_3c9714b4,3d1ddc23b606b8c8,1,I eat meat at least once a day,My family eats meat as main portion,positive,explicit,80,5,1,1.0,1.0,1.0,1.0
09__all-MiniLM-L6-v2__run_20260210_222432_3c9714b4,3d1ddc23b606b8c8,1,I grew up eating meat at meals,Meat-eating is a family tradition,positive,explicit,95,-1,1,0.0087118847023843,0.2987769249487542,,0.2987769249487542
09__all-MiniLM-L6-v2__run_20260210_222432_3c9714b4,3d1ddc23b606b8c8,1,I grew up eating meat at meals,My parents served meat with dinner,positive,explicit,100,-1,1,0.0087118847023843,0.7414659845247022,,0.7414659845247022
09__all-MiniLM-L6-v2__run_20260210_222432_3c9714b4,3d1ddc23b606b8c8,1,I grew up eating meat at meals,My family eats meat as main portion,positive,explicit,75,-1,1,0.0087118847023843,1.0,,1.0
09__all-MiniLM-L6-v2__run_20260210_222432_3c9714b4,3d1ddc23b606b8c8,1,Meat-eating is a family tradition,My family eats meat as main portion,positive,explicit,85,1,1,0.2987769249487542,1.0,0.2987769249487542,1.0
09__all-MiniLM-L6-v2__run_20260210_222432_3c9714b4,3d1ddc23b606b8c8,1,Meat-eating is a family tradition,My parents served meat with dinner,positive,explicit,90,1,1,0.2987769249487542,0.7414659845247022,0.2987769249487542,0.7414659845247022
09__all-MiniLM-L6-v2__run_20260210_222432_3c9714b4,3d1ddc23b606b8c8,1,I eat meat at least once a day,My religious beliefs justify eating animals,positive,explicit,50,5,8,1.0,1.0,1.0,1.0
09__all-MiniLM-L6-v2__run_20260210_222432_3c9714b4,3d1ddc23b606b8c8,1,I feel guilty about eating animals,I eat meat at least once a day,negative,explicit,75,8,5,1.0,1.0,1.0,1.0
09__all-MiniLM-L6-v2__run_20260210_222432_3c9714b4,3d1ddc23b606b8c8,1,I feel guilty about eating animals,My religious beliefs justify eating animals,negative,explicit,80,8,8,1.0,1.0,1.0,1.0
