label,key,wave,stance_1,stance_2,polarity,explicitness,strength,topic_1,topic_2,topic_conf_1,topic_conf_2,assigned_prob_1,assigned_prob_2
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,3d1ddc23b606b8c8,1,I eat meat at least once a day,I grew up eating meat at meals,positive,explicit,90,6,-1,1.0,0.0247988372182381,1.0,
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,3d1ddc23b606b8c8,1,I eat meat at least once a day,Meat-eating is a family tradition,positive,explicit,85,6,7,1.0,1.0,1.0,1.0
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,3d1ddc23b606b8c8,1,I eat meat at least once a day,My family eats meat as main portion,positive,explicit,80,6,7,1.0,0.6805657926034494,1.0,0.6805657926034494
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,3d1ddc23b606b8c8,1,I grew up eating meat at meals,Meat-eating is a family tradition,positive,explicit,95,-1,7,0.0247988372182381,1.0,,1.0
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,3d1ddc23b606b8c8,1,I grew up eating meat at meals,My parents served meat with dinner,positive,explicit,100,-1,7,0.0247988372182381,1.0,,1.0
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,3d1ddc23b606b8c8,1,I grew up eating meat at meals,My family eats meat as main portion,positive,explicit,75,-1,7,0.0247988372182381,0.6805657926034494,,0.6805657926034494
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,3d1ddc23b606b8c8,1,Meat-eating is a family tradition,My family eats meat as main portion,positive,explicit,85,7,7,1.0,0.6805657926034494,1.0,0.6805657926034494
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,3d1ddc23b606b8c8,1,Meat-eating is a family tradition,My parents served meat with dinner,positive,explicit,90,7,7,1.0,1.0,1.0,1.0
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,3d1ddc23b606b8c8,1,I eat meat at least once a day,My religious beliefs justify eating animals,positive,explicit,50,6,13,1.0,0.2464827612635325,1.0,0.2464827612635325
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,3d1ddc23b606b8c8,1,I feel guilty about eating animals,I eat meat at least once a day,negative,explicit,75,3,6,1.0,1.0,1.0,1.0
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,3d1ddc23b606b8c8,1,I feel guilty about eating animals,My religious beliefs justify eating animals,negative,explicit,80,3,13,1.0,0.2464827612635325,1.0,0.2464827612635325
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,3d1ddc23b606b8c8,1,I feel guilty about eating animals,Meat-eating is a family tradition,negative,implicit,35,3,7,1.0,1.0,1.0,1.0
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,3d1ddc23b606b8c8,1,I feel guilty about eating animals,My family eats meat as main portion,negative,implicit,30,3,7,1.0,0.6805657926034494,1.0,0.6805657926034494
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,3d1ddc23b606b8c8,1,I feel guilty about eating animals,I grew up eating meat at meals,negative,implicit,25,3,-1,1.0,0.0247988372182381,1.0,
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,242bdf6bc5bb0b94,1,Doctor recommended I eat lean beef,I am chronically anemic,positive,explicit,100,-1,12,0.2698481771890591,1.0,,1.0
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,242bdf6bc5bb0b94,1,Doctor recommended I eat lean beef,I eat meat at least once daily,positive,explicit,80,-1,6,0.2698481771890591,1.0,,1.0
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,242bdf6bc5bb0b94,1,Doctor recommended I eat lean beef,I sometimes reduce meat due to health issues,negative,explicit,80,-1,1,0.2698481771890591,1.0,,1.0
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,242bdf6bc5bb0b94,1,Eating meat is a family tradition,I eat meat at least once daily,positive,explicit,90,7,6,1.0,1.0,1.0,1.0
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,242bdf6bc5bb0b94,1,Eating meat is a family tradition,I was raised on a farm,positive,explicit,90,7,9,1.0,0.3640625369290211,1.0,0.3640625369290211
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,242bdf6bc5bb0b94,1,Eating meat is a family tradition,Some relatives hunt and eat game meats,positive,explicit,85,7,7,1.0,1.0,1.0,1.0
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,242bdf6bc5bb0b94,1,I eat meat at least once daily,I have no moral issues eating meat,positive,explicit,75,6,18,1.0,1.0,1.0,1.0
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,242bdf6bc5bb0b94,1,I eat meat at least once daily,I like the taste of meat,positive,explicit,70,6,-1,1.0,0.005957041295434,1.0,
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,242bdf6bc5bb0b94,1,I eat meat at least once daily,I sometimes reduce meat due to health issues,negative,explicit,70,6,1,1.0,1.0,1.0,1.0
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,242bdf6bc5bb0b94,1,I have no moral issues eating meat,I like the taste of meat,positive,implicit,60,18,-1,1.0,0.005957041295434,1.0,
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,242bdf6bc5bb0b94,1,I have no moral issues eating meat,I sometimes reduce meat due to health issues,positive,explicit,65,18,1,1.0,1.0,1.0,1.0
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,242bdf6bc5bb0b94,1,I sometimes reduce meat due to health issues,I believe too much meat can harm health,positive,explicit,90,1,3,1.0,0.8373171425089834,1.0,0.8373171425089834
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,242bdf6bc5bb0b94,1,I like the taste of meat,I was raised on a farm,positive,implicit,50,-1,9,0.005957041295434,0.3640625369290211,,0.3640625369290211
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,242bdf6bc5bb0b94,1,Eating meat is a family tradition,I have no moral issues eating meat,positive,explicit,65,7,18,1.0,1.0,1.0,1.0
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,242bdf6bc5bb0b94,1,I eat meat at least once daily,I was raised on a farm,positive,explicit,80,6,9,1.0,0.3640625369290211,1.0,0.3640625369290211
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,242bdf6bc5bb0b94,1,I am chronically anemic,I sometimes reduce meat due to health issues,negative,explicit,60,12,1,1.0,1.0,1.0,1.0
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,242bdf6bc5bb0b94,1,I eat meat at least once daily,I believe too much meat can harm health,negative,explicit,55,6,3,1.0,0.8373171425089834,1.0,0.8373171425089834
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,c0ac91fae56c6ec3,1,I choose chicken and turkey for health,I think chicken and turkey are healthier,positive,explicit,100,4,2,0.4641716158905215,0.1705758199209068,0.4641716158905215,0.1705758199209068
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,c0ac91fae56c6ec3,1,I choose chicken and turkey for health,I reduce beef or pork when dieting,positive,explicit,80,4,1,0.4641716158905215,0.4470444503662203,0.4641716158905215,0.4470444503662203
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,c0ac91fae56c6ec3,1,I choose chicken and turkey for health,I eat lean beef to reduce fat,positive,explicit,60,4,-1,0.4641716158905215,0.2294438064959322,0.4641716158905215,
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,c0ac91fae56c6ec3,1,I eat lean beef to reduce fat,I reduce beef or pork when dieting,positive,explicit,80,-1,1,0.2294438064959322,0.4470444503662203,,0.4470444503662203
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,c0ac91fae56c6ec3,1,I eat lean beef to reduce fat,I think chicken and turkey are healthier,positive,implicit,50,-1,2,0.2294438064959322,0.1705758199209068,,0.1705758199209068
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,c0ac91fae56c6ec3,1,I like the taste of meat,I eat meat every day,positive,explicit,90,-1,6,0.0059655680379741,0.0559338378262382,,0.0559338378262382
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,c0ac91fae56c6ec3,1,I like the taste of meat,I prefer beef for hamburgers and sloppy joes,positive,explicit,90,-1,4,0.0059655680379741,0.1428305270405666,,0.1428305270405666
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,c0ac91fae56c6ec3,1,I like the taste of meat,Social contacts like the taste of meat,positive,explicit,70,-1,2,0.0059655680379741,0.1229472463336575,,0.1229472463336575
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,c0ac91fae56c6ec3,1,I eat meat every day,Those around me eat meat regularly,positive,explicit,75,6,11,0.0559338378262382,1.0,0.0559338378262382,1.0
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,c0ac91fae56c6ec3,1,I prefer beef for hamburgers and sloppy joes,I think chicken and turkey are healthier,negative,explicit,70,4,2,0.1428305270405666,0.1705758199209068,0.1428305270405666,0.1705758199209068
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,c0ac91fae56c6ec3,1,I prefer beef for hamburgers and sloppy joes,I choose chicken and turkey for health,negative,explicit,70,4,4,0.1428305270405666,0.4641716158905215,0.1428305270405666,0.4641716158905215
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,c0ac91fae56c6ec3,1,I like the taste of meat,I choose chicken and turkey for health,negative,implicit,60,-1,4,0.0059655680379741,0.4641716158905215,,0.4641716158905215
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,c0ac91fae56c6ec3,1,I prefer beef for hamburgers and sloppy joes,I reduce beef or pork when dieting,negative,explicit,65,4,1,0.1428305270405666,0.4470444503662203,0.1428305270405666,0.4470444503662203
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,c0ac91fae56c6ec3,1,I eat lean beef to reduce fat,I prefer beef for hamburgers and sloppy joes,negative,explicit,60,-1,4,0.2294438064959322,0.1428305270405666,,0.1428305270405666
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,c0ac91fae56c6ec3,1,I think chicken and turkey are healthier,I reduce beef or pork when dieting,positive,explicit,70,2,1,0.1705758199209068,0.4470444503662203,0.1705758199209068,0.4470444503662203
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,8f96fa223f234180,1,I am concerned about my health,I have tried to cut back on processed meat,positive,explicit,90,12,5,1.0,0.4803679550581886,1.0,0.4803679550581886
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,8f96fa223f234180,1,I am concerned about my health,I have tried to cut back on red meat,positive,explicit,95,12,1,1.0,0.2151310246388802,1.0,0.2151310246388802
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,8f96fa223f234180,1,I am concerned about my health,I want to improve cholesterol and blood work,positive,explicit,100,12,-1,1.0,0.2206338165077308,1.0,
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,8f96fa223f234180,1,I eat more chicken and fish now,I have tried to cut back on red meat,positive,explicit,85,4,1,0.2603125330564321,0.2151310246388802,0.2603125330564321,0.2151310246388802
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,8f96fa223f234180,1,"I am fond of chicken, turkey, and fish",I eat more chicken and fish now,positive,explicit,80,4,4,0.3237292727086859,0.2603125330564321,0.3237292727086859,0.2603125330564321
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,8f96fa223f234180,1,I do not control grocery shopping or meal planning,I have tried to cut back on red meat,negative,explicit,90,18,1,1.0,0.2151310246388802,1.0,0.2151310246388802
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,8f96fa223f234180,1,I do not control grocery shopping or meal planning,I have tried to cut back on processed meat,negative,explicit,80,18,5,1.0,0.4803679550581886,1.0,0.4803679550581886
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,8f96fa223f234180,1,I eat meat whenever I choose to,I do not control grocery shopping or meal planning,positive,implicit,40,5,18,0.1961603945933986,1.0,0.1961603945933986,1.0
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,8f96fa223f234180,1,I eat meat whenever I choose to,I eat more chicken and fish now,positive,implicit,35,5,4,0.1961603945933986,0.2603125330564321,0.1961603945933986,0.2603125330564321
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,8f96fa223f234180,1,I eat meat whenever I choose to,I have tried to cut back on processed meat,negative,implicit,30,5,5,0.1961603945933986,0.4803679550581886,0.1961603945933986,0.4803679550581886
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,8f96fa223f234180,1,I eat meat whenever I choose to,I have tried to cut back on red meat,negative,implicit,30,5,1,0.1961603945933986,0.2151310246388802,0.1961603945933986,0.2151310246388802
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,8f96fa223f234180,1,I have tried to cut back on processed meat,I have tried to cut back on red meat,positive,implicit,50,5,1,0.4803679550581886,0.2151310246388802,0.4803679550581886,0.2151310246388802
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,8f96fa223f234180,1,I have tried to cut back on red meat,I want to improve cholesterol and blood work,positive,explicit,95,1,-1,0.2151310246388802,0.2206338165077308,0.2151310246388802,
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,8f96fa223f234180,1,I have tried to cut back on processed meat,I want to improve cholesterol and blood work,positive,implicit,60,5,-1,0.4803679550581886,0.2206338165077308,0.4803679550581886,
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,24e9f4a8dba444ba,1,Eating meat feels natural to me,Eating meat is a habit for me,positive,explicit,95,2,-1,0.271390741995741,0.0253800278970842,0.271390741995741,
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,24e9f4a8dba444ba,1,Eating meat is a habit for me,I have always eaten and cooked with meat,positive,explicit,90,-1,-1,0.0253800278970842,0.1282162536122695,,
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,24e9f4a8dba444ba,1,I have always eaten and cooked with meat,My parents cooked with meat,positive,explicit,95,-1,7,0.1282162536122695,1.0,,1.0
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,24e9f4a8dba444ba,1,I eat a lot of chicken,I eat meat 1-2 times a day,positive,explicit,90,-1,6,0.1050609633716302,1.0,,1.0
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,24e9f4a8dba444ba,1,Eating meat is a habit for me,Most friends and family eat meat,positive,explicit,80,-1,14,0.0253800278970842,0.271202058831428,,0.271202058831428
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,24e9f4a8dba444ba,1,Most friends and family eat meat,My parents cooked with meat,positive,implicit,60,14,7,0.271202058831428,1.0,0.271202058831428,1.0
