Topic,N present (W1),Retained in W2,N absent (W1),Acquired in W2,Difference,Topic degree (W1)
-1,126,0.63,84,0.48,0.16,3.03
0,183,0.91,27,0.59,0.31,4.77
1,140,0.78,70,0.49,0.29,2.54
2,79,0.59,131,0.24,0.35,2.73
3,89,0.6,121,0.13,0.46,2.63
4,49,0.73,161,0.12,0.62,3.69
5,69,0.58,141,0.28,0.3,3.01
6,53,0.47,157,0.22,0.26,2.83
7,48,0.48,162,0.12,0.36,2.83
8,46,0.76,164,0.12,0.65,3.74
9,57,0.46,153,0.17,0.29,2.82
10,38,0.74,172,0.1,0.63,3.29
11,41,0.51,169,0.17,0.35,2.68
12,32,0.53,178,0.16,0.37,2.91
13,47,0.32,163,0.1,0.22,3.17
14,35,0.34,175,0.11,0.23,1.8
