Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,683,OUTLIER,I enjoy the taste of meat,I grew up eating meat at meals,I feel guilty about eating animals,I was raised on a farm,I am chronically anemic
0,361,"family, meat family, social, meat, friends, contacts, social contacts, eats, family eats, eats meat",My family eats meat with every meal,My family loves to eat meat,My family accommodates my meat preferences,My family eats a variety of meats,My family enjoys the taste of meat
1,240,"chicken, fish, eat chicken, eat, turkey, chicken fish, chicken eat, chicken turkey, eat fish, eat chicken fish",I mostly eat chicken,I increase chicken and fish for weight loss,I eat a lot of chicken,Chicken and fish agree with me,I eat a lot of chicken and fish
2,217,"meat, red meat, red, consumption, limit, meat consumption, cut, try, reduce, reducing",I have cut back on some meat,I believe not eating meat is deprivation,I try to eat less meat for health,I try to eat less meat,I want to lower my meat intake
3,180,"avoid, avoid eating, pork, meat avoid, eating, processed, meat, beef, avoid pork, meats avoid",I avoid red meat and pork,I avoid processed meat products,I avoid eating red meat,Some family do not eat pork,I avoid processed meat
4,178,"vegetarian, vegan, plantbased, vegetables, meals, vegetarian meals, plantbased meals, balance, balance meat, vegetarians",My family is vegetarian,I occasionally eat vegan and meatless options,No vegetarians in my social circle,I am happy with vegetarian meals,My sister is a vegetarian
5,169,"concerns, meat, health, red meat, red, environmental, health concerns, unhealthy, ethical, eating",I am concerned about fake meat products,I am concerned about sustainability of meat,I am concerned about health problems from meat,Family has concerns about red meat health effects,I am concerned about antibiotics in meat
6,149,"expensive, meat expensive, meat, prices, meat prices, choices, cost, convenient, influences, price",Red meat is expensive,Meat is expensive at every meal,Rising meat prices affect my purchases,Vegetarian meals are more expensive locally,Meat is expensive
7,137,"husband, wife, meat, red meat, red, meat health, friends, reasons, eats, meat husband",Some family avoid red meat for health,Friends avoid chemical additives in food,My significant other has IBS,My eating habits influenced by my partner,My wife cannot tolerate beef
8,123,"animal, welfare, animal welfare, concerned animal, concerned animal welfare, concerned, animal welfare concerned, welfare concerned, animals, welfare concerned animal",I am concerned about animal rights,I am concerned about animal welfare,I am concerned about harming animals,I believe factory farming is cruel,I am concerned about animal cruelty
9,113,"protein, believe, meat protein, believe meat, protein meat, source, meat, protein believe, eat meat protein, meat good",I think meat is a complete protein,I eat meat for protein,I believe meat is good for you,I believe meat provides essential nutrients,I believe meat keeps muscles healthy
10,105,"health, cholesterol, concerned health, concerned, concerns, health concerns, health concerned, heart, cholesterol concerned, concerned health concerned",I have health concerns,I am concerned about my health,I am concerned about health impacts,I discuss health risks with my friend,I had colon cancer
11,103,"habit, eating, eating meat, crave, meat habit, eating meat habit, like, meat, meat crave, meat feels",I eat meat when craving it,Meat-eating is ingrained in my lifestyle,I crave meat during pregnancy,Eating meat is normal for me,I am obsessed with being a carnivore
12,99,"eat, eat meat regularly, regularly, regularly eat, meat regularly, eat meat, meat regularly eat, regularly eat meat, meat, meat eat",I eat red meat occasionally,I eat meat regularly,I eat meat for lunch or dinner,I have always eaten meat,I eat meat often
13,99,"want, weight, motivated, weight want, lose, motivated health, healthy, lose weight, health, lose weight want",I am motivated by health concerns,Social contacts watch their weight,I want better health,I want healthy hair,I want to stay healthy
14,96,"protein, want protein, want, protein want, protein want protein, want protein want, need, need protein, protein diet, high protein",I need high protein intake,I seek alternative protein sources,I want to get enough protein,I want protein for energy and focus,I try to include more protein
15,88,"environmental, concerned, impact, environmental impact, environment, concerned environmental, concerned environmental impact, impact concerned, environmental impact concerned, environment concerned",I care about sustainability,I care about the environment,I am concerned about environmental impacts,I am concerned about environmental impact,I want to reduce environmental blueprint
16,83,"like taste meat, like taste, meat meat, like, taste meat meat, taste meat, taste, meat tastes, tastes, meat",Meat tastes great with meals,Meat makes meals feel substantial to contacts,I think meat is delicious,A meal feels incomplete without meat,Meat is tasty to eat
17,82,"diet, balanced, moderation, want, balanced diet, meat moderation, foods, variety, try, eat healthier",I am very conscious about my diet,I do intermittent fasting,I cannot stick to eating only salads,I want variety in my diet,I want to eat healthier
18,77,"day eat, day, day eat meat, meat day eat, meat day, eat meat day, daily eat, daily, eat meat, daily eat meat",I eat meat every day,I eat meat most days,I eat meat almost every day,I eat meat almost daily,I eat meat daily
19,76,"meat meals, meals eat meat, meat meal, meals, meals eat, eat meat meals, eat meat, meat meals eat, meal, eat meat meal",I eat meat for dinner most days,I include meat in most meals,Meat is part of almost every meal locally,I eat meat with most meals,My meals usually include meat
