Topic,Count,Name,Representation,Representative_Docs
-1,641,-1_meat_taste_taste meat_eating,"['meat', 'taste', 'taste meat', 'eating', 'eating meat', 'enjoy', 'enjoy taste meat', 'enjoy taste', 'people', 'pork']","['I enjoy the taste of meat', 'I enjoy the taste of meat', 'I enjoy the taste of meat']"
0,333,0_meat_expensive_meats_believe,"['meat', 'expensive', 'meats', 'believe', 'health', 'believe meat', 'processed', 'prices', 'meat prices', 'meat expensive']","['Meat is expensive for me', 'Meat is sometimes expensive', 'Meat is expensive for me']"
1,256,1_meat_eating_consumption_eating meat,"['meat', 'eating', 'consumption', 'eating meat', 'reducing', 'feel', 'reducing meat', 'meat consumption', 'beef', 'considered']","['I have no interest in eating meat', 'I have not considered reducing meat consumption', 'I am eating less meat']"
2,242,2_want_health_weight_concerned,"['want', 'health', 'weight', 'concerned', 'concerned health', 'cholesterol', 'diet', 'healthy', 'healthier', 'lose']","['I am concerned about my health', 'I am concerned about my health', 'I am concerned about health']"
3,238,3_family_meat family_family eats_eats,"['family', 'meat family', 'family eats', 'eats', 'meat', 'family eats meat', 'eats meat', 'friends', 'family eat', 'eat meat family']","['Everyone in my family eats meat', 'My family eats more meat than I do', 'My family eats meat']"
4,192,4_meals_meat_meat meals_eat,"['meals', 'meat', 'meat meals', 'eat', 'meal', 'eat meat', 'eat meat meals', 'meals meat', 'meat meal', 'eat meat meal']","['I eat meat at most meals', 'I eat meat for most meals', 'I eat meat with most meals']"
5,175,5_chicken_eat chicken_turkey_chicken turkey,"['chicken', 'eat chicken', 'turkey', 'chicken turkey', 'eat', 'prefer', 'beef', 'fish', 'chicken eat', 'ground']","['I mostly eat chicken', 'I eat chicken most often', 'I mostly eat chicken']"
6,167,6_red_red meat_meat_eat red meat,"['red', 'red meat', 'meat', 'eat red meat', 'eat red', 'eating red', 'eating red meat', 'avoid', 'avoid red meat', 'avoid red']","['I eat less red meat now', 'I eat less red meat', 'I still eat red meat sometimes']"
7,147,7_fish_eat_times_week,"['fish', 'eat', 'times', 'week', 'week eat', 'eat meat times', 'meat times', 'weekly', 'eat meat', 'eat fish']","['I eat meat a few times a week', 'I eat meat four times a week', 'I eat meat a few times a week']"
8,139,8_social_contacts_social contacts_friends,"['social', 'contacts', 'social contacts', 'friends', 'meat social', 'meat social contacts', 'meat', 'meat friends', 'contacts eat', 'contacts eat meat']","['My social contacts eat meat regularly', 'Social contacts eat meat regularly', 'Most social contacts eat meat']"
9,132,9_animal_animal welfare_welfare_concerned animal,"['animal', 'animal welfare', 'welfare', 'concerned animal', 'animals', 'concerned animal welfare', 'concerned', 'welfare concerned', 'animal welfare concerned', 'welfare concerned animal']","['I am concerned about animal welfare', 'I am concerned about animal welfare', 'I am concerned about animal welfare']"
10,131,10_vegetarian_vegan_vegetarian meals_vegetarians,"['vegetarian', 'vegan', 'vegetarian meals', 'vegetarians', 'meals', 'options', 'friends', 'vegetarian options', 'years', 'vegetarianism']","['I am vegetarian', 'I became vegetarian', 'I am a vegetarian']"
11,124,11_protein_meat protein_protein meat_iron,"['protein', 'meat protein', 'protein meat', 'iron', 'source', 'eat meat protein', 'meat', 'protein source', 'protein eat', 'provides']","['I eat meat for protein', 'I eat meat for protein', 'Meat is my go-to protein']"
12,108,12_plantbased_vegetables_foods_plantbased meals,"['plantbased', 'vegetables', 'foods', 'plantbased meals', 'meals', 'balance', 'plantbased foods', 'balance meat', 'food', 'eat plantbased']","['I try to eat more vegetables', 'I try to balance meat with vegetables', 'I eat more vegetables now']"
13,102,13_eat meat regularly_eat_meat regularly_eat meat,"['eat meat regularly', 'eat', 'meat regularly', 'eat meat', 'crave', 'regularly', 'meat regularly eat', 'regularly eat', 'meat eat', 'meat']","['I eat meat regularly', 'I eat meat regularly', 'I eat meat regularly']"
14,87,14_protein_want protein_want_protein want,"['protein', 'want protein', 'want', 'protein want', 'protein want protein', 'want protein want', 'need', 'protein diet', 'high protein', 'need protein']","['I want to get enough protein', 'I want to get enough protein', 'I want to get enough protein']"
15,86,15_environmental_concerned_impact_environmental impact,"['environmental', 'concerned', 'impact', 'environmental impact', 'environment', 'concerned environmental', 'concerned environmental impact', 'impact concerned', 'environmental impact concerned', 'environment concerned']","['I am concerned about environmental impact', 'I am concerned about environmental impact', 'I am concerned about environmental impact']"
16,83,16_enjoy eating_enjoy_enjoy eating meat_meat enjoy,"['enjoy eating', 'enjoy', 'enjoy eating meat', 'meat enjoy', 'meat enjoy eating', 'eating', 'eating meat', 'eating meat enjoy', 'meat', 'meat like']","['I enjoy eating meat', 'I enjoy eating meat', 'I enjoy eating meat']"
17,75,17_eat meat day_meat day_day_eat meat,"['eat meat day', 'meat day', 'day', 'eat meat', 'day eat', 'day eat meat', 'meat day eat', 'meat daily', 'daily', 'eat meat daily']","['I eat meat almost every day', 'I eat meat almost every day', 'I eat meat every day']"
