label,n_topics,n_common_keys,n_keywave_all_outlier,mean_self,mean_other,delta_mean,auc
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,28,210,0,0.2892952446829403,0.026230659678056097,0.2630645850048842,0.7779433974546757
02__qwen3-embedding-0.6b__run_20260210_221633_570b87a6,15,210,0,0.3849429552828688,0.12740670680930088,0.25753624847356793,0.7428735258058566
03__qwen3-embedding-0.6b__run_20260210_221845_49de70a3,29,210,0,0.29056732232381594,0.042652691611501474,0.24791463071231445,0.7792878299645217
04__bert-base-nli-mean-tokens__run_20260210_222655_488612a3,23,210,0,0.32811493083739063,0.08134823745664926,0.24676669338074136,0.7594803024878213
05__all-MiniLM-L6-v2__run_20260210_222351_76cefc5d,23,210,0,0.35218692977698013,0.05230890172715645,0.29987802804982366,0.8030262344172119
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,17,210,0,0.34975752042425085,0.09808066411297865,0.2516768563112722,0.7410709674619449
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,19,210,0,0.29577203964067256,0.05833216198629134,0.2374398776543812,0.7377092623333225
08__all-MiniLM-L6-v2__run_20260210_222527_5fffdd10,17,209,1,0.3873664727392467,0.06805151300803555,0.31931495973121116,0.7891469601287657
09__all-MiniLM-L6-v2__run_20260210_222432_3c9714b4,15,210,0,0.49269393068113293,0.17652272515252068,0.3161712055286122,0.7934203474053098
10__all-MiniLM-L6-v2__run_20260210_222517_e0058bf3,23,210,0,0.35624604371595736,0.05985207743621741,0.29639396627973996,0.7972211372587312
