stance_1,stance_2,polarity,timestamp,key,wave
My parents served meat with dinner,I eat meat at least once a day,positive,2025-12-09T17:17:40.777Z,3d1ddc23b606b8c8,1
I grew up eating meat at meals,I eat meat at least once a day,positive,2025-12-09T17:17:44.327Z,3d1ddc23b606b8c8,1
My family eats meat as main portion,My parents served meat with dinner,positive,2025-12-09T17:17:53.627Z,3d1ddc23b606b8c8,1
I grew up eating meat at meals,My family eats meat as main portion,positive,2025-12-09T17:17:59.515Z,3d1ddc23b606b8c8,1
I eat meat at least once a day,My religious beliefs justify eating animals,positive,2025-12-09T17:18:12.895Z,3d1ddc23b606b8c8,1
Meat-eating is a family tradition,My parents served meat with dinner,positive,2025-12-09T17:18:20.141Z,3d1ddc23b606b8c8,1
I grew up eating meat at meals,Meat-eating is a family tradition,positive,2025-12-09T17:18:24.717Z,3d1ddc23b606b8c8,1
My religious beliefs justify eating animals,Meat-eating is a family tradition,positive,2025-12-09T17:18:31.067Z,3d1ddc23b606b8c8,1
My religious beliefs justify eating animals,My parents served meat with dinner,positive,2025-12-09T17:19:03.537Z,3d1ddc23b606b8c8,1
I eat meat at least once a day,My family eats meat as main portion,positive,2025-12-09T17:19:10.725Z,3d1ddc23b606b8c8,1
My religious beliefs justify eating animals,I grew up eating meat at meals,positive,2025-12-09T17:19:20.797Z,3d1ddc23b606b8c8,1
My family eats meat as main portion,Meat-eating is a family tradition,positive,2025-12-09T17:19:29.061Z,3d1ddc23b606b8c8,1
I feel guilty about eating animals,I eat meat at least once a day,negative,2025-12-09T17:19:57.587Z,3d1ddc23b606b8c8,1
I feel guilty about eating animals,My parents served meat with dinner,negative,2025-12-09T17:20:11.859Z,3d1ddc23b606b8c8,1
I grew up eating meat at meals,I feel guilty about eating animals,negative,2025-12-09T17:20:16.549Z,3d1ddc23b606b8c8,1
Meat-eating is a family tradition,I feel guilty about eating animals,negative,2025-12-09T17:20:24.559Z,3d1ddc23b606b8c8,1
I feel guilty about eating animals,My family eats meat as main portion,negative,2025-12-09T17:20:35.837Z,3d1ddc23b606b8c8,1
I feel guilty about eating animals,My religious beliefs justify eating animals,negative,2025-12-09T17:20:47.410Z,3d1ddc23b606b8c8,1
I like the taste of meat,I eat meat at least once daily,positive,2025-12-09T17:23:35.383Z,242bdf6bc5bb0b94,1
I have no moral issues eating meat,I eat meat at least once daily,positive,2025-12-09T17:23:45.233Z,242bdf6bc5bb0b94,1
Some relatives hunt and eat game meats,I eat meat at least once daily,positive,2025-12-09T17:23:54.666Z,242bdf6bc5bb0b94,1
I eat meat at least once daily,Eating meat is a family tradition,positive,2025-12-09T17:24:16.316Z,242bdf6bc5bb0b94,1
I am chronically anemic,I eat meat at least once daily,positive,2025-12-09T17:24:29.682Z,242bdf6bc5bb0b94,1
I was raised on a farm,I eat meat at least once daily,positive,2025-12-09T17:24:54.949Z,242bdf6bc5bb0b94,1
I sometimes reduce meat due to health issues,I believe too much meat can harm health,positive,2025-12-09T17:25:19.316Z,242bdf6bc5bb0b94,1
Doctor recommended I eat lean beef,I eat meat at least once daily,positive,2025-12-09T17:25:35.699Z,242bdf6bc5bb0b94,1
Doctor recommended I eat lean beef,I believe too much meat can harm health,positive,2025-12-09T17:25:46.549Z,242bdf6bc5bb0b94,1
I believe too much meat can harm health,I like the taste of meat,negative,2025-12-09T17:26:05.049Z,242bdf6bc5bb0b94,1
I sometimes reduce meat due to health issues,I like the taste of meat,negative,2025-12-09T17:26:12.233Z,242bdf6bc5bb0b94,1
Doctor recommended I eat lean beef,I sometimes reduce meat due to health issues,negative,2025-12-09T17:26:19.299Z,242bdf6bc5bb0b94,1
Eating meat is a family tradition,I believe too much meat can harm health,negative,2025-12-09T17:27:01.916Z,242bdf6bc5bb0b94,1
I was raised on a farm,I believe too much meat can harm health,negative,2025-12-09T17:27:13.516Z,242bdf6bc5bb0b94,1
I have no moral issues eating meat,I believe too much meat can harm health,negative,2025-12-09T17:27:20.483Z,242bdf6bc5bb0b94,1
Some relatives hunt and eat game meats,I believe too much meat can harm health,negative,2025-12-09T17:27:23.816Z,242bdf6bc5bb0b94,1
I am chronically anemic,I sometimes reduce meat due to health issues,negative,2025-12-09T17:27:56.982Z,242bdf6bc5bb0b94,1
I eat meat at least once daily,I believe too much meat can harm health,negative,2025-12-09T17:28:09.649Z,242bdf6bc5bb0b94,1
I think chicken and turkey are healthier,I choose chicken and turkey for health,positive,2025-12-09T17:27:38.648Z,c0ac91fae56c6ec3,1
I prefer beef for hamburgers and sloppy joes,I eat lean beef to reduce fat,positive,2025-12-09T17:27:40.534Z,c0ac91fae56c6ec3,1
I reduce beef or pork when dieting,I eat meat every day,positive,2025-12-09T17:27:43.926Z,c0ac91fae56c6ec3,1
Social contacts like the taste of meat,I like the taste of meat,positive,2025-12-09T17:27:46.556Z,c0ac91fae56c6ec3,1
