stance_1,stance_2,polarity,explicitness,strength,key,wave
I eat meat at least once a day,I grew up eating meat at meals,positive,explicit,90,3d1ddc23b606b8c8,1
I eat meat at least once a day,Meat-eating is a family tradition,positive,explicit,85,3d1ddc23b606b8c8,1
I eat meat at least once a day,My family eats meat as main portion,positive,explicit,80,3d1ddc23b606b8c8,1
I grew up eating meat at meals,Meat-eating is a family tradition,positive,explicit,95,3d1ddc23b606b8c8,1
I grew up eating meat at meals,My parents served meat with dinner,positive,explicit,100,3d1ddc23b606b8c8,1
I grew up eating meat at meals,My family eats meat as main portion,positive,explicit,75,3d1ddc23b606b8c8,1
Meat-eating is a family tradition,My family eats meat as main portion,positive,explicit,85,3d1ddc23b606b8c8,1
Meat-eating is a family tradition,My parents served meat with dinner,positive,explicit,90,3d1ddc23b606b8c8,1
I eat meat at least once a day,My religious beliefs justify eating animals,positive,explicit,50,3d1ddc23b606b8c8,1
I feel guilty about eating animals,I eat meat at least once a day,negative,explicit,75,3d1ddc23b606b8c8,1
I feel guilty about eating animals,My religious beliefs justify eating animals,negative,explicit,80,3d1ddc23b606b8c8,1
I feel guilty about eating animals,Meat-eating is a family tradition,negative,implicit,35,3d1ddc23b606b8c8,1
I feel guilty about eating animals,My family eats meat as main portion,negative,implicit,30,3d1ddc23b606b8c8,1
I feel guilty about eating animals,I grew up eating meat at meals,negative,implicit,25,3d1ddc23b606b8c8,1
Doctor recommended I eat lean beef,I am chronically anemic,positive,explicit,100,242bdf6bc5bb0b94,1
Doctor recommended I eat lean beef,I eat meat at least once daily,positive,explicit,80,242bdf6bc5bb0b94,1
Doctor recommended I eat lean beef,I sometimes reduce meat due to health issues,negative,explicit,80,242bdf6bc5bb0b94,1
Eating meat is a family tradition,I eat meat at least once daily,positive,explicit,90,242bdf6bc5bb0b94,1
Eating meat is a family tradition,I was raised on a farm,positive,explicit,90,242bdf6bc5bb0b94,1
Eating meat is a family tradition,Some relatives hunt and eat game meats,positive,explicit,85,242bdf6bc5bb0b94,1
I eat meat at least once daily,I have no moral issues eating meat,positive,explicit,75,242bdf6bc5bb0b94,1
I eat meat at least once daily,I like the taste of meat,positive,explicit,70,242bdf6bc5bb0b94,1
I eat meat at least once daily,I sometimes reduce meat due to health issues,negative,explicit,70,242bdf6bc5bb0b94,1
I have no moral issues eating meat,I like the taste of meat,positive,implicit,60,242bdf6bc5bb0b94,1
I have no moral issues eating meat,I sometimes reduce meat due to health issues,positive,explicit,65,242bdf6bc5bb0b94,1
I sometimes reduce meat due to health issues,I believe too much meat can harm health,positive,explicit,90,242bdf6bc5bb0b94,1
I like the taste of meat,I was raised on a farm,positive,implicit,50,242bdf6bc5bb0b94,1
Eating meat is a family tradition,I have no moral issues eating meat,positive,explicit,65,242bdf6bc5bb0b94,1
I eat meat at least once daily,I was raised on a farm,positive,explicit,80,242bdf6bc5bb0b94,1
I am chronically anemic,I sometimes reduce meat due to health issues,negative,explicit,60,242bdf6bc5bb0b94,1
I eat meat at least once daily,I believe too much meat can harm health,negative,explicit,55,242bdf6bc5bb0b94,1
I choose chicken and turkey for health,I think chicken and turkey are healthier,positive,explicit,100,c0ac91fae56c6ec3,1
I choose chicken and turkey for health,I reduce beef or pork when dieting,positive,explicit,80,c0ac91fae56c6ec3,1
I choose chicken and turkey for health,I eat lean beef to reduce fat,positive,explicit,60,c0ac91fae56c6ec3,1
I eat lean beef to reduce fat,I reduce beef or pork when dieting,positive,explicit,80,c0ac91fae56c6ec3,1
I eat lean beef to reduce fat,I think chicken and turkey are healthier,positive,implicit,50,c0ac91fae56c6ec3,1
I like the taste of meat,I eat meat every day,positive,explicit,90,c0ac91fae56c6ec3,1
I like the taste of meat,I prefer beef for hamburgers and sloppy joes,positive,explicit,90,c0ac91fae56c6ec3,1
I like the taste of meat,Social contacts like the taste of meat,positive,explicit,70,c0ac91fae56c6ec3,1
I eat meat every day,Those around me eat meat regularly,positive,explicit,75,c0ac91fae56c6ec3,1
I prefer beef for hamburgers and sloppy joes,I think chicken and turkey are healthier,negative,explicit,70,c0ac91fae56c6ec3,1
I prefer beef for hamburgers and sloppy joes,I choose chicken and turkey for health,negative,explicit,70,c0ac91fae56c6ec3,1
I like the taste of meat,I choose chicken and turkey for health,negative,implicit,60,c0ac91fae56c6ec3,1
I prefer beef for hamburgers and sloppy joes,I reduce beef or pork when dieting,negative,explicit,65,c0ac91fae56c6ec3,1
I eat lean beef to reduce fat,I prefer beef for hamburgers and sloppy joes,negative,explicit,60,c0ac91fae56c6ec3,1
I think chicken and turkey are healthier,I reduce beef or pork when dieting,positive,explicit,70,c0ac91fae56c6ec3,1
I am concerned about my health,I have tried to cut back on processed meat,positive,explicit,90,8f96fa223f234180,1
I am concerned about my health,I have tried to cut back on red meat,positive,explicit,95,8f96fa223f234180,1
I am concerned about my health,I want to improve cholesterol and blood work,positive,explicit,100,8f96fa223f234180,1
I eat more chicken and fish now,I have tried to cut back on red meat,positive,explicit,85,8f96fa223f234180,1
"I am fond of chicken, turkey, and fish",I eat more chicken and fish now,positive,explicit,80,8f96fa223f234180,1
I do not control grocery shopping or meal planning,I have tried to cut back on red meat,negative,explicit,90,8f96fa223f234180,1
I do not control grocery shopping or meal planning,I have tried to cut back on processed meat,negative,explicit,80,8f96fa223f234180,1
I eat meat whenever I choose to,I do not control grocery shopping or meal planning,positive,implicit,40,8f96fa223f234180,1
I eat meat whenever I choose to,I eat more chicken and fish now,positive,implicit,35,8f96fa223f234180,1
I eat meat whenever I choose to,I have tried to cut back on processed meat,negative,implicit,30,8f96fa223f234180,1
I eat meat whenever I choose to,I have tried to cut back on red meat,negative,implicit,30,8f96fa223f234180,1
I have tried to cut back on processed meat,I have tried to cut back on red meat,positive,implicit,50,8f96fa223f234180,1
I have tried to cut back on red meat,I want to improve cholesterol and blood work,positive,explicit,95,8f96fa223f234180,1
I have tried to cut back on processed meat,I want to improve cholesterol and blood work,positive,implicit,60,8f96fa223f234180,1
Eating meat feels natural to me,Eating meat is a habit for me,positive,explicit,95,24e9f4a8dba444ba,1
Eating meat is a habit for me,I have always eaten and cooked with meat,positive,explicit,90,24e9f4a8dba444ba,1
I have always eaten and cooked with meat,My parents cooked with meat,positive,explicit,95,24e9f4a8dba444ba,1
I eat a lot of chicken,I eat meat 1-2 times a day,positive,explicit,90,24e9f4a8dba444ba,1
Eating meat is a habit for me,Most friends and family eat meat,positive,explicit,80,24e9f4a8dba444ba,1
Most friends and family eat meat,My parents cooked with meat,positive,implicit,60,24e9f4a8dba444ba,1
Eating meat is a habit for me,I eat meat 1-2 times a day,positive,implicit,80,24e9f4a8dba444ba,1
Eating meat feels natural to me,I have always eaten and cooked with meat,positive,explicit,90,24e9f4a8dba444ba,1
I get bored with the same meals,I enjoy the challenge of vegetarian cooking,positive,explicit,87,24e9f4a8dba444ba,1
I get bored with the same meals,I have always eaten and cooked with meat,negative,explicit,55,24e9f4a8dba444ba,1
I enjoy the challenge of vegetarian cooking,I have always eaten and cooked with meat,negative,implicit,45,24e9f4a8dba444ba,1
I reduce meat when it is expensive,I have always eaten and cooked with meat,negative,explicit,50,24e9f4a8dba444ba,1
I enjoy the challenge of vegetarian cooking,I reduce meat when it is expensive,positive,implicit,30,24e9f4a8dba444ba,1
Eating meat feels natural to me,I get bored with the same meals,negative,implicit,30,24e9f4a8dba444ba,1
Chicken and pork are less expensive than beef,I buy more meat when it is on sale,positive,explicit,90,5d5930b9486b3aef,1
Chicken and pork are less expensive than beef,I eat mostly chicken,positive,explicit,75,5d5930b9486b3aef,1
Chicken and pork are less expensive than beef,I prefer chicken and fish,positive,implicit,60,5d5930b9486b3aef,1
I eat mostly chicken,I find chicken easier to digest than beef,positive,explicit,95,5d5930b9486b3aef,1
I eat mostly chicken,I find steak hard to chew,positive,explicit,80,5d5930b9486b3aef,1
