Topic,Count,Name,Representation,Representative_Docs
-1,499,-1_meat_eat meat_eat_people,"['meat', 'eat meat', 'eat', 'people', 'taste', 'taste meat', 'enjoy', 'eating', 'love', 'meals']","['I enjoy eating meat', 'I enjoy eating meat', 'I enjoy eating meat']"
0,400,0_family_social_meat family_contacts,"['family', 'social', 'meat family', 'contacts', 'meat', 'social contacts', 'friends', 'eats', 'family eats', 'eats meat']","['My family eats meat', 'My family eats more meat', 'My family eats meat']"
1,244,1_chicken_fish_eat chicken_eat,"['chicken', 'fish', 'eat chicken', 'eat', 'turkey', 'chicken fish', 'chicken turkey', 'chicken eat', 'prefer', 'eat fish']","['I eat more chicken and fish', 'I eat chicken and fish', 'I eat chicken and fish']"
2,215,2_vegetarian_vegan_plantbased_vegetables,"['vegetarian', 'vegan', 'plantbased', 'vegetables', 'meals', 'vegetarian meals', 'alternatives', 'substitutes', 'vegetarians', 'plantbased meals']","['I am vegetarian', 'I am vegetarian', 'I am a vegetarian']"
3,214,3_red meat_red_consumption_meat,"['red meat', 'red', 'consumption', 'meat', 'limit', 'meat consumption', 'cut', 'try', 'reducing', 'reduce']","['I try to limit my meat consumption', 'I limit red meat consumption', 'I limit red meat consumption']"
4,187,4_concerns_meat_health_red meat,"['concerns', 'meat', 'health', 'red meat', 'red', 'environmental', 'unhealthy', 'health concerns', 'ethical', 'eating']","['I have health concerns about red meat', 'I have health concerns about red meat', 'I have health concerns about red meat']"
5,165,5_avoid_avoid eating_pork_meat avoid,"['avoid', 'avoid eating', 'pork', 'meat avoid', 'red', 'eating', 'beef', 'red meat', 'processed', 'meats avoid']","['I sometimes avoid pork', 'I avoid pork', 'I avoid pork']"
6,155,6_expensive_meat expensive_prices_meat,"['expensive', 'meat expensive', 'prices', 'meat', 'choices', 'meat prices', 'cost', 'convenient', 'influences', 'price']","['Meat is expensive for me', 'Meat is very expensive', 'Meat is expensive']"
7,145,7_protein_meat protein_believe_protein meat,"['protein', 'meat protein', 'believe', 'protein meat', 'believe meat', 'source', 'meat', 'iron', 'eat meat protein', 'meat good']","['I eat meat to get protein', 'I eat meat for protein', 'I eat meat for protein']"
8,123,8_animal_welfare_animal welfare_concerned animal,"['animal', 'welfare', 'animal welfare', 'concerned animal', 'concerned animal welfare', 'concerned', 'welfare concerned', 'animal welfare concerned', 'animals', 'welfare concerned animal']","['I am concerned about animal welfare', 'I am concerned about animal welfare', 'I am concerned about animal welfare']"
9,109,9_want_weight_motivated_weight want,"['want', 'weight', 'motivated', 'weight want', 'lose', 'motivated health', 'lose weight', 'healthy', 'health', 'lose weight want']","['I want to lose weight', 'I want to lose weight', 'I want to lose weight']"
10,102,10_health_cholesterol_concerned health_concerned,"['health', 'cholesterol', 'concerned health', 'concerned', 'concerns', 'health concerns', 'health concerned', 'concerned health concerned', 'heart', 'cholesterol concerned']","['I am concerned about my health', 'I am concerned about health', 'I am concerned about my health']"
11,100,11_eat_eat meat regularly_regularly eat_regularly,"['eat', 'eat meat regularly', 'regularly eat', 'regularly', 'meat regularly', 'meat regularly eat', 'eat meat', 'regularly eat meat', 'meat eat', 'meat']","['I eat meat regularly', 'I eat meat regularly', 'I eat meat regularly']"
12,93,12_protein_want protein_want_protein want,"['protein', 'want protein', 'want', 'protein want', 'protein want protein', 'want protein want', 'need', 'need protein', 'protein diet', 'high protein']","['I want to get enough protein', 'I want enough protein', 'I want to get enough protein']"
13,76,13_day eat_day_day eat meat_meat day eat,"['day eat', 'day', 'day eat meat', 'meat day eat', 'meat day', 'eat meat day', 'daily eat', 'daily', 'eat meat', 'daily eat meat']","['I eat meat almost every day', 'I eat meat every day', 'I eat meat every day']"
14,75,14_environmental_environmental impact_impact_concerned,"['environmental', 'environmental impact', 'impact', 'concerned', 'concerned environmental', 'environment', 'concerned environmental impact', 'environment concerned', 'concerned environment', 'impact concerned']","['I am concerned about environmental impact', 'I am concerned about environmental impact', 'I am concerned about environmental impact']"
15,72,15_crave_like_crave meat_meat crave,"['crave', 'like', 'crave meat', 'meat crave', 'meat', 'meat eat', 'eat', 'steak', 'like eating', 'different']","['I crave meat', 'I crave meat', 'I crave meat sometimes']"
16,71,16_friends_reasons_meat health_family,"['friends', 'reasons', 'meat health', 'family', 'meat friends', 'meat health reasons', 'health', 'meat', 'red meat', 'red']","['My mom eats less meat for health reasons', 'People avoid red meat for health reasons', 'Some social contacts avoid meat for health reasons']"
17,69,17_times_week eat_week_meat times,"['times', 'week eat', 'week', 'meat times', 'eat meat times', 'weekly', 'week eat meat', 'weekly eat', 'times week', 'times week eat']","['I eat meat a few times a week', 'I eat meat four times a week', 'I eat meat a few times a week']"
18,67,18_husband_wife_partner_boyfriend,"['husband', 'wife', 'partner', 'boyfriend', 'prefers', 'meat wife', 'eats', 'meat partner', 'wife eats', 'eating']","['My husband prefers red meat', 'My husband prefers eating meat', 'My wife eats the same as I do']"
19,60,19_grew_grew eating_raised_grew eating meat,"['grew', 'grew eating', 'raised', 'grew eating meat', 'raised eating', 'eating meat', 'eating', 'meat grew', 'raised eating meat', 'meat grew eating']","['I grew up eating meat', 'We grew up eating meat', 'I grew up eating meat']"
20,59,20_diet_balanced_balanced diet_want,"['diet', 'balanced', 'balanced diet', 'want', 'variety', 'eat healthier', 'mindful', 'healthier', 'want balanced', 'foods']","['I want a more balanced diet', 'I want a balanced diet', 'I want a balanced diet']"
21,55,21_meat tastes_tastes_filling_meat tastes good,"['meat tastes', 'tastes', 'filling', 'meat tastes good', 'tastes good', 'filling meat', 'meat', 'meat fills', 'tastes good meat', 'fills']","['Meat tastes good to me', 'Meat tastes good', 'Meat tastes good to me']"
22,52,22_habit_meat habit_eating meat habit_eating meat,"['habit', 'meat habit', 'eating meat habit', 'eating meat', 'eating', 'meat feels', 'habit eating', 'habit eating meat', 'eating meat feels', 'feels']","['Eating meat is a habit', 'Eating meat is a habit for me', 'Eating meat is a habit for me']"
23,51,23_enjoy taste meat_enjoy taste_meat enjoy_taste meat enjoy,"['enjoy taste meat', 'enjoy taste', 'meat enjoy', 'taste meat enjoy', 'meat enjoy taste', 'enjoy', 'taste meat', 'taste', 'meat enjoy flavor', 'meat']","['I enjoy the taste of meat', 'I enjoy the taste of meat', 'I enjoy the taste of meat']"
