Topic,Count,Name,Representation,Representative_Docs
-1,665,-1_meat_enjoy_taste meat_taste,"['meat', 'enjoy', 'taste meat', 'taste', 'eating', 'eating meat', 'contacts', 'enjoy taste meat', 'enjoy taste', 'social']","['I enjoy the taste of meat', 'I enjoy the taste of meat', 'I enjoy the taste of meat']"
0,565,0_avoid_meat_red_red meat,"['avoid', 'meat', 'red', 'red meat', 'try', 'pork', 'eating', 'eat', 'consumption', 'beef']","['I avoid red meat', 'I avoid red meat', 'I avoid eating red meat']"
1,309,1_meat_expensive_eating_eating meat,"['meat', 'expensive', 'eating', 'eating meat', 'habit', 'meat expensive', 'choices', 'prices', 'crave', 'meat habit']","['Eating meat is a habit', 'Eating meat is a habit', 'Eating meat is a habit for me']"
2,246,2_eat_eat meat_meat_times,"['eat', 'eat meat', 'meat', 'times', 'week', 'meat times', 'eat meat times', 'weekly', 'week eat', 'regularly eat']","['I eat meat often', 'I mostly eat meat', 'I eat mostly meat']"
3,242,3_chicken_fish_eat chicken_eat,"['chicken', 'fish', 'eat chicken', 'eat', 'turkey', 'chicken fish', 'chicken turkey', 'chicken eat', 'prefer', 'eat fish']","['I mostly eat chicken', 'I mostly eat chicken', 'I mostly eat chicken']"
4,215,4_family_friends_meat family_eats,"['family', 'friends', 'meat family', 'eats', 'family eats', 'family eats meat', 'meat', 'eats meat', 'friends eat', 'friends eat meat']","['All my family eats meat', 'My family eats meat', 'My family eats meat with me']"
5,182,5_meat_health_concerns_red meat,"['meat', 'health', 'concerns', 'red meat', 'red', 'alternatives', 'environmental', 'unhealthy', 'substitutes', 'health concerns']","['I have health concerns about red meat', 'I have health concerns about red meat', 'Health concerns about red meat']"
6,137,6_health_cholesterol_concerned health_concerned,"['health', 'cholesterol', 'concerned health', 'concerned', 'motivated', 'health concerns', 'concerns', 'motivated health', 'heart', 'cholesterol concerned']","['I am concerned about my health', 'I am concerned about my health', 'I am concerned about health']"
7,131,7_husband_wife_meat_red meat,"['husband', 'wife', 'meat', 'red meat', 'red', 'meat health', 'friends', 'reasons', 'meat husband', 'eats']","['My mom eats less meat for health reasons', 'Some social contacts avoid meat for health reasons', 'People avoid red meat for health reasons']"
8,124,8_animal_animal welfare_welfare_concerned animal,"['animal', 'animal welfare', 'welfare', 'concerned animal', 'concerned animal welfare', 'concerned', 'welfare concerned', 'animal welfare concerned', 'animals', 'welfare concerned animal']","['I am concerned about animal welfare', 'I am concerned about animal welfare', 'I am concerned about animal welfare']"
9,118,9_vegetarian_vegan_vegetarian meals_vegetarians,"['vegetarian', 'vegan', 'vegetarian meals', 'vegetarians', 'meals', 'friends', 'years', 'options', 'vegetarian options', 'veganism']","['I am vegetarian', 'I am a vegetarian', 'I am a vegetarian']"
10,102,10_protein_protein meat_meat protein_source,"['protein', 'protein meat', 'meat protein', 'source', 'iron', 'eat meat protein', 'meat', 'protein eat', 'protein eat meat', 'source protein']","['I eat meat for protein', 'I eat meat for protein', 'I eat meat to get protein']"
11,93,11_protein_want protein_want_protein want,"['protein', 'want protein', 'want', 'protein want', 'protein want protein', 'want protein want', 'need', 'need protein', 'protein diet', 'high protein']","['I want to get enough protein', 'I want to get enough protein', 'I want to get enough protein']"
12,88,12_environmental_concerned_impact_environmental impact,"['environmental', 'concerned', 'impact', 'environmental impact', 'environment', 'concerned environmental', 'concerned environmental impact', 'environmental impact concerned', 'impact concerned', 'environment concerned']","['I am concerned about environmental impact', 'I am concerned about environmental impact', 'I am concerned about environmental impact']"
13,86,13_family_tradition_community_meat,"['family', 'tradition', 'community', 'meat', 'eating', 'family tradition', 'meat family tradition', 'cultural', 'eating meat', 'eating meat family']","['Eating meat is a family tradition', 'Eating meat is family tradition', 'Eating meat is a family tradition']"
14,80,14_want_weight_weight want_lose,"['want', 'weight', 'weight want', 'lose', 'healthy', 'lose weight', 'lose weight want', 'want lose', 'want healthy', 'want healthier']","['I want to lose weight', 'I want to lose weight', 'I want to lose weight']"
15,75,15_day eat_day_day eat meat_meat day eat,"['day eat', 'day', 'day eat meat', 'meat day eat', 'meat day', 'eat meat day', 'eat meat', 'daily eat', 'daily', 'daily eat meat']","['I eat meat every day', 'I eat meat almost every day', 'I eat meat every day']"
