Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,665,OUTLIER,I enjoy the taste of meat,I grew up eating meat at meals,I like the taste of meat,I was raised on a farm,Some relatives hunt and eat game meats
0,565,"avoid, meat, red, red meat, try, pork, eating, eat, consumption, beef",I try to avoid red meat,I avoid eating animal products,I believe humans should eat less meat,I avoid eating red meat,I have considered eating less meat to save money
1,309,"meat, expensive, eating, eating meat, habit, meat expensive, choices, prices, crave, meat habit",Red meat is expensive,I am concerned about meat cost,I prefer eating meat,I cook meat when available,Meat is sometimes expensive
2,246,"eat, eat meat, meat, times, week, meat times, eat meat times, weekly, week eat, regularly eat",I eat red meat occasionally,I eat meat regularly,I have always eaten meat,I eat meat a few times a week,I eat red meat a few times yearly
3,242,"chicken, fish, eat chicken, eat, turkey, chicken fish, chicken turkey, chicken eat, prefer, eat fish","I eat ground turkey, chicken, and catfish",I rarely eat chicken or fish,"I eat chicken, fish, and red meat",I eat catfish for its texture,We chose to buy more fish
4,215,"family, friends, meat family, eats, family eats, family eats meat, meat, eats meat, friends eat, friends eat meat",Most friends eat a lot of meat,My family prefers traditional meat-heavy meals,Most family and friends eat meat,One family member eats only white meat,My family eats meat daily
5,182,"meat, health, concerns, red meat, red, alternatives, environmental, unhealthy, substitutes, health concerns",I am concerned about meat healthiness,I believe pork is unhealthy,I have health concerns about red meat,I am concerned about health problems from meat,Family has concerns about red meat health effects
6,137,"health, cholesterol, concerned health, concerned, motivated, health concerns, concerns, motivated health, heart, cholesterol concerned",I have health concerns,I am concerned about my health,I am concerned about health impacts,I discuss health risks with my friend,I had colon cancer
7,131,"husband, wife, meat, red meat, red, meat health, friends, reasons, meat husband, eats",Some family avoid red meat for health,My eating habits influenced by my partner,My wife has similar eating habits,I enjoy eating meat with my husband,Working in restaurants discouraged red meat eating
8,124,"animal, animal welfare, welfare, concerned animal, concerned animal welfare, concerned, welfare concerned, animal welfare concerned, animals, welfare concerned animal",I am concerned about animal rights,I consider animal cruelty in my choices,I am concerned about animal deaths,I am aware of cruelty in the meat industry,I am concerned about animal pain
9,118,"vegetarian, vegan, vegetarian meals, vegetarians, meals, friends, years, options, vegetarian options, veganism",My family is vegetarian,I am Native American,I am vegetarian,I enjoy being a vegetarian,My parents are vegetarian
10,102,"protein, protein meat, meat protein, source, iron, eat meat protein, meat, protein eat, protein eat meat, source protein",Easier to get protein from meat,Meat is a good source of protein,I enjoy the protein in meat,I eat meat for protein,I get most of my protein from meat
11,93,"protein, want protein, want, protein want, protein want protein, want protein want, need, need protein, protein diet, high protein",I need high protein intake,I want to get enough protein,I have trouble getting protein elsewhere,I want protein for energy and focus,I try to include more protein
12,88,"environmental, concerned, impact, environmental impact, environment, concerned environmental, concerned environmental impact, environmental impact concerned, impact concerned, environment concerned",I care about sustainability,I care about the environment,I am concerned about environmental impacts,I am concerned about environmental impact,I want to reduce environmental blueprint
13,86,"family, tradition, community, meat, eating, family tradition, meat family tradition, cultural, eating meat, eating meat family",Red meat is traditional in my culture,Meat-eating is common in my community,Meat is part of almost every meal locally,I live in Texas where meat-eating is common,Eating meat is cultural in my family
14,80,"want, weight, weight want, lose, healthy, lose weight, lose weight want, want lose, want healthy, want healthier",I want to stay healthy,I want to avoid weight gain,I want stronger muscles,I want to avoid weight loss,I work out a lot
15,75,"day eat, day, day eat meat, meat day eat, meat day, eat meat day, eat meat, daily eat, daily, daily eat meat",I eat meat every day,I eat meat most days,I eat meat almost every day,I eat meat almost daily,I eat meat daily
