Topic,Count,Name,Representation,Representative_Docs
-1,608,-1_meat_eating_eat_enjoy,"['meat', 'eating', 'eat', 'enjoy', 'people', 'enjoy eating', 'eating meat', 'vegetables', 'pork', 'enjoy eating meat']","['I enjoy eating meat', 'I enjoy eating meat', 'I enjoy eating meat']"
0,246,0_chicken_fish_eat chicken_turkey,"['chicken', 'fish', 'eat chicken', 'turkey', 'eat', 'chicken fish', 'chicken turkey', 'eat fish', 'chicken eat', 'prefer']","['I eat more chicken and fish', 'I eat chicken and fish', 'I eat more chicken and fish']"
1,234,1_family_meat family_family eats_eats,"['family', 'meat family', 'family eats', 'eats', 'family eats meat', 'eats meat', 'meat', 'friends', 'family eat', 'friends family']","['Everyone in my family eats meat', 'My family eats meat', 'My family eats more meat']"
2,215,2_meat_feel_reducing_reducing meat,"['meat', 'feel', 'reducing', 'reducing meat', 'eating', 'eating meat', 'consumption', 'beef', 'meat consumption', 'eat meat']","['I have not considered reducing meat', 'I have not considered reducing meat consumption', 'I am reducing meat consumption']"
3,209,3_protein_want protein_want_meat protein,"['protein', 'want protein', 'want', 'meat protein', 'protein want', 'source', 'protein meat', 'iron', 'high protein', 'high']","['I want protein', 'I want to get enough protein', 'I want to get more protein']"
4,176,4_expensive_choices_meat_prices,"['expensive', 'choices', 'meat', 'prices', 'meat prices', 'meat expensive', 'alternatives', 'buy', 'substitutes', 'meat alternatives']","['Meat is expensive for me', 'Meat is sometimes expensive', 'Meat is very expensive']"
5,168,5_red_red meat_eat red_eat red meat,"['red', 'red meat', 'eat red', 'eat red meat', 'meat', 'eating red', 'eating red meat', 'avoid red', 'avoid red meat', 'avoid']","['I eat less red meat', 'I still eat red meat sometimes', 'I eat less red meat now']"
6,135,6_vegetarian_vegan_vegetarian meals_vegetarians,"['vegetarian', 'vegan', 'vegetarian meals', 'vegetarians', 'meals', 'options', 'vegetarian options', 'pescatarian', 'friends', 'years']","['I became vegetarian', 'I am vegetarian', 'I am a vegetarian']"
7,127,7_animal_animal welfare_welfare_concerned animal,"['animal', 'animal welfare', 'welfare', 'concerned animal', 'concerned animal welfare', 'animals', 'concerned', 'animal welfare concerned', 'welfare concerned', 'welfare concerned animal']","['I am concerned about animal welfare', 'I am concerned about animal welfare', 'I am concerned about animal welfare']"
8,126,8_believe_meals_believe meat_meat,"['believe', 'meals', 'believe meat', 'meat', 'filling', 'include', 'include meat', 'meat easy', 'meat healthy', 'easy']","['I include meat in most meals', 'I always include meat in my meals', 'I include meat in most meals']"
9,114,9_want_weight_diet_lose,"['want', 'weight', 'diet', 'lose', 'healthy', 'healthier', 'lose weight', 'diet want', 'weight want', 'cholesterol']","['I want to lose weight', 'I want to lose weight', 'I want to lose weight']"
10,113,10_taste meat_taste_enjoy taste meat_meat enjoy,"['taste meat', 'taste', 'enjoy taste meat', 'meat enjoy', 'enjoy taste', 'taste meat enjoy', 'enjoy', 'meat enjoy taste', 'like taste meat', 'like taste']","['I enjoy the taste of meat', 'I enjoy the taste of meat', 'I enjoy the taste of meat']"
11,111,11_meals_eat_meal_eat meat meals,"['meals', 'eat', 'meal', 'eat meat meals', 'eat meat', 'meat meals', 'meat meal', 'eat meat meal', 'meat', 'incomplete']","['I eat meat with most meals', 'I eat meat in most meals', 'I eat meat for most meals']"
12,103,12_health_concerned_concerned health_concerns,"['health', 'concerned', 'concerned health', 'concerns', 'cholesterol', 'health concerns', 'health concerned', 'concerned health concerned', 'diabetes', 'heart']","['I am concerned about health', 'I am concerned about health', 'I am concerned about my health']"
13,94,13_processed_health_meats_avoid,"['processed', 'health', 'meats', 'avoid', 'processed meats', 'avoid processed', 'meat', 'concerns', 'health concerns', 'think']","['I avoid processed meats', 'I avoid processed meats', 'I avoid processed meats']"
14,86,14_environmental_concerned_impact_environmental impact,"['environmental', 'concerned', 'impact', 'environmental impact', 'concerned environmental', 'environment', 'concerned environmental impact', 'impact concerned', 'environmental impact concerned', 'environment concerned']","['I am concerned about environmental impact', 'I am concerned about environmental impact', 'I am concerned about environmental impact']"
15,84,15_times_eat meat times_week_meat times,"['times', 'eat meat times', 'week', 'meat times', 'week eat', 'eat meat', 'week eat meat', 'weekly eat', 'weekly', 'weekly eat meat']","['I eat meat about three times a week', 'I eat meat a few times a week', 'I eat meat a few times a week']"
16,77,16_friends_community_meat friends_friends eat,"['friends', 'community', 'meat friends', 'friends eat', 'friends eat meat', 'meat', 'gatherings', 'meals', 'include', 'include meat']","['My friends eat meat', 'All my friends eat meat', 'My friends often eat meat']"
17,77,17_eat meat day_meat day_day_eat meat,"['eat meat day', 'meat day', 'day', 'eat meat', 'day eat', 'meat day eat', 'day eat meat', 'meat daily', 'daily', 'eat meat daily']","['I eat meat almost every day', 'I eat meat every day', 'I eat meat every day']"
18,69,18_contacts_social contacts_social_meat social,"['contacts', 'social contacts', 'social', 'meat social', 'meat social contacts', 'contacts eat', 'contacts eat meat', 'social contacts eat', 'eating meat social', 'taste meat social']","['My social contacts eat meat regularly', 'Social contacts eat meat regularly', 'Most social contacts eat meat']"
19,65,19_ethical_environmental_impact_environmental impact,"['ethical', 'environmental', 'impact', 'environmental impact', 'ethically', 'concerns', 'meat', 'environmental impact meat', 'impact meat', 'aware']","['I am concerned about environmental impact of beef', 'I consider environmental impact of meat', 'I consider environmental impact of meat']"
20,61,20_eat meat regularly_meat regularly eat_meat regularly_regularly eat,"['eat meat regularly', 'meat regularly eat', 'meat regularly', 'regularly eat', 'regularly', 'regularly eat meat', 'eat meat', 'eat', 'meat eat meat', 'meat eat']","['I eat meat regularly', 'I eat meat regularly', 'I eat meat regularly']"
21,60,21_grew_grew eating_raised_grew eating meat,"['grew', 'grew eating', 'raised', 'grew eating meat', 'raised eating', 'eating meat', 'eating', 'meat grew', 'raised eating meat', 'eating meat grew']","['I grew up eating meat', 'I grew up eating meat', 'I grew up eating meat']"
22,50,22_habit_meat habit_eating meat_habit eating,"['habit', 'meat habit', 'eating meat', 'habit eating', 'habit eating meat', 'eating meat habit', 'eating', 'feels', 'meat feels', 'eating meat feels']","['Eating meat is a habit for me', 'Eating meat is a habit for me', 'Eating meat is a habit for me']"
23,50,23_motivated_motivated health_health_limitations,"['motivated', 'motivated health', 'health', 'limitations', 'financial limitations', 'financial', 'motivated health concerns', 'health concerns motivated', 'concerns motivated', 'health concerns']","['I am motivated by health concerns', 'I am motivated by health concerns', 'I am motivated by health']"
