Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,664,OUTLIER,I enjoy eating meat,Meat-eating is a family tradition,I have no moral issues eating meat,Eating meat is a family tradition,Those around me eat meat regularly
0,244,"chicken, fish, eat chicken, turkey, eat, chicken fish, chicken eat, chicken turkey, prefer, eat fish",I mostly eat chicken,"I eat chicken, beef, and pork",I alternate beef and turkey weekly,I eat chicken daily,I buy fried chicken from stores
1,232,"consumption, meat, red meat, red, meat consumption, limit, try, cut, reduce, reducing",Doctor recommended I eat lean beef,I have meatless meals to save money,I try to limit meat to once daily,Doctor recommended reducing red meat,I am reducing meat consumption
2,210,"expensive, meat, meat expensive, choices, prices, meat prices, cost, influences, convenient, eating",Red meat is expensive,Vegetarian options are unaffordable,Meat can be expensive for me,High meat prices affect my habits,Rising meat prices may reduce consumption
3,154,"protein, meat protein, believe, protein meat, believe meat, meat, source, iron, eat meat protein, meat good",I eat meat for protein,Meat is high in protein,Easier to get protein from meat,I choose meat for protein,Meat has high protein and low carb
4,123,"animal, welfare, animal welfare, concerned animal, concerned animal welfare, concerned, welfare concerned, animal welfare concerned, animals, welfare concerned animal",I am concerned about animal rights,Concern for animal welfare,I am concerned about animal welfare,Exposure to animal rights documentaries,I dislike how animals are treated
5,122,"husband, wife, meat health, reasons, red meat, red, meat, meat husband, friends, partner",My wife prefers red meat,My mother is health conscious,My husband eats less red meat,My son rarely eats meat,My wife avoids red meat
6,111,"want, weight, motivated, weight want, lose, motivated health, lose weight, healthy, health, lose weight want",I am motivated by health concerns,I want to stay healthy,I want to be healthy,Health is my main motivator,I want more longevity
7,110,"family, family eats, family eats meat, eats, eats meat, meat family, meat family eats, meat, eats meat family, eats meat regularly",My family eats meat,My family eats meat like I do,Family plans meals around meat,My family has mixed meat preferences,My family loves eating meat
8,110,"vegetarian, vegan, vegetarian meals, vegetarians, meals, years, vegan vegetarian, friends, vegetarian vegan, veganism",I enjoy veggie burgers,I became vegetarian,No vegetarians in my social circle,I am happy with vegetarian meals,I lack confidence cooking vegetarian meals
9,107,"health, cholesterol, concerned health, concerned, concerns, health concerns, health concerned, heart, concerned health concerned, cholesterol concerned",I have health concerns,My health focus has increased with age,I discuss health risks with my friend,I had colon cancer,I am concerned about my health
10,105,"avoid, avoid eating, pork, pork avoid, meats avoid, processed, avoid pork, avoid red meat, avoid red, meat avoid",I avoid too much processed meat,I avoid big portions of meat,I avoid factory-farmed meat,I avoid eating red meat,I avoid fatty and fried meats
