Topic,Count,Name,Representation,Representative_Docs
-1,551,-1_meat_taste_enjoy_taste meat,"['meat', 'taste', 'enjoy', 'taste meat', 'eating', 'eat', 'eating meat', 'eat meat', 'enjoy taste meat', 'enjoy taste']","['I enjoy the taste of meat', 'I enjoy the taste of meat', 'I enjoy the taste of meat']"
0,605,0_family_meat_friends_social,"['family', 'meat', 'friends', 'social', 'eats', 'meat family', 'eat meat', 'contacts', 'social contacts', 'eat']","['My family eats more meat than I do', 'My family eats meat with me', 'My family eats meat']"
1,339,1_meat_expensive_eating_eating meat,"['meat', 'expensive', 'eating', 'eating meat', 'habit', 'meat expensive', 'choices', 'feel', 'meat habit', 'prices']","['Eating meat is a habit for me', 'Eating meat is a habit for me', 'Eating meat is a habit for me']"
2,239,2_chicken_fish_eat chicken_eat,"['chicken', 'fish', 'eat chicken', 'eat', 'turkey', 'chicken fish', 'chicken eat', 'chicken turkey', 'eat fish', 'prefer']","['I mostly eat chicken', 'I eat mostly chicken', 'I mostly eat chicken']"
3,237,3_protein_want protein_want_believe,"['protein', 'want protein', 'want', 'believe', 'meat protein', 'protein meat', 'source', 'meat', 'believe meat', 'iron']","['I want enough protein', 'I want to get enough protein', 'I want to get enough protein']"
4,226,4_meat_red meat_red_consumption,"['meat', 'red meat', 'red', 'consumption', 'meat consumption', 'limit', 'try', 'cut', 'reduce', 'reducing']","['I have reduced red meat consumption', 'I try to limit my meat consumption', 'I limit red meat consumption']"
5,210,5_avoid_pork_avoid eating_meat avoid,"['avoid', 'pork', 'avoid eating', 'meat avoid', 'beef', 'eating', 'meat', 'red', 'red meat', 'processed']","['I avoid pork', 'I sometimes avoid pork', 'I avoid pork']"
6,181,6_vegetarian_vegan_plantbased_vegetables,"['vegetarian', 'vegan', 'plantbased', 'vegetables', 'meals', 'vegetarian meals', 'vegetarians', 'plantbased meals', 'balance', 'balance meat']","['I sometimes have vegetarian meals', 'I am vegetarian', 'I am vegetarian']"
7,168,7_eat_eat meat_meat_meat eat,"['eat', 'eat meat', 'meat', 'meat eat', 'regularly', 'eat meat regularly', 'meat regularly', 'crave', 'meat eat meat', 'regularly eat']","['I eat meat regularly', 'I eat meat regularly', 'I eat meat regularly']"
8,132,8_concerns_health_meat_red meat,"['concerns', 'health', 'meat', 'red meat', 'red', 'environmental', 'health concerns', 'unhealthy', 'concerned', 'impact']","['Health concerns about red meat', 'I have health concerns about red meat', 'I have health concerns about red meat']"
9,123,9_animal_welfare_animal welfare_concerned animal,"['animal', 'welfare', 'animal welfare', 'concerned animal', 'concerned animal welfare', 'concerned', 'animal welfare concerned', 'welfare concerned', 'animals', 'welfare concerned animal']","['I am concerned about animal welfare', 'I am concerned about animal welfare', 'I am concerned about animal welfare']"
10,106,10_want_weight_motivated_lose,"['want', 'weight', 'motivated', 'lose', 'weight want', 'motivated health', 'healthy', 'lose weight', 'health', 'want healthy']","['I want to lose weight', 'I want to lose weight', 'I want to lose weight']"
11,101,11_health_cholesterol_concerned_concerned health,"['health', 'cholesterol', 'concerned', 'concerned health', 'concerns', 'health concerns', 'health concerned', 'concerned health concerned', 'heart', 'cholesterol concerned']","['I am concerned about health', 'I am concerned about my health', 'I am concerned about my health']"
12,88,12_environmental_concerned_impact_environmental impact,"['environmental', 'concerned', 'impact', 'environmental impact', 'environment', 'concerned environmental', 'concerned environmental impact', 'environmental impact concerned', 'impact concerned', 'environment concerned']","['I am concerned about environmental impact', 'I am concerned about environmental impact', 'I am concerned about environmental impact']"
13,77,13_diet_balanced_moderation_want,"['diet', 'balanced', 'moderation', 'want', 'balanced diet', 'meat moderation', 'variety', 'eat healthier', 'mindful', 'healthier']","['I want a more balanced diet', 'I want a balanced diet', 'I want a balanced diet']"
14,75,14_day eat_day_day eat meat_meat day eat,"['day eat', 'day', 'day eat meat', 'meat day eat', 'meat day', 'eat meat day', 'eat meat', 'daily eat', 'daily', 'daily eat meat']","['I eat meat every day', 'I eat meat at least once a day', 'I eat meat at least once a day']"
