Topic,Count,Name,Representation,Representative_Docs
-1,830,-1_meat_eating_eating meat_enjoy,"['meat', 'eating', 'eating meat', 'enjoy', 'taste', 'taste meat', 'eat', 'eat meat', 'enjoy taste meat', 'enjoy taste']","['I enjoy the taste of meat', 'I enjoy the taste of meat', 'I enjoy the taste of meat']"
0,765,0_meat_eat_meals_eat meat,"['meat', 'eat', 'meals', 'eat meat', 'beef', 'meats', 'avoid', 'meal', 'meat meals', 'health']","['I eat meat with some meals', 'I eat meat', 'I eat meat often']"
1,325,1_family_meat_friends_meat family,"['family', 'meat', 'friends', 'meat family', 'eats', 'family eats', 'eats meat', 'family eats meat', 'eating', 'friends eat']","['My family eats meat', 'My family eats more meat than I do', 'Everyone in my family eats meat']"
2,255,2_want_health_weight_concerned,"['want', 'health', 'weight', 'concerned', 'cholesterol', 'motivated', 'concerned health', 'concerns', 'health concerns', 'diet']","['I am concerned about my health', 'I am concerned about my health', 'I am concerned about my health']"
3,248,3_chicken_fish_eat chicken_eat,"['chicken', 'fish', 'eat chicken', 'eat', 'turkey', 'chicken fish', 'chicken turkey', 'eat fish', 'beef', 'prefer']","['I eat chicken and fish', 'I eat chicken and fish', 'I eat chicken and fish']"
4,227,4_meat_feel_reducing_eating,"['meat', 'feel', 'reducing', 'eating', 'reducing meat', 'consumption', 'eat', 'meat consumption', 'eating meat', 'eat meat']","['I am eating less meat', 'I am reducing meat consumption', 'I have not considered reducing meat consumption']"
5,198,5_red_red meat_meat_eat red meat,"['red', 'red meat', 'meat', 'eat red meat', 'eat red', 'eating red', 'cut', 'eating red meat', 'avoid', 'avoid red']","['I eat less red meat', 'I eat less red meat', 'I eat less red meat']"
6,186,6_protein_want protein_want_meat protein,"['protein', 'want protein', 'want', 'meat protein', 'protein meat', 'source', 'protein want', 'high protein', 'high', 'meat']","['I want to get enough protein', 'I want to get enough protein', 'I want enough protein']"
7,135,7_vegetarian_vegan_vegetarian meals_meals,"['vegetarian', 'vegan', 'vegetarian meals', 'meals', 'vegetarians', 'options', 'friends', 'vegetarian options', 'pescatarian', 'years']","['I am a vegetarian', 'I am vegetarian', 'I became vegetarian']"
8,128,8_animal_animal welfare_welfare_concerned animal,"['animal', 'animal welfare', 'welfare', 'concerned animal', 'animals', 'concerned animal welfare', 'concerned', 'welfare concerned', 'animal welfare concerned', 'welfare concerned animal']","['I am concerned about animal welfare', 'I am concerned about animal welfare', 'I am concerned about animal welfare']"
9,83,9_contacts_social contacts_social_meat social,"['contacts', 'social contacts', 'social', 'meat social', 'meat social contacts', 'contacts eat', 'contacts eat meat', 'social contacts eat', 'friends', 'meat']","['My social contacts eat meat regularly', 'Social contacts eat meat regularly', 'Most social contacts eat meat']"
10,78,10_times_eat meat_eat meat times_meat times,"['times', 'eat meat', 'eat meat times', 'meat times', 'eat', 'week', 'week eat meat', 'week eat', 'weekly eat meat', 'weekly eat']","['I eat meat a few times a week', 'I eat meat a few times a week', 'I eat meat a few times a week']"
