Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,635,OUTLIER,I eat meat every day,I often do not eat any meat,I feel guilty about eating animals,My religious beliefs justify eating animals,I have no moral issues eating meat
0,281,"friends, social, contacts, social contacts, people, eat meat, meat, friends eat, eat, meat social",My social contacts eat meat for nutrition,My social circle mostly eats meat,Social contacts follow the same meat habits,Social contacts eat red meat frequently,Socializing increases likelihood of eating meat
1,261,"family, meat family, eats, family eats, eats meat, family eats meat, meat, eating meat family, eating, meat family eats",My parents served meat with dinner,My family enjoys the taste of meat,I eat wild game from family,Family influences my meat-eating habits,Family members like meat
2,204,"chicken, fish, eat chicken, turkey, chicken fish, eat, chicken turkey, prefer, eat fish, eat chicken fish",I mostly eat chicken,I want to eat more fish,"I eat steak, chicken, pork, and lunch meat",I eat more chicken and fish,I still eat fish and chicken
3,201,"red meat, red, meat, consumption, limit, meat consumption, cut, try, reducing, reduce",I eat red meat less frequently,I have cut back on red meat,I eat less meat than before,I eat less meat overall,I have reduced meat per meal
4,164,"avoid, avoid eating, pork, meat avoid, eating, dislike, red, meats avoid, pork avoid, red meat",I avoid red meat and pork,I avoid factory-farmed meat,I avoid pork for health reasons,I avoid steak and pork,I avoid pork because it feels heavy
5,139,"plantbased, meals, vegetables, vegetarian, new, vegetarian meals, plantbased meals, meatless, balance, balance meat",I balance meat and vegetarian products,I plan to eat more vegetables,I feel better eating plant-based diets,I eat more plant-based options,I try plant-based options eating out
6,124,"animal, welfare, animal welfare, concerned animal, concerned animal welfare, concerned, welfare concerned, animal welfare concerned, animals, welfare concerned animal",I am concerned about animal rights,I approve eating animals if not cruel,I am concerned about animal welfare,I am an animal welfare advocate,My family values animal welfare
7,117,"concerns, health, red meat, red, environmental, meat, health concerns, unhealthy, impact, concerned",I believe too much meat can harm health,I am concerned about hormones in meat,Red meat causes health complications for me,I have health concerns about red meat,I am concerned about health effects of meat
8,108,"eat meat, eat, meat meals, meals eat, meat meals eat, meals eat meat, eat meat meals, meals, meat meal, meat",Most recipes I know use meat,I eat more meat during holidays,I include meat in most meals,I sometimes eat meat during holidays,I eat meat at most meals
9,107,"protein, want protein, want, protein want, protein want protein, want protein want, need, need protein, high protein, protein diet",I need high protein intake,I want to get enough protein,I want protein for energy and focus,I want more protein,I want more protein for athletic needs
10,99,"expensive, meat expensive, prices, cost, meat prices, choices, expensive meat, price, meat, limited",Red meat is expensive,Meat is sometimes expensive,High meat prices would change my habits,The cost of beef is high,I am concerned about meat cost
11,98,"health, concerned, concerned health, concerns, cholesterol, health concerns, health concerned, concerned health concerned, concerned cholesterol, heart",I have health concerns,I am concerned about cholesterol,I discuss health risks with my friend,I had colon cancer,I am concerned about my health
12,97,"protein meat, meat, meat easy, easy, protein, source, meals, easier, good, source protein",Meat tastes great with meals,Meat goes well with foods like pasta or rice,Eating meat is convenient,Easier to get protein from meat,Meat is satisfying and filling
13,96,"want, weight, motivated, weight want, lose, lose weight, motivated health, health, healthy, want lose",I want to be healthier,I want to be healthy,I want healthy hair,I want to stay healthy,I want to avoid weight loss
14,95,"times, week, week eat, meat times, eat meat times, weekly, weekly eat, eat, week eat meat, eat meat",I have meat-free days each week,I eat meat four to five days weekly,I eat meat a few times a week,I eat meat two or three days weekly,I eat meat four or five times weekly
15,92,"buy, cook, home, choose, grassfed, prefer, meat, buy meat, meats, try",I buy meat when it looks good,I try to find meat on sale,I try to buy organic meat,I buy meat available at grocery stores,I eat different types of meat
16,89,"diet, food, balanced, balanced diet, picky, variety, picky eater, foods, mindful, eater",I am very conscious about my diet,"We focus on a varied, balanced diet",I try to eat more sustainably,I eat what I crave,I eat foods I like
17,88,"environmental, concerned, impact, environmental impact, concerned environmental, environment, concerned environmental impact, environment concerned, impact concerned, environmental impact concerned",I am concerned about environmental impact,I want to reduce environmental blueprint,I am concerned about the environment,I am concerned about food processing and pollution,I am concerned about environmental impacts
18,86,"taste meat, taste, enjoy taste meat, enjoy taste, taste meat enjoy, meat enjoy taste, meat enjoy, enjoy, like taste meat, like taste",I like the taste of meat,I enjoy the taste of meat,I enjoy having steak and ribs,I like clean meats,I like how meat tastes
19,82,"wife, husband, partner, prefers, boyfriend, eats, meat wife, meat husband, eating, husband prefers",My husband avoids red meat,My wife cannot tolerate beef,My husband likes eating meat,My wife suggests eating less meat,My husband loves steak and pork
20,79,"grew, grew eating, raised, grew eating meat, eating, raised eating, eating meat, meat grew, raised eating meat, meat grew eating",I was raised vegetarian,I grew up eating meat,I was raised eating pork,I grew up eating meat regularly,Southern cuisine was central when growing up
21,63,"enjoy eating, enjoy eating meat, meat enjoy eating, enjoy, eating meat enjoy, meat enjoy, eating meat, eating, meat love, meat",I think meat is delicious,I eat wild game meats,I enjoy eating meat,I enjoy red meat,I like eating meat
22,53,"protein, meat protein, eat meat protein, protein eat, protein eat meat, meat protein eat, eat meat, eat, iron, meat",I value meat's high protein content,I choose meat for protein,I eat meat for protein,Meat supports my strength training,I eat meat for iron
