Topic,Count,Name,Representation,Representative_Docs
-1,502,-1_meat_eat meat_eat_eating,"['meat', 'eat meat', 'eat', 'eating', 'taste', 'taste meat', 'day', 'regularly', 'avoid', 'eating meat']","['I eat meat regularly', 'I often do not eat any meat', 'I eat mostly meat']"
0,614,0_meat_eat meat_eat_family,"['meat', 'eat meat', 'eat', 'family', 'eats', 'eats meat', 'family eats', 'friends', 'protein', 'regularly']","['My family eats meat regularly', 'I eat meat', 'I eat meat']"
1,408,1_want_protein_want protein_diet,"['want', 'protein', 'want protein', 'diet', 'plantbased', 'vegetables', 'meals', 'healthy', 'healthier', 'foods']","['I want to get enough protein', 'I want to get enough protein', 'I want to get enough protein']"
2,248,2_expensive_meat_meat expensive_eating,"['expensive', 'meat', 'meat expensive', 'eating', 'dislike', 'unhealthy', 'prices', 'meat prices', 'red meat', 'red']","['Meat is expensive for me', 'Meat is expensive for me', 'Meat is sometimes expensive']"
3,201,3_red meat_red_consumption_meat,"['red meat', 'red', 'consumption', 'meat', 'meat consumption', 'limit', 'reduce', 'try', 'reducing', 'meat health']","['I limit red meat consumption', 'I limit red meat consumption', 'I limit red meat consumption']"
4,199,4_chicken_eat chicken_fish_eat,"['chicken', 'eat chicken', 'fish', 'eat', 'turkey', 'chicken fish', 'chicken turkey', 'chicken eat', 'prefer', 'eat chicken fish']","['I mostly eat chicken', 'I mostly eat chicken', 'I mostly eat chicken']"
5,182,5_meat_easy_good_believe,"['meat', 'easy', 'good', 'believe', 'meat easy', 'meat tastes', 'meat feels', 'tastes', 'protein', 'meat good']","['Meat tastes good', 'Eating meat feels normal to me', 'Eating meat feels normal to me']"
6,142,6_avoid_avoid eating_pork_eating,"['avoid', 'avoid eating', 'pork', 'eating', 'processed', 'meats avoid', 'meat avoid', 'meat', 'meats', 'avoid processed']","['I avoid pork', 'I avoid pork', 'I avoid pork']"
7,118,7_times_week_week eat_weekly,"['times', 'week', 'week eat', 'weekly', 'meat times', 'eat', 'eat meat times', 'weekly eat', 'times week', 'eat meat']","['I eat meat a few times a week', 'I eat meat a few times a week', 'I eat meat five times per week']"
8,106,8_vegetarian_vegan_vegetarian meals_meals,"['vegetarian', 'vegan', 'vegetarian meals', 'meals', 'friends', 'years', 'vegetarians', 'vegan vegetarian', 'vegetarian vegan', 'vegetarian vegetarian']","['I became vegetarian', 'I am a vegetarian', 'I am vegetarian']"
9,102,9_animal_animal welfare_welfare_concerned animal,"['animal', 'animal welfare', 'welfare', 'concerned animal', 'concerned animal welfare', 'welfare concerned', 'animal welfare concerned', 'concerned', 'welfare concerned animal', 'animals']","['I am concerned about animal welfare', 'I am concerned about animal welfare', 'I am concerned about animal welfare']"
10,101,10_health_concerned health_concerned_health concerns,"['health', 'concerned health', 'concerned', 'health concerns', 'concerns', 'motivated health', 'motivated', 'heart', 'health concerned', 'concerned health concerned']","['I am concerned about health', 'I am concerned about my health', 'I am concerned about health']"
11,78,11_concerned_environmental_impact_environmental impact,"['concerned', 'environmental', 'impact', 'environmental impact', 'environment', 'concerned environmental', 'concerned environmental impact', 'impact concerned', 'environmental impact concerned', 'environment concerned']","['I am concerned about environmental impact', 'I am concerned about environmental impact', 'I am concerned about environmental impact']"
12,75,12_eat meat_eat_meat meals_eat meat meals,"['eat meat', 'eat', 'meat meals', 'eat meat meals', 'people', 'people know', 'people know eat', 'know eat', 'know', 'meals']","['Most people I know eat meat', 'Most people I know eat meat', 'Most people I know eat meat']"
13,71,13_rarely_rarely eat_incomplete_feel,"['rarely', 'rarely eat', 'incomplete', 'feel', 'meat rarely', 'incomplete meat', 'meat', 'meat feel', 'eat', 'meat rarely eat']","['I feel a meal is incomplete without meat', 'I feel a meal is incomplete without meat', 'I feel a meal is incomplete without meat']"
14,70,14_stopped_meat eat_red meat_red,"['stopped', 'meat eat', 'red meat', 'red', 'stopped eating', 'eat', 'meat', 'eat red meat', 'eat red', 'eating']","['I eat less red meat', 'I eat less red meat', 'I eat less red meat now']"
15,70,15_enjoy taste meat_enjoy taste_enjoy_taste meat,"['enjoy taste meat', 'enjoy taste', 'enjoy', 'taste meat', 'meat enjoy', 'taste meat enjoy', 'meat enjoy taste', 'taste', 'meat', 'flavor']","['I enjoy the taste of meat', 'I enjoy the taste of meat', 'I enjoy the taste of meat']"
16,62,16_meat family_family_prefer_enjoys,"['meat family', 'family', 'prefer', 'enjoys', 'eating meat', 'eating', 'meat', 'meat prefer', 'enjoys eating meat', 'enjoys eating']","['My family also enjoys eating meat', 'My family enjoys eating meat', 'Family enjoys eating meat']"
17,59,17_enjoy eating_meat enjoy eating_enjoy eating meat_enjoy,"['enjoy eating', 'meat enjoy eating', 'enjoy eating meat', 'enjoy', 'meat enjoy', 'eating meat enjoy', 'eating meat', 'eating', 'meat love', 'meat like']","['I enjoy eating meat', 'I enjoy eating meat', 'I enjoy eating meat']"
18,50,18_weight_lose_lose weight_cholesterol,"['weight', 'lose', 'lose weight', 'cholesterol', 'want lose', 'financial limitations', 'limitations', 'high', 'financial', 'want lose weight']","['I want to lose weight', 'I want to lose weight', 'I want to lose weight']"
