label,baseline,a1_p01,a1_p23,a1_p45,a1_p6p,a1_delta,a2_p01,a2_p23,a2_p45,a2_p6p
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,0.48433295540438404,0.40650406504065045,0.4152935606060606,0.45309653916211295,0.6378431372549019,0.1535101818505179,-0.0427236270696976,-0.03501634807022178,0.008594443092101854,0.05078643860911109
02__qwen3-embedding-0.6b__run_20260210_221633_570b87a6,0.613425925925926,0.5754385964912281,0.5642857142857143,0.5969785575048733,0.7300645682001614,0.11663864227423537,-0.030609780916845658,-0.03613115185443509,0.0013556464214066167,0.09595291832804514
03__qwen3-embedding-0.6b__run_20260210_221845_49de70a3,0.4622411186696901,0.3691287878787879,0.4072344322344322,0.5096441947565543,0.5897733792312105,0.12753226056152045,-0.0671888487586624,-0.019883596616026112,0.04135687002521433,0.08026553986597693
04__bert-base-nli-mean-tokens__run_20260210_222655_488612a3,0.5446069538926681,0.40492957746478875,0.4189265536723164,0.5329501915708812,0.7309124767225327,0.18630552282986457,-0.045486327053237983,-0.06978485568661283,0.0003145054928466441,0.11816714246648362
05__all-MiniLM-L6-v2__run_20260210_222351_76cefc5d,0.5506878306878307,0.3894977168949772,0.4797142857142857,0.5425925925925926,0.6850108225108225,0.1343229918229918,-0.08621284561178504,-0.017762680391892754,0.017257877405660697,0.0629519032866603
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,0.5792233560090703,0.4337899543378996,0.514367816091954,0.5810344827586207,0.711981981981982,0.13275862597291177,-0.08167097530336487,-0.024174230206775553,0.014995603592780883,0.07997022705385537
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,0.5381972789115647,0.4407630522088354,0.409280303030303,0.5082840236686391,0.7324125230202578,0.19421524410869317,-0.0554707114073689,-0.06972511103890212,-0.005771592847655816,0.12136313066415784
08__all-MiniLM-L6-v2__run_20260210_222527_5fffdd10,0.6111999244142101,0.46846846846846846,0.5240196078431373,0.6128131021194605,0.7205056179775281,0.10930569356331798,-0.06117815021604992,-0.0543352680567877,0.0310306865957108,0.07779934341877481
09__all-MiniLM-L6-v2__run_20260210_222432_3c9714b4,0.6623752834467119,0.5338541666666666,0.5616766467065868,0.6301356589147287,0.7954063146997931,0.13303103125308113,-0.09884683256954137,-0.05873515548745932,0.008138696376969453,0.06788723712184837
10__all-MiniLM-L6-v2__run_20260210_222517_e0058bf3,0.5465986394557822,0.45147679324894513,0.48418079096045197,0.5343749999999999,0.6454457364341085,0.09884709697832628,-0.04309678639135893,-0.035353975447066296,0.012772044373466185,0.05580568301612884
