label,remove_outlier_topic,baseline,a1_p01,a1_p23,a1_p45,a1_p6p,a1_delta,a2_p01,a2_p23,a2_p45,a2_p6p
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,False,0.48433295540438404,0.40628695922813574,0.47228521038044846,0.5418604651162792,0.6527536231884058,0.16842066778402176,-0.032342399755995795,0.005131605286096352,0.01978990039985245,0.035157524644791216
02__qwen3-embedding-0.6b__run_20260210_221633_570b87a6,False,0.613425925925926,0.5334444444444444,0.5959037378392217,0.6572769953051643,0.7393162393162394,0.1258903133903133,-0.0861772185111248,0.014649699141803613,0.02714775651228246,0.09397946779563555
03__qwen3-embedding-0.6b__run_20260210_221845_49de70a3,False,0.4622411186696901,0.41538690476190476,0.44936424831712785,0.5145238095238095,0.6134680134680135,0.1512268947983234,-0.05085344656069081,0.016858090226053866,0.010574951960597991,0.07034443886525192
04__bert-base-nli-mean-tokens__run_20260210_222655_488612a3,False,0.5446069538926681,0.417755991285403,0.5141941391941391,0.6256410256410256,0.7064425770308123,0.16183562313814415,-0.0584248385079157,0.0044279693766563636,0.04982543324907242,0.039012191689437946
05__all-MiniLM-L6-v2__run_20260210_222351_76cefc5d,False,0.5506878306878307,0.4486301369863014,0.538504864311316,0.6210858585858586,0.740909090909091,0.1902212602212603,-0.04826637057213917,-0.0026488161348933335,0.03336710683779062,0.06087678450620297
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,False,0.5792233560090703,0.5109307359307359,0.5417562724014336,0.6379310344827587,0.7217125382262998,0.1424891822172295,-0.07324759713960327,0.009754643306355993,0.02783549242635602,0.08722086842965855
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,False,0.5381972789115647,0.44155844155844154,0.5235071806500378,0.5570175438596491,0.6788793103448276,0.14068203143326297,-0.039172438729628695,-0.011071876129923537,0.03608535009038644,0.062136300145367696
08__all-MiniLM-L6-v2__run_20260210_222527_5fffdd10,False,0.6111999244142101,0.48819513819513816,0.6105461393596987,0.6470284237726098,0.770703125,0.15950320058578993,-0.07891478416763925,0.009428932140932269,0.028384813099496836,0.08533495316572622
09__all-MiniLM-L6-v2__run_20260210_222432_3c9714b4,False,0.6623752834467119,0.5607226107226108,0.6256120527306968,0.7129629629629629,0.8068181818181818,0.14444289837146984,-0.06618773851337467,-0.012168831526770826,0.053621856037511136,0.06389376478926559
10__all-MiniLM-L6-v2__run_20260210_222517_e0058bf3,False,0.5465986394557822,0.4651472431077694,0.5485739750445633,0.5440298507462688,0.6570175438596492,0.11041890440386692,-0.04418515829253486,0.009301661065308275,0.017017659933616147,0.04943715977371409
