Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,536,OUTLIER,I eat meat at least once a day,I eat meat almost every day,I feel guilty about eating animals,My religious beliefs justify eating animals,I eat meat at least once daily
0,395,"meat, eat meat, eat, meals, meat meals, meal, habit, regularly, eat meat regularly, meat regularly",I eat meat regularly,Eating meat is easy and convenient for me,I eat mostly meat,Meat tastes good,I am a regular meat eater
1,360,"family, meat family, social, meat, friends, eats, contacts, social contacts, family eats, eats meat",Red meat is traditional in my culture,My family and friends all eat meat,Most family members eat beef regularly,Most family and friends eat meat,Meat eating is normal in my community
2,281,"avoid, pork, avoid eating, meat, eating, red, red meat, meat avoid, alternatives, beef",I avoid red meat and pork,I cook separately if not wanting meat,I avoid fatty meats,I avoid foods that cause allergies,I avoid processed meat products
3,251,"meat, red meat, red, consumption, try, meat consumption, limit, cut, eat, reducing",I have seen excellent results reducing meat,I feel better after eating lean meat,I have reduced meat per meal,I have cut back on beef,I have cut down on meat
4,245,"chicken, fish, eat chicken, eat, turkey, chicken fish, chicken turkey, chicken eat, eat fish, eat chicken fish",I mostly eat chicken,I eat a lot of chicken,I interchange meats with fish and chicken,I like the taste of chicken and fish,I switch to poultry for burgers
5,134,"husband, wife, meat, red meat, red, meat health, eats, reasons, friends, meat husband",Some family avoid red meat for health,My wife suggests eating less meat,My wife changed her eating habits with me,My partner avoids eating red meat,My partner believes avoiding red meat is healthier
6,123,"animal, welfare, animal welfare, concerned animal, concerned animal welfare, concerned, welfare concerned, animal welfare concerned, animals, welfare concerned animal",I am concerned about animal rights,I am concerned about animal lives,Exposure to animal rights documentaries,I am concerned about animal welfare,I am concerned about harming animals
7,120,"protein, believe, protein meat, meat protein, believe meat, source, meat, eat meat protein, meat good, meat healthy",I think meat is a complete protein,I enjoy the protein in meat,I value meat's high protein content,I get most of my protein from meat,I eat meat for extra protein
8,114,"vegetarian, vegan, vegetarian meals, vegetarians, meals, years, friends, vegan vegetarian, options, veganism",My family is vegetarian,My parents are vegetarian,I discuss meat-eating with vegans,My dad and stepmom are vegetarians,No vegetarians in my social circle
9,106,"health, concerned health, cholesterol, concerned, concerns, health concerns, health concerned, heart, concerned health concerned, cholesterol concerned",I am concerned about my health,Some social contacts have high cholesterol,I am concerned about health,I am concerned about heart disease,I care about my health
10,105,"health, concerns, environmental, health concerns, meat, red meat, red, unhealthy, impact, concerned",Learning about the meat industry influenced me,I consider health when choosing meat,I select meat for health benefits,I value the health benefits of meat,I think excess meat is unhealthy
11,101,"protein, want protein, want, protein want, protein want protein, want protein want, need, need protein, protein diet, high protein",I want to get enough protein,I want proper nutrition,I want enough protein,I need protein,I want foods high in protein
12,100,"want, weight, motivated, weight want, lose, motivated health, healthy, lose weight, health, lose weight want",I want to be healthier,I want to be as healthy as possible,Social contacts watch their weight,I want to feel healthier,I want to be healthy
13,88,"environmental, concerned, impact, environmental impact, environment, concerned environmental, concerned environmental impact, environmental impact concerned, impact concerned, environment concerned",I care about sustainability,I am concerned about environmental impact,I want to reduce environmental blueprint,I am concerned about the environment,I care about the environment
14,82,"expensive, meat expensive, prices, cost, meat prices, expensive meat, choices, price, meat expensive meat, meat",Red meat is expensive,Meat is expensive at every meal,Rising meat prices,Non-meat alternatives are often expensive,Meat is expensive
15,80,"diet, balanced, food, balanced diet, foods, want, picky, variety, picky eater, eat healthier",I am very conscious about my diet,I want a healthier diet,I eat foods I like,I am a picky eater,I value knowing what's in my food
16,68,"times, week eat, meat times, week, eat meat times, weekly eat, week eat meat, weekly, times week, times week eat",I eat meat five times per week,I eat about five servings of meat a week,I eat meat one to three times weekly,I eat meat four to five days weekly,I eat red meat up to twice a week
17,63,"grew, grew eating, raised, grew eating meat, eating, eating meat, raised eating, meat grew, raised eating meat, meat grew eating",I was raised eating pork,I was raised eating meat,I grew up eating meat,I grew up eating meat regularly,Southern cuisine was central when growing up
18,54,"enjoy taste meat, enjoy taste, meat enjoy, taste meat enjoy, meat enjoy taste, enjoy, taste meat, taste, meat, meat enjoy flavor",I enjoy the taste of meat,I enjoy the flavor of some meats,I enjoy pleasant meat aromas during cooking,I enjoy the flavor of meat,I am a steak and potatoes person
19,52,"plantbased, vegetables, plantbased meals, eat plantbased, vegetables eat, eat vegetables, meals, plantbased foods, include plantbased, include",I think vegetables are more delicious,I have easy access to fresh vegetables,I eat more vegetables now,I am trying to eat more vegetables,I include plant-based proteins in meals
