Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,603,OUTLIER,I like the taste of meat,I do not like the taste of meat,I eat meat at least once a day,My parents served meat with dinner,I eat meat at least once daily
0,236,"chicken, fish, eat chicken, turkey, chicken fish, eat, chicken turkey, chicken eat, eat fish, eat chicken fish",I mostly eat chicken,I mainly eat chicken or fish,"I enjoy eating beef, pork, chicken, seafood",Beef and chicken are my most eaten meats,My aunts eat more fish for health
1,118,"avoid, avoid eating, pork, pork avoid, meats avoid, avoid pork, processed, meat avoid, avoid red meat, avoid red",I avoid eating the same meat daily,I rarely eat pork,I avoid foods that cause allergies,I avoid red meat,My wife dislikes pork
2,117,"family, family eats, family eats meat, eats, eats meat, meat family, meat family eats, eats meat family, eats meat regularly, meat regularly family",My children eat more meat than I do,Family plans meals around meat,My family values red meat as prosperity,Everyone in my family eats meat,My family eats meat regularly
3,93,"protein, want protein, protein want, want, protein want protein, want protein want, need, need protein, protein diet, high protein",I want to get enough protein,I want enough protein and nutrients,I need protein,I struggle getting enough protein vegetarian,I want enough protein
4,86,"concerned health, health, concerned, cholesterol, health concerned, concerned health concerned, health concerns, concerns, heart, diabetes",I have health concerns,I have dental problems,I was pre-diabetic before changing my diet,I have experienced serious health issues,I am concerned about health
5,85,"community, tradition, family tradition, family, cultural, meat family tradition, eating meat family, gatherings, include, culture",Red meat is traditional in my culture,Meat eating is a tradition in my community,Meat eating is typical in my region,Meat is a big part of my culture,Meat is a staple in my culture
6,83,"friends, friends eat, friends eat meat, friends family, meat friends, family, friends family eat, family eat, family eat meat, regularly friends",Most friends eat a lot of meat,My family and friends eat a lot of meat,Family and friends eat much more meat,My friends often eat meat,My friends eat meat
7,70,"reasons, meat health, friends, meat health reasons, meat friends, reasons friends, health reasons, family, health, mom",Some family avoid red meat for health,Some people avoid meat for dietary reasons,My family stopped eating meat,My son feels unwell without meat,I care for my mother's diet
8,65,"contacts, social contacts, social, meat social contacts, meat social, contacts eat, social contacts eat, contacts eat meat, eating meat social, contacts value",Most social contacts eat meat,Social contacts also enjoy poultry,Some social contacts focus on taste,Social contacts influence me to limit meat,Social contacts enjoy my well-cooked meat
9,65,"better, feel, eating meat, eating, try eat, want eat meat, reduces meat, reduces, feel better, meat",I try to eat less meat for health,I am trying to eat less meat,I wish more people would stop eating red meat,I want to eat less meat,Limited time sometimes reduces meat consumption
10,64,"meat meals, meals eat meat, eat meat meals, meat meals eat, meals eat, dinner, meals, eat meat, include meat, include",I eat meat for dinner most days,I eat meat with most dinners,I eat meat most meals,I eat meat for dinner every night,I eat meat at most meals
11,63,"grew, grew eating, raised, grew eating meat, raised eating, meat grew, raised eating meat, eating meat, eating, meat grew eating",I was raised eating pork,I grew up eating meat,I grew up eating meat regularly,Southern cuisine was central when growing up,I used to eat meat daily
12,63,"plantbased, vegetables, balance, balance meat, plantbased meals, eat plantbased, eat vegetables, meals, plantbased foods, try",I eat more plant-based foods,I find plant-based meals easy and light,I include plant-based meals for health,My breakfasts and lunches are plant based,I choose plant-based protein on some days
13,61,"expensive, meat expensive, prices, meat prices, expensive meat, meat expensive meat, cost, high, price, high meat prices",Red meat is expensive,Ethically-sourced meat is often too expensive,Rising meat prices,Non-meat alternatives are often expensive,Meat is expensive
14,60,"cut, consumption, meat consumption, reduced, reduce, reducing, cut red meat, cut red, reducing meat, cut meat",I reduce beef or pork when dieting,I try to reduce meat consumption,I am thinking of cutting back on pork,I am trying to cut processed meats,I am open to reducing meat consumption
