Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,615,OUTLIER,I love the taste of meat,My family eats meat as main portion,I reduce beef or pork when dieting,I eat a lot of chicken,I have always eaten and cooked with meat
0,234,"meat, easy, good, meat easy, believe, meat tastes, meat feels, tastes, meat good, convenient","Tender, soft meats are easier to eat",I believe meat is healthy and high protein,I view eating meat as natural,I think meat is delicious,I choose meat that is inexpensive
1,192,"chicken, eat chicken, fish, turkey, chicken fish, chicken turkey, prefer, eat chicken fish, eat, chicken eat",I mostly eat chicken,I prepare chicken with an air fryer,I prefer to eat chicken,I mostly eat ground chicken or turkey,I eat chicken and red meat
2,187,"protein, meat protein, meat, eat meat protein, eat meat, cut, eat, protein meat, provides, meat provides",I eat meat when craving it,I sometimes substitute protein shakes for meat,I crave meat during pregnancy,I use meat alternatives like tofu and Gardein,I plan meals around meat
3,118,"vegetarian, vegan, vegetarian meals, meals, years, vegetarians, friends, vegetarian vegetarian, vegan vegetarian, vegetarian vegan",My family is vegetarian,I am influenced by friends eating vegetarian meals,I became vegetarian,My husband became vegetarian,I sometimes try vegan or vegetarian meals
4,115,"times, week, week eat, weekly, meat times, eat meat times, weekly eat, times week, week eat meat, times week eat",I lost over 100 pounds eating this way,We eat fish more days of the week,I eat poultry two or three times weekly,I eat red meat up to twice weekly,I eat meat two or three days weekly
5,101,"health, concerned health, health concerns, concerns, concerned, motivated health, motivated, heart, health concerned, concerned health concerned",I have health concerns,My wife has liver issues,I have diabetes,I have heart disease in my family,I have general health concerns
6,85,"red meat, red, limit red, limit red meat, stopped eating, red meat consumption, stopped, limit, meat eat, eat red",I eat less meat than I used to,My brother stopped eating red meat,I eat less red meat,I eat less beef than before,I eat less meat than before
7,85,"eat meat, meat meals, eat meat meals, people, people know, people know eat, know eat, eat, know, know eat meat",I eat meat in most meals,I include meat in most meals,Most people around me eat meat,I eat meat in almost every meal,I eat meat at almost every meal
8,78,"environmental, concerned, impact, environmental impact, concerned environmental, environment, concerned environmental impact, impact concerned, environmental impact concerned, environment concerned",I am concerned about the environment,I am concerned about environmental impact,I hear about environmental impact in the news,I am concerned about environmental impacts,Social contacts are motivated by environmental concerns
9,68,"avoid, avoid eating, meats avoid, processed, pork avoid, avoid processed, meat avoid, pork, meats, processed meats avoid",I avoid foods that cause allergies,I avoid greasy foods,I avoid processed meats,I avoid animal antibiotics and hormones,I avoid lab-grown and 3D-printed meat
10,65,"food, habits, eating habits, similar, cost, consider cost, choices, foods, value, consider cost choosing",Family habits from childhood influence my eating,I am flexible with my food choices,My family has similar eating habits,Traditional meals are common in my community,I care about food texture
11,64,"concerned animal, animal, concerned animal welfare, welfare, animal welfare, animal welfare concerned, welfare concerned, welfare concerned animal, concerned, animal cruelty",I am concerned about animal rights,I am concerned about animal welfare,I thought briefly about animal welfare,My family is concerned about animal welfare,Concern for animal welfare
12,62,"want, healthy, weight want, want healthy, want healthier, weight, healthier, healthier want, healthy want, maintain",I want to be healthier,My health focus has increased with age,I am motivated to have more energy,I enjoy physical activity,I want a healthier lifestyle
13,59,"occasionally, eat meat, meat occasionally, usually, eat meat lunch, meat lunch, eat, lunch, people eat meat, people",People around me eat meat regularly,My typical meals usually include meat,I eat meat for lunch and dinner,Meals and gatherings usually include meat,I eat meat during dinner meals
14,57,"unhealthy, meat unhealthy, feel, believe, guilty, red meat unhealthy, feel guilty, animals, eating animals, guilty eating",I believe pork is unclean,I hear meat is bad for the planet,I believe red meat is unhealthy,I think red meat is unhealthy,I consider some meats unhealthy
15,57,"environmental, concerns, impact, concerned, meat aware, health, environmental impact, concerns meat, concerned meat, environmental impact meat",Environmental concerns about beef production,I sometimes think about health risks of meat,Eating meat may cause physical illness,I have acid reflux from some meats,I am concerned about health problems from meat
16,56,"considered, considered reducing meat, reducing meat, considered reducing, reducing, vegetarians, eat pork, influence, seek meat, meat social contacts",My meals are not influenced by others,I never eat pork,I do not crave steak,I do not care about others' dietary choices,Chicken does not get stuck in my teeth
17,50,"protein, need, need protein, want, high protein, protein diet, high, want protein, protein want, protein diet want",I believe protein can come from alternatives,I need a source of protein,I want to hit protein goals,I need protein,I want protein for energy and focus
18,49,"expensive, meat expensive, expensive meat, expensive meat expensive, meat expensive meat, prices, meat prices, high, red meat expensive, high meat",I cannot afford expensive meats,Local meat is too expensive for me,Meat is getting more expensive,Meat is sometimes expensive,Meat for breakfast is expensive
19,48,"animal, animals, welfare, animal welfare, care animal, care, care animal welfare, cattle, respect, lives",I prioritize animal welfare,I have empathy for animals,My family values animal welfare,I want animals to have decent lives,I believe animals should have ethical lives
20,46,"consumption, reducing, meat consumption, reducing meat, reduce, reduce meat consumption, reduce meat, limit meat, try limit, try",I try to limit my meat consumption,Social contacts influence me to limit meat,I have thought about reducing meat,Doctor warning would make me stop meat,I try to limit meat consumption
21,46,"enjoy taste meat, enjoy taste, meat enjoy taste, taste meat enjoy, meat enjoy, taste meat, taste, enjoy, taste meat people, meat",I enjoy the taste of meat,People around me like the taste of meat,Housemates enjoy the taste of meat,I enjoy the fat and gristle in meat,People close to me like meat
22,44,"enjoy eating, meat enjoy eating, enjoy eating meat, eating meat enjoy, meat enjoy, enjoy, eating meat, eating, eating meat like, meat like",I enjoy eating meat,I like eating meat,I get satisfaction from eating meat,I enjoy eating steak,I enjoy social meals with meat
23,44,"meat family, enjoys, family, loves, eating meat, enjoys eating meat, likes, family enjoys, enjoys eating, prefers",My friends enjoy eating meat,Family enjoys eating meat,I enjoy eating meat with my husband,Other family members love the taste of meat,My nephew enjoys cooking steak
24,43,"red meat, red, cut red, cut red meat, cut, eat red, eat red meat, prefers red, prefers red meat, red meat occasionally",Red meat is traditional in my culture,Restaurants promote red meat as special,I love eating red meat,I love the taste of red meat,I eat red meat occasionally
25,42,"choices, meat choices, influences, price, ethically sourced, sourced, sourced meat, ethically sourced meat, ethically, ethical",Learning about health shaped my meat habits,Cost influences my meat choices,I try to buy ethically sourced meat,I seek ethically sourced meat,I select meat for health benefits
26,42,"tradition, family tradition, family, meat family tradition, eating meat family, meat family, meat cultural, cultural, eating meat, habit",Eating meat is family tradition,Eating meat is a cultural habit in my family,Eating meat is a family tradition,Eating meat is a family habit,Eating meat is a habit for my family
27,41,"avoid, avoid meat, reasons, red, avoid red, avoid red meat, avoid eating red, red meat, eating red, red meat avoid",Some family avoid red meat for health,Health concerns discourage meat eating,Social contacts avoid beef for animal welfare,Some social contacts avoid meat for health reasons,People avoid red meat for health reasons
28,38,"meat health, considered eating meat, considered eating, reasons, considered, health, health reasons, meat health reasons, want eat meat, reduce meat",I am trying to eat less meat,I switch to non-meat alternatives when available,I want to eat less meat,My fiance considered eating less meat for health,I wish I ate less meat
29,38,"diet, balanced, balanced diet, eat healthier, healthier, want balanced, diet want, healthy, want eat, want balanced diet",I am very conscious about my diet,I am more conscious about my diet,I want a balanced diet,I try to eat healthier,I am mindful about nutrition now
30,37,"rarely, rarely eat, meat rarely eat, meat rarely, rarely eat meat, rarely eats, rarely eats meat, limited, meals meat, eat",I sometimes eat no meat,I eat very little processed meat,I do not eat meat often,I rarely eat meat,"Few appealing, filling recipes without meat"
31,37,"lean, choose leaner, leaner, eat lean, meat gives, gives, increases, energy, meat makes, meat gives energy",Documentaries made me more mindful of meat,Meat makes meals feel substantial to contacts,Meat keeps me feeling full longer,I believe meat gives me energy,I would eat more meat if possible
32,37,"cholesterol, financial limitations, limitations, financial, concerned cholesterol, high, limitations concerned, financial limitations concerned, high cholesterol, concerned",Doctor required me to watch fat intake,I have high ferritin levels,I have cholesterol concerns,My partner had high cholesterol levels,I have high blood pressure
33,35,"meat meal, eat meat meal, meal, know eats, meat meal eat, meal eat, know eats meat, meal eat meat, know, eats meat",I eat meat at every meal,Everyone I know eats a lot of meat,I always have a freezer full of beef,Everyone I know eats meat,I ensure meat is fully cooked
34,35,"better, portions, feel better, healthier, feel, meat better, believe meat better, eat smaller, smaller, skip meat",I eat smaller portions of meat,I eat smaller meat portions,I believe eating less meat helps the environment,I think it's healthier to eat less meat,I feel better with less meat
35,35,"dislike, like, dislikes, dislike taste, taste, did, husband dislikes, meats dont like, meats dont, dont like",I dislike the taste of fish,I dislike how animals are treated,I dislike unethical farming,Negative comments from service workers about not eating meat,I dislike meat substitutes
36,34,"family, family eats, eats, family eats meat, eats meat, meat family, friends family, meat family eats, eats meat family, friends",My family eats pork,My family includes meat in their meals,Some relatives hunt and eat game meats,My parents cooked with meat,My family serves meat at meals
37,31,"hard, getting, trouble, difficult, getting protein, alternatives, limited, trouble getting, difficulty, real meat",I have difficulty finding protein alternatives,I find it hard to change my diet,It's hard to know what is healthiest,Certain meats do not digest well for me,I think meat-free diets are difficult
38,31,"vegetables, plantbased, vegetable, meals, vegetables enjoy, enjoy vegetables, meals want, try plantbased, salads, prefer",I enjoy cooking with vegetables,I want lighter or more vegetable meals sometimes,I try plant-based products,I like vegetables,I enjoy rice and beans
39,31,"grew, grew eating, grew eating meat, meat grew, eating meat grew, meat grew eating, raised eating, raised, meat raised, raised eating meat",I grew up eating meat,I was raised eating meat,I grew up in a meat-eating family,I learned meat-eating from childhood,I grew up eating meat-centered meals
40,31,"daily eat, daily, daily eat meat, meat daily eat, meat daily, eat meat daily, eat meat, meat day eat, eat meat day, meat day",I eat meat daily,I eat meat almost every day,I eat meat-based meals daily,I eat meat almost daily,I used to eat meat daily
41,29,"family eats meat, eats meat, family eats, eats, eats meat regularly, family, regularly family, regularly, meat regularly family, meat regularly",All my friends and family eat meat regularly,Everyone in my family eats meat,My family eats meat regularly,My daughter eats meat regularly,My family eats meat at every meal
42,29,"eat meat regularly, friends eat, meat regularly, friends, regularly, friends eat meat, meat regularly family, regularly family, family friends eat, family",My friends eat meat regularly,Some social contacts eat meat daily,My boyfriend eats steak frequently,My social contacts eat meat regularly,Friends and family eat meat regularly
43,28,"meat regularly eat, regularly eat meat, regularly eat, eat meat regularly, meat regularly, regularly, eat meat, eat, meat, routine eat",I eat various meats regularly,I eat meat regularly,I regularly eat meat,I eat common meat regularly,Meat fits my daily routine
44,26,"like taste meat, like taste, taste meat like, meat like taste, meat like, like, taste meat, taste, like meat, meat like meat",I like the taste of meat,I like how meat is prepared,I really like processed meats,I like how filling meat is,I like how meat tastes
45,26,"want reduce, reduce, want, cholesterol, cholesterol want, lower, reduce environmental, lower cholesterol, cholesterol want reduce, want reduce environmental",I want to reduce inflammation,I want to contribute less to climate change,I want to reduce dietary fat,I want to reduce environmental impact,I want to reduce cholesterol
