Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,597,OUTLIER,I like the taste of meat,I feel guilty about eating animals,My religious beliefs justify eating animals,I am chronically anemic,I prefer beef for hamburgers and sloppy joes
0,363,"family, meat family, social, friends, contacts, meat, social contacts, eats, family eats, eats meat",Red meat is traditional in my culture,Family members like the taste of meat,All my friends and family eat meat regularly,My family eats meat like I do,Family eats meat in a similar way
1,242,"chicken, fish, eat chicken, eat, turkey, chicken fish, chicken eat, chicken turkey, eat fish, eat chicken fish",I mostly eat chicken,I eat chicken and fish,I enjoy cooking with chicken,I eat chicken regularly,I eat chicken two times a week
2,201,"consumption, red meat, red, meat, limit, meat consumption, cut, try, reducing, reduce",I want to eat less meat for health,I try to reduce meat consumption,I reduced pork consumption significantly,I wish more people would stop eating red meat,I wish I ate less meat
3,182,"avoid, pork, avoid eating, meat avoid, beef, red, processed, red meat, eating, avoid pork",I avoid red meat and pork,I avoid beef and pork,I avoid steak and pork,I avoid red meat on weekdays,I avoid high-carbohydrate foods
4,177,"vegetarian, vegan, plantbased, vegetables, meals, vegetarian meals, plantbased meals, balance, balance meat, vegetarians",My family is vegetarian,I am vegetarian,I am influenced by vegan friends,My nephew is vegan,I have been vegetarian for 13 years
5,167,"concerns, meat, health, red meat, red, environmental, unhealthy, health concerns, ethical, grassfed",I am aware of health risks from high meat intake,I worry meat fat affected my health,Family has concerns about red meat health effects,Health risks are associated with eating too much meat,Eating meat may cause physical illness
6,123,"animal, welfare, animal welfare, concerned animal, concerned animal welfare, concerned, welfare concerned, animal welfare concerned, animals, welfare concerned animal",I am concerned about animal rights,I am concerned about animal cruelty,I am concerned about animal welfare,I am concerned about harming animals,A friend is concerned about animal suffering
7,117,"expensive, meat expensive, prices, meat prices, choices, cost, price, meat, influences, meat choices",Red meat is expensive,I am concerned about meat prices,Ethically-sourced meat is often too expensive,Meat is expensive at every meal,Rising meat prices
8,106,"health, concerned health, cholesterol, concerned, concerns, health concerns, health concerned, heart, cholesterol concerned, concerned health concerned",I have health concerns,I have dental problems,I have autism,I have diabetes,I had colon cancer
9,101,"eat, eat meat regularly, regularly eat, regularly, meat regularly, meat regularly eat, eat meat, regularly eat meat, meat eat, meat",I have always eaten and cooked with meat,I eat more meat during special occasions,I include meat while breastfeeding,I am a lifetime meat eater,I eat meat regularly
10,100,"want, weight, motivated, weight want, lose, motivated health, lose weight, healthy, health, lose weight want",I am motivated by health concerns,I want a healthier lifestyle,I want to stay healthy,I want to feel healthier,I want to be healthy
11,93,"protein, want protein, want, protein want, protein want protein, want protein want, need, need protein, protein diet, high protein",I want to consume enough protein,Protein should be part of my diet,I try to include more protein,I want more protein,Protein is important to me
12,88,"environmental, concerned, impact, environmental impact, concerned environmental, environment, concerned environmental impact, impact concerned, environmental impact concerned, environment concerned",I care about sustainability,I care about the environment,I am concerned about environmental impacts,I am concerned about environmental impact,I want to reduce environmental blueprint
13,88,"meat tastes, tastes, meat easy, meat, convenient, easy, filling, filling meat, convenient meat, tastes good",Meat tastes great with meals,I find meat convenient,Meat is easy to cook,Meat has variety for different meals,I believe meat gives me energy
14,86,"meat meals, meals, meals eat meat, meat meal, eat meat meals, meals eat, meat meals eat, eat meat, meal, eat meat meal",I eat meat for dinner most days,I eat meat for most meals,My meals usually include meat,I eat meat for dinner every night,My typical meals usually include meat
15,77,"day eat, day, day eat meat, meat day eat, meat day, eat meat day, daily eat, daily, eat meat, daily eat meat",I eat meat every day,I eat meat most days,I eat meat almost every day,I eat meat almost daily,I eat meat daily
16,73,"protein, protein meat, meat protein, source, eat meat protein, protein source, source protein, high protein, meat, meat good",I think meat is a complete protein,I get protein from meat,Meat is a good source of protein,I value meat's high protein content,I find lean meats easiest for protein
17,68,"times, week eat, week, meat times, eat meat times, week eat meat, weekly eat, weekly, times week, times week eat",I eat meat five times per week,I eat red meat two times a week,I eat meat one to three times weekly,I eat meat four to five days weekly,I eat red meat up to twice a week
18,66,"reasons, meat health, friends, family, meat health reasons, health, meat friends, avoid meat, meat, health reasons",Some family avoid red meat for health,My father reduced meat for health reasons,Friends or family sometimes restrict meat for health,My family stopped eating meat,Vegetarian friends avoid meat for health
19,65,"husband, wife, partner, boyfriend, prefers, meat wife, eats, wife eats, meat partner, eating",My husband avoids red meat,My partner eats less meat now,My husband loves steak and pork,My wife suggests eating less meat,My wife avoids red meat
20,60,"grew, grew eating, raised, grew eating meat, raised eating, eating meat, eating, meat grew, raised eating meat, meat grew eating",I was raised eating pork,I grew up eating meat,I grew up eating meat-centered meals,Southern cuisine was central when growing up,I grew up eating a lot of meat
21,58,"crave, meat crave, like, crave meat, meat crave meat, like eating, meat, meat eat, eat meat available, feel like",I eat meat when craving it,I eat what I crave,I crave the taste of meat,I like meat,I eat whatever I am craving
22,56,"diet, balanced, balanced diet, want, variety, eat healthier, mindful, healthier, want balanced, diet want",I am very conscious about my diet,I focus on balancing my diet,I enjoy trying different foods,I am open to a balanced diet,I want to eat healthier meals
23,54,"enjoy taste meat, enjoy taste, taste meat enjoy, meat enjoy taste, meat enjoy, enjoy, taste meat, taste, meat, meat enjoy flavor",I enjoy the taste of meat,I enjoy the flavor of some meats,I enjoy pleasant meat aromas during cooking,I enjoy the flavor of meat,I enjoy having steak and ribs
24,50,"enjoy eating meat, enjoy eating, meat enjoy eating, eating meat enjoy, meat enjoy, enjoy, eating meat, eating, love, meat love eating",I enjoy eating meat,I love to eat meat,Eating meat is my favorite thing,I love eating meat,I prefer eating fresh meat
