Topic,Count,Name,Representation,Representative_Docs
-1,569,-1_eat_meat_eat meat_eating,"['eat', 'meat', 'eat meat', 'eating', 'know', 'meal', 'meat eat', 'meat meal', 'meats', 'eat meat meal']","['I eat meat at every meal', 'Most people I know eat meat regularly', 'Most people I know eat meat every meal']"
0,225,0_family_family eats_eats_meat family,"['family', 'family eats', 'eats', 'meat family', 'family eats meat', 'eats meat', 'meat family eats', 'meat', 'parents', 'members']","['My family eats meat', 'Everyone in my family eats meat', 'All my family eats meat']"
1,180,1_social_contacts_social contacts_friends,"['social', 'contacts', 'social contacts', 'friends', 'people', 'meat friends', 'people eat', 'people eat meat', 'eat meat', 'friends eat']","['Some social contacts eat meat daily', 'Social contacts eat meat regularly', 'My social contacts eat meat regularly']"
2,157,2_chicken_fish_eat chicken_turkey,"['chicken', 'fish', 'eat chicken', 'turkey', 'chicken fish', 'chicken turkey', 'eat chicken fish', 'prefer', 'eat fish', 'eat']","['I eat more chicken and fish now', 'I eat more chicken and fish', 'I eat chicken and fish']"
3,121,3_protein_want protein_want_protein want,"['protein', 'want protein', 'want', 'protein want', 'want protein want', 'protein want protein', 'need', 'iron', 'need protein', 'high protein']","['I want to get enough protein', 'I want to get more protein', 'I want to get enough protein']"
4,111,4_expensive_meat expensive_prices_cost,"['expensive', 'meat expensive', 'prices', 'cost', 'meat prices', 'alternatives', 'choices', 'expensive meat', 'limited', 'meat choices']","['Meat is expensive for me', 'Meat is very expensive', 'Meat is too expensive']"
5,82,5_environmental_impact_environmental impact_concerned,"['environmental', 'impact', 'environmental impact', 'concerned', 'concerned environmental', 'concerned environmental impact', 'environment', 'environmental impact concerned', 'impact concerned', 'environment concerned']","['I am concerned about environmental impact', 'I am concerned about environmental impact', 'I am concerned about environmental impact']"
6,81,6_buy_buy meat_grassfed_prefer,"['buy', 'buy meat', 'grassfed', 'prefer', 'sale', 'affordable', 'ethically', 'meat sale', 'grassfed meat', 'seek']","['I buy meat when it is on sale', 'I buy meat on sale', 'I buy more meat when it is on sale']"
7,77,7_wife_husband_partner_prefers,"['wife', 'husband', 'partner', 'prefers', 'meat wife', 'boyfriend', 'eats', 'meat husband', 'wife eats', 'husband prefers']","['My husband prefers eating meat', 'My wife eats the same as I do', 'My wife prefers red meat']"
8,73,8_times_week_week eat_meat times,"['times', 'week', 'week eat', 'meat times', 'eat meat times', 'weekly', 'weekly eat', 'week eat meat', 'times week', 'times week eat']","['I eat meat a few times a week', 'I eat meat four or five times a week', 'I eat meat several times a week']"
9,69,9_concerned animal_animal_concerned animal welfare_animal welfare,"['concerned animal', 'animal', 'concerned animal welfare', 'animal welfare', 'welfare', 'animal welfare concerned', 'welfare concerned', 'concerned', 'welfare concerned animal', 'farming']","['I am concerned about animal welfare', 'I am concerned about animal welfare', 'I am concerned about animal welfare']"
10,69,10_meat meals_eat meat meals_meals eat meat_meals eat,"['meat meals', 'eat meat meals', 'meals eat meat', 'meals eat', 'meals', 'meat meals eat', 'eat meat', 'include meat', 'include', 'eat']","['I eat meat for most meals', 'I eat meat with most meals', 'I eat meat most meals']"
11,65,11_meat tastes_tastes_meat easy_easy,"['meat tastes', 'tastes', 'meat easy', 'easy', 'meat tastes good', 'tastes good', 'filling', 'filling meat', 'tastes good meat', 'convenient']","['Meat tastes good to me', 'Meat tastes good', 'Meat tastes good']"
12,65,12_enjoy eating meat_enjoy eating_eating meat enjoy_enjoy,"['enjoy eating meat', 'enjoy eating', 'eating meat enjoy', 'enjoy', 'meat enjoy eating', 'meat enjoy', 'eating meat', 'eating', 'eating meat like', 'flavor']","['I enjoy eating meat', 'I enjoy eating meat', 'I enjoy eating meat']"
13,63,13_health_concerns_unhealthy_health concerns,"['health', 'concerns', 'unhealthy', 'health concerns', 'meat unhealthy', 'red meat', 'red', 'health concerns red', 'meat health concerns', 'meat concerned']","['I have health concerns about red meat', 'I have health concerns about red meat', 'Health concerns about red meat']"
14,57,14_diet_balanced diet_balanced_mindful,"['diet', 'balanced diet', 'balanced', 'mindful', 'choose', 'food', 'want balanced diet', 'variety diet', 'want variety', 'balance']","['I want a balanced diet', 'I want a more balanced diet', 'I want a balanced diet']"
15,55,15_meat protein_protein_eat meat protein_protein eat,"['meat protein', 'protein', 'eat meat protein', 'protein eat', 'protein eat meat', 'meat protein eat', 'iron', 'eat meat', 'protein meat', 'meat iron']","['I eat meat for protein', 'I eat meat for protein', 'I eat meat for protein']"
16,55,16_dislike_meat dislike_avoid meat_dislike taste,"['dislike', 'meat dislike', 'avoid meat', 'dislike taste', 'dont', 'like', 'avoid', 'meat', 'negative', 'taste']","['I dislike the taste of some meats', 'I dislike the taste of beef and pork', 'I dislike the taste of fish']"
17,53,17_cut_red meat_red_cut red,"['cut', 'red meat', 'red', 'cut red', 'cut red meat', 'stopped', 'reduced', 'stopped eating', 'doctor', 'meat reduced']","['I cut out red meat', 'I have cut back on red meat', 'I cut back on red meat']"
18,51,18_vegetables_vegetarian meals_vegetarian_meals,"['vegetables', 'vegetarian meals', 'vegetarian', 'meals', 'eat vegetables', 'eat vegetarian', 'vegetable', 'trying', 'enjoy', 'vegetables enjoy']","['Some days I eat vegetarian meals', 'I eat more vegetables now', 'I sometimes have vegetarian meals']"
19,49,19_believe_believe meat_nutritious_meat healthy,"['believe', 'believe meat', 'nutritious', 'meat healthy', 'necessary', 'health believe meat', 'health believe', 'healthy', 'health', 'essential']","['I believe meat is nutritious', 'I believe meat is healthy', 'I believe meat is healthy']"
20,49,20_reducing_reduce_reducing meat_consumption,"['reducing', 'reduce', 'reducing meat', 'consumption', 'reduce meat', 'meat consumption', 'reduce meat consumption', 'considered', 'try reduce', 'want eat meat']","['I try to reduce meat consumption', 'I try to reduce meat consumption', 'I try to reduce meat consumption']"
21,48,21_friends_reasons_avoid_meat health,"['friends', 'reasons', 'avoid', 'meat health', 'avoid meat', 'reasons friends', 'meat health reasons', 'health reasons', 'health', 'friends avoid']","['People avoid red meat for health reasons', 'Social contacts avoid meat for health reasons', 'Some social contacts avoid meat for health reasons']"
22,48,22_cholesterol_concerns_health concerns_concerned cholesterol,"['cholesterol', 'concerns', 'health concerns', 'concerned cholesterol', 'health', 'high', 'diabetes', 'blood pressure', 'concerns health', 'high blood pressure']","['I have health concerns', 'I have health concerns', 'I have health concerns']"
23,47,23_feel_incomplete_incomplete meat_documentaries,"['feel', 'incomplete', 'incomplete meat', 'documentaries', 'meat feel', 'feel meal incomplete', 'meal incomplete meat', 'feel meal', 'meal incomplete', 'feel incomplete']","['I feel a meal is incomplete without meat', 'I feel a meal is incomplete without meat', 'I feel a meal is incomplete without meat']"
24,45,24_animal_animals_welfare_animal welfare,"['animal', 'animals', 'welfare', 'animal welfare', 'care', 'care animal', 'care animal welfare', 'animals care', 'respect', 'lives']","['I care about animal welfare', 'I care about animal welfare', 'I care about animal welfare']"
25,43,25_want_healthier_want healthier_healthier want,"['want', 'healthier', 'want healthier', 'healthier want', 'healthy', 'healthy want', 'want healthy', 'want stay', 'stay', 'stay healthy']","['I want to be healthier', 'I want to be healthier', 'I want to be healthier']"
26,42,26_taste meat enjoy_enjoy taste meat_meat enjoy taste_enjoy taste,"['taste meat enjoy', 'enjoy taste meat', 'meat enjoy taste', 'enjoy taste', 'meat enjoy', 'taste meat', 'taste', 'enjoy', 'meat', 'ribs enjoy taste']","['I enjoy the taste of meat', 'I enjoy the taste of meat', 'I enjoy the taste of meat']"
27,41,27_concerned health_concerned_concerned health concerned_health concerned,"['concerned health', 'concerned', 'concerned health concerned', 'health concerned', 'health', 'health concerned health', 'heart', 'heart disease', 'disease', 'concerned health family']","['I am concerned about my health', 'I am concerned about my health', 'I am concerned about health']"
28,39,28_day eat_meat day eat_day eat meat_eat meat day,"['day eat', 'meat day eat', 'day eat meat', 'eat meat day', 'day', 'meat day', 'daily eat', 'meat daily eat', 'daily eat meat', 'daily']","['I eat meat every day', 'I eat meat every day', 'I eat meat every day']"
29,39,29_plantbased_plantbased meals_balance meat_balance,"['plantbased', 'plantbased meals', 'balance meat', 'balance', 'eat plantbased', 'plantbased foods', 'foods', 'include plantbased', 'meals', 'try plantbased']","['I try to balance meat with other foods', 'I balance meat with plant-based meals', 'I balance meat with plant-based meals']"
30,38,30_vegetarian_vegan_years_lost,"['vegetarian', 'vegan', 'years', 'lost', 'vegetarian vegan', 'benefits', 'health benefits', 'tried', 'vegan 20 years', 'vegan currently vegetarian']","['I am a vegetarian', 'I am vegetarian', 'I am vegetarian']"
31,36,31_avoid_avoid eating_avoid red_avoid red meat,"['avoid', 'avoid eating', 'avoid red', 'avoid red meat', 'red meat avoid', 'meat avoid', 'avoid eating red', 'beef avoid', 'avoid beef', 'red']","['I avoid eating red meat', 'I avoid eating red meat', 'I avoid eating red meat']"
32,36,32_love_meat love_love taste_meat love taste,"['love', 'meat love', 'love taste', 'meat love taste', 'love taste meat', 'taste meat love', 'taste', 'taste meat', 'love eating', 'meat love eating']","['I love the taste of meat', 'I love the taste of meat', 'I love the taste of meat']"
33,36,33_environmental_impact_environmental impact_concerns,"['environmental', 'impact', 'environmental impact', 'concerns', 'environmental concerns', 'production', 'environmental impact meat', 'impact meat', 'aware', 'meat aware']","['I considered environmental impact of meat', 'I consider environmental impact of meat', 'I consider environmental impact of meat']"
34,36,34_eat red meat_eat red_meat eat_red meat,"['eat red meat', 'eat red', 'meat eat', 'red meat', 'red', 'eat', 'meat eat red', 'used eat', 'red meat eat', 'eat beef']","['I eat less red meat', 'I eat less red meat', 'I eat less red meat']"
35,36,35_limit_try limit_limit meat_limit red,"['limit', 'try limit', 'limit meat', 'limit red', 'limit red meat', 'try limit meat', 'try', 'consumption', 'meat consumption', 'red meat consumption']","['I try to limit meat consumption', 'I try to limit meat', 'I try to limit my meat consumption']"
36,36,36_habit_meat habit_eating meat habit_routine,"['habit', 'meat habit', 'eating meat habit', 'routine', 'habit eating meat', 'habit eating', 'eating meat', 'meat routine', 'meat habit eating', 'eating']","['Eating meat is a habit for me', 'Eating meat is a habit for me', 'Eating meat is a habit for me']"
37,35,37_meat regularly eat_regularly eat_eat meat regularly_regularly eat meat,"['meat regularly eat', 'regularly eat', 'eat meat regularly', 'regularly eat meat', 'meat regularly', 'regularly', 'eat meat', 'eat', 'meat eat meat', 'meat']","['I eat meat regularly', 'I eat meat regularly', 'I regularly eat meat']"
