Topic,Count,Name,Representation,Representative_Docs
-1,685,-1_meat_eat meat_eat_taste,"['meat', 'eat meat', 'eat', 'taste', 'taste meat', 'eating', 'enjoy', 'feel', 'enjoy taste meat', 'enjoy taste']","['I enjoy the taste of meat', 'I eat meat often', 'I often do not eat any meat']"
0,306,0_avoid_red_red meat_meat,"['avoid', 'red', 'red meat', 'meat', 'avoid eating', 'pork', 'eating', 'meat avoid', 'meats', 'beef']","['I avoid red meat', 'I avoid eating red meat', 'I avoid eating red meat']"
1,255,1_want_plantbased_vegetables_diet,"['want', 'plantbased', 'vegetables', 'diet', 'meals', 'motivated', 'healthier', 'vegetarian', 'healthy', 'health']","['I want to be healthier', 'I want to be healthier', 'I want to be healthier']"
2,234,2_family_eats_family eats_meat family,"['family', 'eats', 'family eats', 'meat family', 'eats meat', 'family eats meat', 'meat', 'meat family eats', 'parents', 'son']","['My family eats more meat', 'My family eats meat', 'My family eats meat with me']"
3,221,3_social_contacts_social contacts_friends,"['social', 'contacts', 'social contacts', 'friends', 'people', 'eat meat', 'meat', 'people eat', 'community', 'friends eat']","['Some social contacts eat meat for protein', 'Social contacts eat meat regularly', 'My social contacts eat meat regularly']"
4,162,4_chicken_eat chicken_fish_eat,"['chicken', 'eat chicken', 'fish', 'eat', 'turkey', 'chicken eat', 'fish eat', 'eat fish', 'eat chicken fish', 'chicken fish']","['I mostly eat chicken', 'I mostly eat chicken', 'I eat mostly chicken']"
5,160,5_eat_eat meat_meat meals_meals,"['eat', 'eat meat', 'meat meals', 'meals', 'crave', 'meat', 'eat meat meals', 'meals eat', 'meat meals eat', 'occasionally']","['I eat meat at most meals', 'I eat meat with most meals', 'I eat meat with most meals']"
6,150,6_red meat_red_cut_meat,"['red meat', 'red', 'cut', 'meat', 'consumption', 'reducing', 'reduce', 'meat consumption', 'reduced', 'reducing meat']","['I cut out red meat', 'I have cut back on red meat', 'I cut back on red meat']"
7,118,7_protein_want protein_want_protein want,"['protein', 'want protein', 'want', 'protein want', 'protein want protein', 'want protein want', 'need', 'iron', 'high', 'need protein']","['I want to get enough protein', 'I want to get enough protein', 'I want to get enough protein']"
8,115,8_animal_animal welfare_welfare_concerned animal,"['animal', 'animal welfare', 'welfare', 'concerned animal', 'concerned animal welfare', 'concerned', 'animal welfare concerned', 'welfare concerned', 'welfare concerned animal', 'animals']","['I am concerned about animal welfare', 'I am concerned about animal welfare', 'I am concerned about animal welfare']"
9,115,9_expensive_meat expensive_prices_meat prices,"['expensive', 'meat expensive', 'prices', 'meat prices', 'cost', 'alternatives', 'meat', 'choices', 'expensive meat', 'price']","['Meat is expensive for me', 'Meat is sometimes expensive', 'Meat is expensive']"
10,113,10_protein_believe_meat protein_believe meat,"['protein', 'believe', 'meat protein', 'believe meat', 'eat meat protein', 'meat', 'meat feels', 'eat meat', 'eating meat feels', 'feels']","['I eat meat for protein', 'I eat meat for protein', 'I eat meat for protein']"
