Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,560,OUTLIER,I enjoy the taste of meat,I grew up eating meat at meals,I like the taste of meat,I was raised on a farm,I am concerned about my health
0,1151,"meat, eat, eating, eat meat, eating meat, meals, avoid, beef, meats, health",I believe meat is essential,Meat is easy to cook,Most recipes I know use meat,I find meat convenient,Meat-centered meals feel complete
1,458,"family, meat, friends, social, contacts, meat family, eats, social contacts, eat meat, eat",My family eats more meat than I do,Some social contacts focus on taste,Social contacts are motivated by animal welfare,Some social contacts avoid meat for animal welfare,Social contacts value convenience of meat consumption
2,292,"chicken, fish, eat chicken, eat, turkey, chicken fish, chicken turkey, eat fish, beef, prefer",I choose chicken and turkey for health,My significant other mostly eats chicken,I eat chicken and turkey often,Chicken and fish agree with me,Weight Watchers favors chicken and turkey
3,204,"protein, want, want protein, meat protein, source, protein want, protein meat, iron, high protein, meat",I believe meat provides necessary protein,I see meat as a good protein source,I want high-quality protein,I want to get enough protein,I want to get a lot of protein
4,190,"red, red meat, meat, eat red meat, eat red, cut, eating red, eating red meat, avoid, avoid red meat",Red meat makes you gain weight,I believe red meat is hard to digest,My uncles and father limit red meat,I eat less red meat,Family and friends eat less red meat
5,186,"want, weight, motivated, cholesterol, diet, healthy, healthier, health, lose, motivated health",I plan elimination and reintegration diets,I want to exercise more,I want to lose weight,I try to eat more sustainably,I want to be healthier
6,135,"vegetarian, vegan, vegetarian meals, meals, vegetarians, friends, options, pescatarian, vegetarian options, years",I sometimes have vegetarian meals,I am open to trying a vegan diet,My nephew is vegan,My dad and stepmom are vegetarians,I am happy with vegetarian meals
7,126,"animal, welfare, animal welfare, concerned animal, animals, concerned animal welfare, concerned, welfare concerned, animal welfare concerned, welfare concerned animal",I am concerned about animal rights,I care about animal welfare,I am an animal welfare advocate,I feel guilty about animal suffering,I want animals to have decent lives
8,80,"times, week, eat meat, eat meat times, meat times, week eat, eat, week eat meat, weekly, weekly eat",I do intermittent fasting,I have meat-free days each week,I eat meat at least once daily,I eat about five servings of meat a week,I limit meat to two or three days weekly
9,76,"eat meat, eat meat day, day, meat day, day eat, eat, day eat meat, meat day eat, meat daily, daily",I eat meat for dinner most days,I eat meat every day,I eat meat almost daily,Eating meat is part of my routine,I eat meat daily
