key,wave,stance,canvas,topic,topic_conf,assigned_prob
3d1ddc23b606b8c8,1,I eat meat at least once a day,True,2,0.4471603797206143,0.4471603797206143
3d1ddc23b606b8c8,1,I grew up eating meat at meals,True,39,1.0,1.0
3d1ddc23b606b8c8,1,My parents served meat with dinner,True,4,0.09312336801000394,0.09312336801000394
3d1ddc23b606b8c8,1,My family eats meat as main portion,True,4,0.07910289208503939,0.057022862388107554
3d1ddc23b606b8c8,1,Meat-eating is a family tradition,True,4,1.0,1.0
3d1ddc23b606b8c8,1,I feel guilty about eating animals,True,-1,0.2534862267072724,
3d1ddc23b606b8c8,1,My religious beliefs justify eating animals,True,23,1.0,1.0
242bdf6bc5bb0b94,1,I eat meat at least once daily,True,2,0.4340768905231143,0.4340768905231143
242bdf6bc5bb0b94,1,I like the taste of meat,True,35,1.0,1.0
242bdf6bc5bb0b94,1,I have no moral issues eating meat,True,24,1.0,1.0
242bdf6bc5bb0b94,1,I was raised on a farm,True,4,0.13136493818946557,0.13136493818946557
242bdf6bc5bb0b94,1,Eating meat is a family tradition,True,4,1.0,1.0
242bdf6bc5bb0b94,1,Doctor recommended I eat lean beef,True,-1,0.061847639227109875,
242bdf6bc5bb0b94,1,I am chronically anemic,True,5,0.17968604452447293,0.17968604452447293
242bdf6bc5bb0b94,1,Some relatives hunt and eat game meats,True,4,0.10766126039394093,0.10766126039394093
242bdf6bc5bb0b94,1,I sometimes reduce meat due to health issues,True,18,0.10482497266763538,0.09705960013830282
242bdf6bc5bb0b94,1,I believe too much meat can harm health,True,27,0.3489416828987517,0.3489416828987517
c0ac91fae56c6ec3,1,I eat meat every day,True,17,0.11478050285191436,0.11478050285191436
c0ac91fae56c6ec3,1,I like the taste of meat,True,35,1.0,1.0
c0ac91fae56c6ec3,1,I choose chicken and turkey for health,True,1,0.5102913054741203,0.5102913054741203
c0ac91fae56c6ec3,1,I think chicken and turkey are healthier,True,0,1.0,1.0
c0ac91fae56c6ec3,1,I eat lean beef to reduce fat,True,-1,0.08154629149824918,
