participant_id,topic_id,degree_unweighted,degree_weighted,present_wave2
01d6c865ad629e1f,-1,2,3,0
01d6c865ad629e1f,0,3,4,1
01d6c865ad629e1f,1,1,2,1
01d6c865ad629e1f,3,1,1,1
0266776e84599980,-1,1,1,1
0266776e84599980,0,4,5,1
0266776e84599980,3,1,1,0
0266776e84599980,5,0,0,1
0266776e84599980,7,1,2,0
036858a3a8430897,-1,2,2,1
036858a3a8430897,0,2,2,1
036858a3a8430897,3,1,1,1
036858a3a8430897,5,2,2,0
036858a3a8430897,7,2,2,0
036858a3a8430897,13,2,2,0
036858a3a8430897,14,1,1,0
04311d2ad745c4c6,-1,4,5,1
04311d2ad745c4c6,0,1,1,1
04311d2ad745c4c6,2,1,1,1
04311d2ad745c4c6,5,1,1,0
04311d2ad745c4c6,6,1,1,0
04311d2ad745c4c6,14,2,3,1
05dc9cc1ea5a74bc,-1,2,4,1
05dc9cc1ea5a74bc,0,1,1,1
05dc9cc1ea5a74bc,1,2,4,1
05dc9cc1ea5a74bc,9,1,1,0
05dc9cc1ea5a74bc,13,1,2,1
06a4dd916c731ccf,4,1,4,1
06a4dd916c731ccf,10,1,4,1
086ecf273585a9a4,-1,2,2,1
086ecf273585a9a4,2,4,7,0
086ecf273585a9a4,4,5,8,0
086ecf273585a9a4,12,3,3,1
086ecf273585a9a4,14,2,2,1
0abdb72dd1d9ebaf,-1,6,7,1
0abdb72dd1d9ebaf,0,1,1,1
0abdb72dd1d9ebaf,1,1,1,1
0abdb72dd1d9ebaf,2,1,1,0
0abdb72dd1d9ebaf,5,1,1,0
0abdb72dd1d9ebaf,13,1,2,1
0d3cc90a72fbaf72,-1,1,1,1
0d3cc90a72fbaf72,0,1,1,1
0d3cc90a72fbaf72,1,2,2,1
0d3cc90a72fbaf72,2,1,1,0
0d3cc90a72fbaf72,5,3,3,1
0d3cc90a72fbaf72,7,2,2,0
0d3cc90a72fbaf72,13,1,1,1
0ec83457dd9ad9bb,-1,1,1,1
0ec83457dd9ad9bb,0,1,1,1
0ec83457dd9ad9bb,1,0,0,1
0ec83457dd9ad9bb,13,2,2,0
0ef0a9479b25eda6,0,2,2,1
0ef0a9479b25eda6,5,2,3,1
0ef0a9479b25eda6,6,4,8,1
0ef0a9479b25eda6,7,2,3,1
0ef0a9479b25eda6,8,2,2,0
0ef0a9479b25eda6,11,5,6,1
0ef0a9479b25eda6,12,2,2,0
11e5443a9c9c5d6e,0,1,1,1
11e5443a9c9c5d6e,1,2,3,1
11e5443a9c9c5d6e,2,1,1,1
11e5443a9c9c5d6e,3,1,1,1
11e5443a9c9c5d6e,4,2,3,1
11e5443a9c9c5d6e,10,4,4,1
13acdf8c5c78ff2c,-1,1,1,1
13acdf8c5c78ff2c,0,2,4,0
13acdf8c5c78ff2c,6,0,0,1
153e1235a7bc0b55,0,2,2,1
153e1235a7bc0b55,5,3,3,0
153e1235a7bc0b55,6,2,2,1
153e1235a7bc0b55,7,1,1,0
153e1235a7bc0b55,8,1,1,0
1940655aa6fd764b,0,5,6,1
1940655aa6fd764b,3,2,2,1
1940655aa6fd764b,7,4,4,0
1940655aa6fd764b,9,3,4,0
1940655aa6fd764b,11,1,1,1
1940655aa6fd764b,14,2,2,0
1c2579f87fb55244,0,2,4,1
1c2579f87fb55244,1,0,0,1
1c2579f87fb55244,9,1,1,0
1c8a868b5e0ce4ef,-1,1,1,1
1c8a868b5e0ce4ef,0,5,7,1
1c8a868b5e0ce4ef,1,3,4,1
1c8a868b5e0ce4ef,3,4,4,0
1c8a868b5e0ce4ef,5,3,4,1
1c8a868b5e0ce4ef,9,1,1,0
1c8a868b5e0ce4ef,11,2,2,0
1c8a868b5e0ce4ef,13,5,5,0
1fcd68a516b33f04,-1,3,3,1
1fcd68a516b33f04,0,1,1,1
1fcd68a516b33f04,1,2,2,1
1fcd68a516b33f04,5,1,1,1
1fcd68a516b33f04,7,0,0,0
1fcd68a516b33f04,9,1,1,0
234e7d4c1559a3d0,-1,0,0,0
234e7d4c1559a3d0,0,2,6,0
234e7d4c1559a3d0,2,1,4,1
234e7d4c1559a3d0,4,2,3,1
234e7d4c1559a3d0,10,1,1,1
242bdf6bc5bb0b94,-1,2,5,1
242bdf6bc5bb0b94,0,6,12,1
242bdf6bc5bb0b94,1,2,4,1
242bdf6bc5bb0b94,5,5,8,1
242bdf6bc5bb0b94,9,2,3,1
242bdf6bc5bb0b94,10,2,2,1
248480856d4a9c8c,0,3,3,1
248480856d4a9c8c,1,2,3,1
248480856d4a9c8c,2,1,1,1
248480856d4a9c8c,3,1,1,1
248480856d4a9c8c,7,0,0,0
248480856d4a9c8c,11,0,0,0
248480856d4a9c8c,13,2,2,0
24905a929f5aaec2,-1,2,5,1
24905a929f5aaec2,4,2,7,1
24905a929f5aaec2,6,1,1,0
24e9f4a8dba444ba,-1,5,12,1
24e9f4a8dba444ba,0,5,17,1
24e9f4a8dba444ba,1,5,8,1
24e9f4a8dba444ba,2,0,0,0
24e9f4a8dba444ba,5,3,5,0
24e9f4a8dba444ba,7,3,5,0
24ea44f928c011ba,0,3,5,1
24ea44f928c011ba,1,3,5,1
24ea44f928c011ba,5,3,3,1
24ea44f928c011ba,13,1,1,0
25c3702e02bdfd45,0,2,2,1
25c3702e02bdfd45,1,1,1,1
25c3702e02bdfd45,3,3,3,0
25c3702e02bdfd45,6,4,4,1
25c3702e02bdfd45,10,1,1,0
25c3702e02bdfd45,13,3,3,1
25c3702e02bdfd45,14,0,0,0
25d9c5f16c668c52,-1,1,3,1
25d9c5f16c668c52,0,4,6,1
25d9c5f16c668c52,1,2,2,1
25d9c5f16c668c52,9,1,1,1
298335236c158975,-1,3,5,1
298335236c158975,0,2,5,1
298335236c158975,1,2,2,1
298335236c158975,3,2,2,0
298335236c158975,9,2,2,0
2a27143cb3ff288a,-1,2,5,0
2a27143cb3ff288a,0,2,3,1
2a27143cb3ff288a,2,3,7,1
2b66cc6ef7bd17ea,-1,3,6,0
2b66cc6ef7bd17ea,0,3,6,1
2b66cc6ef7bd17ea,3,3,5,1
2b66cc6ef7bd17ea,6,2,2,0
2b66cc6ef7bd17ea,14,0,0,0
2bfe07abba85396f,-1,2,4,1
2bfe07abba85396f,0,2,5,1
2bfe07abba85396f,1,3,4,1
2bfe07abba85396f,14,1,1,0
2c779c0028c91422,0,5,11,1
2c779c0028c91422,1,1,1,1
2c779c0028c91422,3,1,3,1
2c779c0028c91422,9,1,2,0
2c779c0028c91422,13,1,2,1
2e7d088561cde19d,-1,3,5,0
2e7d088561cde19d,0,4,6,1
2e7d088561cde19d,2,4,8,1
2e7d088561cde19d,4,4,5,0
30f98abadffddf8e,0,1,1,1
30f98abadffddf8e,1,3,3,1
30f98abadffddf8e,2,1,1,0
30f98abadffddf8e,3,1,1,1
30f98abadffddf8e,5,2,2,0
30f98abadffddf8e,9,1,1,1
3307a1b25ba01794,-1,2,2,1
3307a1b25ba01794,0,3,8,1
3307a1b25ba01794,1,1,1,1
3307a1b25ba01794,6,2,5,1
333a4e955656276f,-1,0,0,0
333a4e955656276f,0,3,5,1
333a4e955656276f,1,0,0,1
333a4e955656276f,4,2,3,1
333a4e955656276f,10,3,4,1
333a4e955656276f,12,2,2,1
337e9146d26fc3eb,0,3,3,1
337e9146d26fc3eb,1,2,2,1
337e9146d26fc3eb,3,1,1,0
337e9146d26fc3eb,5,0,0,0
337e9146d26fc3eb,10,3,3,1
338e11072f0a9a3c,0,3,4,1
338e11072f0a9a3c,2,3,3,0
338e11072f0a9a3c,3,2,2,1
338e11072f0a9a3c,4,1,1,1
338e11072f0a9a3c,6,2,2,1
36d1ca03b3d61873,-1,1,1,1
36d1ca03b3d61873,0,3,5,1
36d1ca03b3d61873,3,0,0,1
36d1ca03b3d61873,14,1,1,1
3715bc392d7a07ee,-1,5,7,1
3715bc392d7a07ee,0,4,7,1
3715bc392d7a07ee,1,2,2,1
3715bc392d7a07ee,2,2,3,0
3715bc392d7a07ee,13,2,2,0
37899912f4a5a971,-1,2,2,1
37899912f4a5a971,0,1,1,1
37899912f4a5a971,4,4,4,1
37899912f4a5a971,6,1,1,0
37899912f4a5a971,10,2,3,0
3828779ad7644dd3,0,2,5,1
3828779ad7644dd3,1,0,0,1
3828779ad7644dd3,8,3,4,1
3828779ad7644dd3,11,1,1,0
3a4931c85b6bb77d,-1,1,2,1
3a4931c85b6bb77d,0,1,1,1
3a4931c85b6bb77d,1,1,2,1
3a4931c85b6bb77d,4,6,10,1
3a4931c85b6bb77d,6,2,3,0
3a4931c85b6bb77d,10,2,3,1
3adb7e8ae191bee6,-1,0,0,1
3adb7e8ae191bee6,0,4,4,1
3adb7e8ae191bee6,1,1,1,0
3adb7e8ae191bee6,2,1,1,1
3adb7e8ae191bee6,10,3,3,1
3adb7e8ae191bee6,11,1,1,0
3d1ddc23b606b8c8,-1,3,5,1
3d1ddc23b606b8c8,1,4,12,1
3d1ddc23b606b8c8,5,3,5,1
3d1ddc23b606b8c8,8,4,10,1
3e8a40a8a3361337,-1,2,3,1
3e8a40a8a3361337,7,3,4,1
3e8a40a8a3361337,8,2,2,1
405ae83ad699f77e,0,1,1,1
405ae83ad699f77e,1,2,2,1
405ae83ad699f77e,3,3,3,0
405ae83ad699f77e,5,1,1,0
405ae83ad699f77e,9,1,1,1
41c5996495e366da,-1,1,1,1
41c5996495e366da,3,1,2,1
41c5996495e366da,5,3,4,1
41c5996495e366da,6,1,1,0
41c5996495e366da,7,1,1,1
41c5996495e366da,8,3,5,1
41c5996495e366da,12,1,1,1
41f4d247212a91b7,-1,0,0,0
41f4d247212a91b7,0,4,8,1
41f4d247212a91b7,2,2,3,0
41f4d247212a91b7,3,2,2,0
41f4d247212a91b7,5,4,8,0
41f4d247212a91b7,11,2,2,1
436f8fdfd9f19736,-1,3,3,1
436f8fdfd9f19736,0,3,5,1
436f8fdfd9f19736,1,1,1,1
436f8fdfd9f19736,3,1,1,0
436f8fdfd9f19736,6,1,1,0
44bb0706ca255d7e,-1,1,1,0
44bb0706ca255d7e,0,4,4,0
44bb0706ca255d7e,1,3,3,0
44bb0706ca255d7e,2,3,3,1
44bb0706ca255d7e,4,2,2,1
44bb0706ca255d7e,8,1,1,0
44bb0706ca255d7e,13,3,3,0
4911e6bef9ac963c,0,3,4,1
4911e6bef9ac963c,1,3,3,1
4911e6bef9ac963c,6,2,3,1
4c0618a1f49cf2e9,0,1,1,1
4c0618a1f49cf2e9,1,2,2,1
4c0618a1f49cf2e9,2,2,2,1
4c0618a1f49cf2e9,6,3,3,1
4c0618a1f49cf2e9,8,1,1,1
4c0618a1f49cf2e9,10,1,1,1
4c0618a1f49cf2e9,11,2,3,1
4c0618a1f49cf2e9,12,1,2,0
4dc0b760b47b9e68,-1,3,6,0
4dc0b760b47b9e68,0,4,16,1
4dc0b760b47b9e68,3,4,10,1
4dc0b760b47b9e68,9,3,7,0
5152ad6df864fdab,0,4,6,1
5152ad6df864fdab,1,2,2,0
5152ad6df864fdab,3,4,6,1
5152ad6df864fdab,5,2,2,1
5152ad6df864fdab,6,2,2,1
520db7eff8e356ca,-1,3,4,0
520db7eff8e356ca,0,2,2,1
520db7eff8e356ca,3,2,2,1
520db7eff8e356ca,5,4,5,1
520db7eff8e356ca,7,0,0,0
520db7eff8e356ca,13,1,1,0
53cf43f573cc8f32,-1,2,2,0
53cf43f573cc8f32,0,4,6,1
53cf43f573cc8f32,1,2,3,1
53cf43f573cc8f32,3,1,1,1
53cf43f573cc8f32,13,3,4,1
54b98e8a7620dd67,-1,3,5,1
54b98e8a7620dd67,1,1,1,0
54b98e8a7620dd67,2,4,6,1
54b98e8a7620dd67,4,1,2,1
54b98e8a7620dd67,6,2,2,1
54cc4241bdbfff9e,0,3,4,1
54cc4241bdbfff9e,4,2,3,1
54cc4241bdbfff9e,5,4,4,0
54cc4241bdbfff9e,6,4,6,0
54cc4241bdbfff9e,12,2,2,1
56bf7903d2e713c7,0,1,2,0
56bf7903d2e713c7,1,0,0,1
56bf7903d2e713c7,4,1,1,0
56bf7903d2e713c7,6,1,1,0
56bf7903d2e713c7,7,1,1,1
56bf7903d2e713c7,8,3,7,1
56bf7903d2e713c7,11,3,6,0
57e921dbf3976ff9,0,3,4,1
57e921dbf3976ff9,1,1,1,1
57e921dbf3976ff9,3,1,1,1
5a6edee02aac678f,0,1,2,1
5a6edee02aac678f,1,1,1,1
5a6edee02aac678f,2,2,3,0
5a6edee02aac678f,3,2,3,1
5a6edee02aac678f,5,3,3,1
5a6edee02aac678f,9,4,5,0
5abe20da31c1510b,-1,2,3,0
5abe20da31c1510b,0,1,1,1
5abe20da31c1510b,1,2,2,1
5abe20da31c1510b,3,1,1,1
5abe20da31c1510b,5,1,1,1
5abe20da31c1510b,6,0,0,0
5abe20da31c1510b,10,3,4,0
5ae9064e5cbccf07,-1,1,3,0
5ae9064e5cbccf07,0,2,3,0
5ae9064e5cbccf07,1,2,6,0
5ae9064e5cbccf07,2,1,1,1
5ae9064e5cbccf07,3,3,5,1
5ae9064e5cbccf07,11,2,3,1
5c9113c3b7df8e3e,-1,1,1,1
5c9113c3b7df8e3e,0,0,0,1
5c9113c3b7df8e3e,1,2,2,0
5c9113c3b7df8e3e,6,1,1,0
5c9113c3b7df8e3e,10,2,2,1
5c9113c3b7df8e3e,11,0,0,0
5c9113c3b7df8e3e,13,2,2,0
5cac8fe98f0a075d,0,1,3,1
5cac8fe98f0a075d,1,2,3,1
5cac8fe98f0a075d,3,1,2,1
5cac8fe98f0a075d,7,2,2,1
5cac8fe98f0a075d,8,1,1,1
5cac8fe98f0a075d,12,4,6,1
5d5930b9486b3aef,-1,1,2,0
5d5930b9486b3aef,0,2,3,1
5d5930b9486b3aef,2,3,6,1
5d841d10765ae730,0,4,9,1
5d841d10765ae730,10,3,4,1
5d841d10765ae730,11,3,3,0
5d841d10765ae730,12,3,5,1
5dac8afcada7c2a4,-1,3,6,1
5dac8afcada7c2a4,1,3,4,1
5dac8afcada7c2a4,2,1,1,1
