embed_model_outname,run_id,run_dir,umap_n_neighbors,umap_n_components,umap_min_dist,hdb_min_cluster_size,hdb_min_samples,n_total,n_topics,dbcv,n_outliers,n_topic0,outlier_rate,topic0_ratio,outlier_0_ratio,distortion,mean_assigned_prob
all-MiniLM-L6-v2,20260210_222546_aeba978b,run_20260210_222546_aeba978b,45,2,0.1,50,5,3458,28,0.4454848663976549,738,239,0.21341816078658185,0.0691150954308849,0.2825332562174667,0.2025383212877547,0.7333969537145448
qwen3-embedding-0.6b,20260210_221633_570b87a6,run_20260210_221633_570b87a6,30,10,0.1,75,5,3458,15,0.4314026922441897,551,605,0.15934065934065933,0.1749566223250434,0.3342972816657027,0.14387771110990674,0.5643395327430917
qwen3-embedding-0.6b,20260210_221845_49de70a3,run_20260210_221845_49de70a3,45,2,0.1,50,5,3458,29,0.43016990697357627,517,251,0.1495083863504916,0.07258530942741469,0.2220936957779063,0.1184233370098035,0.7149585034306273
bert-base-nli-mean-tokens,20260210_222825_08d0114d,run_20260210_222825_08d0114d,30,2,0.1,25,5,3458,49,0.42632536642625773,615,234,0.17784846732215154,0.06766917293233082,0.24551764025448236,0.12675593400814983,0.6753054651386378
bert-base-nli-mean-tokens,20260210_222655_488612a3,run_20260210_222655_488612a3,30,10,0.1,50,5,3458,23,0.42325685917245565,790,462,0.22845575477154426,0.13360323886639677,0.36205899363794103,0.1630868606906066,0.6867326835195137
bert-base-nli-mean-tokens,20260210_222754_ed3011b2,run_20260210_222754_ed3011b2,15,2,0.1,25,5,3458,43,0.41687175363431966,639,307,0.18478889531521112,0.08877964141122036,0.27356853672643144,0.13890710956198649,0.6861935766894397
all-MiniLM-L6-v2,20260210_222351_76cefc5d,run_20260210_222351_76cefc5d,30,10,0.1,50,5,3458,23,0.4112835277662305,839,292,0.2426257952573742,0.08444187391555813,0.32706766917293234,0.2125199026065093,0.702905228527568
qwen3-embedding-0.6b,20260210_221858_a0d6d680,run_20260210_221858_a0d6d680,45,2,0.1,75,5,3458,17,0.4063435169678874,668,376,0.19317524580682474,0.10873337189126663,0.3019086176980914,0.1397473167134015,0.6655090039036067
bge-large-en-v1.5,20260210_222154_e7610207,run_20260210_222154_e7610207,30,2,0.1,25,5,3458,46,0.4039587960781435,351,308,0.10150375939849623,0.08906882591093117,0.19057258530942742,0.10761816230355868,0.6593177502301997
bert-base-nli-mean-tokens,20260210_222644_d8c0bf40,run_20260210_222644_d8c0bf40,30,10,0.1,25,5,3458,43,0.4005265249398556,668,254,0.19317524580682474,0.07345286292654714,0.2666281087333719,0.12501598978982603,0.6706579320964767
bert-base-nli-mean-tokens,20260210_222836_5385f300,run_20260210_222836_5385f300,30,2,0.1,50,5,3458,19,0.39732129542814154,718,323,0.20763447079236552,0.09340659340659341,0.30104106419895893,0.16678733651655434,0.6189174482757487
qwen3-embedding-0.6b,20260210_221530_6181ad35,run_20260210_221530_6181ad35,15,10,0.1,25,5,3458,48,0.39508050561957675,612,236,0.1769809138230191,0.06824754193175246,0.24522845575477153,0.10599668739718278,0.6998424249034682
all-MiniLM-L6-v2,20260210_222527_5fffdd10,run_20260210_222527_5fffdd10,30,2,0.1,75,5,3458,17,0.3909935374827801,739,343,0.21370734528629265,0.09919028340080972,0.31289762868710236,0.24077146076989464,0.6760414942434695
