Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,781,OUTLIER,I enjoy the taste of meat,I eat meat often,I eat meat at least once a day,I grew up eating meat at meals,Meat-eating is a family tradition
0,317,"avoid, meat, eating, red, red meat, pork, feel, avoid eating, meat avoid, meats",I avoid red meat and pork,I dislike tofu,I avoid eating beef and pork,I do not like red meat texture,I avoid eating animal products
1,251,"friends, social, contacts, social contacts, eat meat, meat, eat, friends eat, people, friends eat meat",Social contacts also eat meat out of habit,Healthy eating is valued by social contacts,Friends buy fresh meat from local farmers,Some social contacts focus on taste,Some social contacts value tradition
2,231,"family, eats, family eats, meat family, eats meat, family eats meat, meat, meat family eats, parents, son",My family eats more meat than I do,My family values eating common meat,My family eats meat frequently,My family includes meat in their meals,I encourage family to eat organic meat
3,230,"eat, eat meat, times, week, meat, meat times, eat meat times, weekly, meat meals, meals eat",I eat red meat occasionally,I eat meat for most meals,I include meat in most meals,I eat meat 2-3 times a week,I eat more meat during special occasions
4,229,"meat, believe, buy, believe meat, eating meat, meat feels, eating, feels, meat easy, convenient",Meat tastes great with meals,Mushrooms satisfy desire for meat,I have more energy after reducing meat,Eating meat makes me feel better,Meat is the focal point of big meals
5,211,"chicken, fish, eat chicken, eat, turkey, chicken fish, chicken turkey, prefer, eat fish, chicken eat",We eat fish more days of the week,"I eat chicken, turkey, and fish",I eat fried chicken and fried fish,I eat chicken and fish,I eat pork and chicken regularly
6,199,"meat, red meat, red, consumption, limit, meat consumption, cut, try, eat, reducing",I have seen excellent results reducing meat,I have cut back on red meat,I have cut back on beef,I have cut down on meat,I have cut back on meat
7,193,"want, weight, motivated, healthy, diet, healthier, health, lose, lose weight, motivated health",I get bored with the same meals,I am open to trying new meats,I prefer foods that are fast and convenient,I am considering portion control,I stick with my preferences
8,173,"protein, want, want protein, meat protein, iron, protein want, eat meat protein, need, protein eat, protein meat",I prioritize eating high protein foods,I want foods high in protein,I need protein,I want to hit protein goals,I want enough protein and nutrients
9,164,"vegetarian, meals, plantbased, vegetables, vegan, vegetarian meals, plantbased meals, meatless, balance, balance meat",I enjoy the challenge of vegetarian cooking,I find plant-based meals easy and light,I balance meat intake for health,I have vegetarian dinners some days,I eat more vegetables as snacks
10,116,"animal, animal welfare, welfare, concerned animal, concerned animal welfare, concerned, animal welfare concerned, welfare concerned, animals, welfare concerned animal",I am concerned about animal rights,I am concerned about animal welfare,I consider animal intelligence,I approve eating animals if not cruel,My mom cares about animal welfare
11,106,"health, concerned, concerned health, cholesterol, concerns, health concerns, concerned health concerned, health concerned, want reduce, want",I have health concerns,I was pre-diabetic before changing my diet,I am concerned about health effects,I have high cholesterol,I am concerned about health
12,93,"expensive, meat expensive, prices, cost, meat prices, expensive meat, choices, meat, price, limited",Red meat is expensive,Non-meat alternatives are often expensive,High meat prices affect my habits,Financial limitations affect my meat choices,Meat can be expensive for me
13,82,"wife, husband, partner, prefers, boyfriend, eats, meat husband, meat wife, eating, meat",My husband avoids red meat,My wife suggests eating less meat,My wife cannot tolerate beef,My wife makes veggie dishes sometimes,My wife has similar eating habits
14,82,"environmental, concerned, impact, environmental impact, concerned environmental, concerned environmental impact, environment, environmental impact concerned, impact concerned, environment concerned",I care about sustainability,I hear about environmental impact in the news,I am concerned about the environment,I am concerned about chemical additives,I am concerned about environmental impact
