Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,512,OUTLIER,We grew up eating meat,I grew up eating meat,I grew up eating meat at meals,I was raised on a farm,I have tried to cut back on red meat
0,256,"meat, consumption, eating, reducing, eating meat, feel, reducing meat, meat consumption, considered, beef",I have reduced meat per meal,I frequently think about reducing meat consumption,I have lost weight after reducing meat,I am open to reducing meat consumption,Eating cheese or eggs reduces my meat intake
1,242,"want, health, weight, concerned, concerned health, cholesterol, diet, healthy, healthier, lose",I have health concerns,I am concerned about health impacts,I want to eat healthier,I try to eat more sustainably,I am concerned about health
2,238,"family, meat family, family eats, eats, family eats meat, meat, eats meat, friends, family eat, eat meat family",My children eat more meat than I do,My family members eat meat frequently,My family eats meat regularly,My family ate meat daily while growing up,My family eats more meat than I do
3,237,"meat, expensive, processed, meats, prices, meat expensive, choices, meat prices, cost, alternatives",I consider price when choosing meat,Non-meat options are not reasonably priced,Financial cost affects meat choices,Meat is too expensive,Meat is expensive
4,175,"chicken, eat chicken, turkey, chicken turkey, eat, prefer, beef, fish, chicken eat, ground",I mostly eat chicken,I prefer to eat chicken,I eat only chicken and turkey,I primarily eat chicken,My household primarily eats chicken
5,167,"red, red meat, eat red meat, eat red, meat, eating red, eating red meat, avoid red, avoid red meat, avoid",I still consume red meat,I avoid red meat,I avoid eating red meat,I occasionally eat red meat,I rarely eat red meat
6,139,"social, contacts, social contacts, friends, meat social, meat social contacts, meat friends, contacts eat, meat, contacts eat meat",Social contacts like the taste of meat,Friends prioritize convenience over health,Comfort food habits influence my social circle,Social contacts also eat meat out of habit,Social contacts do not influence my choices
7,132,"animal, animal welfare, welfare, concerned animal, animals, concerned animal welfare, concerned, animal welfare concerned, welfare concerned, welfare concerned animal",I am concerned about animal rights,I avoid stories about animal welfare in meat,I feel moral unease about eating animals,I consider animal intelligence,I approve eating animals if not cruel
8,131,"vegetarian, vegan, vegetarian meals, vegetarians, meals, options, vegetarian options, friends, years, vegetarianism",I tried being vegetarian,My child is vegetarian for ethical reasons,I was vegetarian for 19 years,My eldest is a vegetarian,I would like to be vegetarian
9,124,"protein, meat protein, protein meat, iron, source, eat meat protein, meat, protein source, protein eat, meat provides",I see meat as a good protein source,I prefer meat protein sources,Meat is a good protein source,My preference for protein is fish or eggs,Meat gives us protein
10,108,"plantbased, vegetables, foods, plantbased meals, meals, balance, plantbased foods, balance meat, food, eat plantbased",One friend eats more fruits and vegetables,I try to balance meat with other foods,I will eat more vegetables if prepared deliciously,I do not like beans,I do not eat many fruits or vegetables
11,102,"eat meat regularly, crave, meat regularly, regularly, eat meat, eat, meat regularly eat, regularly eat, meat eat, meat eat meat",I eat various meats regularly,I mostly eat meat,I am used to eating meat,I eat meat regularly,I eat meat occasionally
12,87,"protein, want protein, want, protein want, protein want protein, want protein want, need, protein diet, need protein, high protein",I want to get enough protein,I want protein for energy and focus,I want more protein,I want more protein for athletic needs,I need protein for workouts
13,87,"meals, meat meals, eat meat meals, meal, eat meat, eat, eat meat meal, meals eat, meat meals eat, meat meal",I eat smaller portions of meat,I eat meat during dinner meals,I eat meat for most meals,I sometimes skip meat for meals,I eat meat with most meals
14,86,"environmental, concerned, impact, environmental impact, concerned environmental, environment, concerned environmental impact, impact concerned, environmental impact concerned, environment concerned",I care about sustainability,I am concerned about environmental impact,I want to reduce environmental blueprint,I am concerned about the environment,I care about the environment
15,83,"enjoy eating, enjoy eating meat, enjoy, meat enjoy eating, meat enjoy, eating meat, eating, eating meat enjoy, meat, meat like",I enjoy eating meat,I like exploring meatless dishes,I enjoy eating different kinds of meat,I eat foods I like,I get satisfaction from eating meat
16,83,"times, eat meat times, meat times, week, week eat, eat meat, week eat meat, weekly eat, weekly, weekly eat meat",I do intermittent fasting,I eat meat 2-4 times a week,I eat meat less than once a week,I eat meat four to five times weekly,I eat meat five times per week
17,76,"meals, include, include meat, meals meat, meat easy, meat, easy, convenient, include meat meals, meat convenient",Meat tastes great with meals,I cannot cook meat currently,I include meat while breastfeeding,Meat is easy to cook,My meals usually include meat
18,75,"eat meat day, meat day, day, day eat, eat meat, day eat meat, meat day eat, meat daily, daily, eat meat daily",I eat meat almost every day,I eat meat every day,I eat meat almost daily,Eating meat is part of my routine,I eat meat daily
19,74,"taste, taste meat, like taste meat, like taste, love taste, love, love taste meat, like, meat like taste, taste meat like",I like the taste of meat,I did not like pork or beef taste,I love the taste of meat,I dislike strong meaty flavors,I dislike the taste of beef and pork
20,72,"health, believe, believe meat, think, meat believe, meat, health concerns, meat healthy, concerns, eating meat",I am concerned about health problems from meat,I think excess meat is unhealthy,I believe meat is healthy,I believe meat is good for you,I sometimes think about health risks of meat
21,64,"fish, eat fish, eat chicken fish, chicken fish, fish eat, chicken, eat, eat chicken, chicken fish eat, fish eat fish",I rarely eat chicken or fish,Limited fish options available,I incorporate fish weekly,"I eat mainly fish, shrimp, or chicken",I try to eat more fish
22,56,"enjoy taste meat, enjoy taste, taste meat enjoy, meat enjoy taste, enjoy, taste meat, meat enjoy, taste, enjoy flavor, flavor",I enjoy the taste of meat,People around me like the taste of meat,People I know enjoy the taste of meat,I enjoy the flavor of some meats,I enjoy pleasant meat aromas during cooking
23,52,"people, meat people, know, people eat, people eat meat, eat meat people, people know, people know eat, meat people eat, know eat",People I live with eat meat,People around me eat meat,Everyone in my life eats meat,People around me eat a lot of meat,Most people around me eat meat
