key,wave,stance,canvas,topic,topic_conf,assigned_prob
3d1ddc23b606b8c8,1,I eat meat at least once a day,True,14,0.287544737074476,0.287544737074476
3d1ddc23b606b8c8,1,I grew up eating meat at meals,True,20,1.0,1.0
3d1ddc23b606b8c8,1,My parents served meat with dinner,True,1,1.0,1.0
3d1ddc23b606b8c8,1,My family eats meat as main portion,True,1,1.0,1.0
3d1ddc23b606b8c8,1,Meat-eating is a family tradition,True,1,0.14471368053319789,0.14471368053319789
3d1ddc23b606b8c8,1,I feel guilty about eating animals,True,-1,0.07877344107732459,
3d1ddc23b606b8c8,1,My religious beliefs justify eating animals,True,-1,0.09566713220374115,
242bdf6bc5bb0b94,1,I eat meat at least once daily,True,14,0.2866457146228302,0.2866457146228302
242bdf6bc5bb0b94,1,I like the taste of meat,True,18,1.0,1.0
242bdf6bc5bb0b94,1,I have no moral issues eating meat,True,-1,0.10618306487072308,
242bdf6bc5bb0b94,1,I was raised on a farm,True,20,1.0,1.0
242bdf6bc5bb0b94,1,Eating meat is a family tradition,True,1,0.14922048026596638,0.14922048026596638
242bdf6bc5bb0b94,1,Doctor recommended I eat lean beef,True,15,1.0,1.0
242bdf6bc5bb0b94,1,I am chronically anemic,True,11,0.15093011317061292,0.15093011317061292
242bdf6bc5bb0b94,1,Some relatives hunt and eat game meats,True,1,0.45317330468304073,0.45317330468304073
242bdf6bc5bb0b94,1,I sometimes reduce meat due to health issues,True,3,1.0,1.0
242bdf6bc5bb0b94,1,I believe too much meat can harm health,True,8,1.0,1.0
c0ac91fae56c6ec3,1,I eat meat every day,True,-1,0.006762211513669145,
c0ac91fae56c6ec3,1,I like the taste of meat,True,18,1.0,1.0
c0ac91fae56c6ec3,1,I choose chicken and turkey for health,True,2,0.8886763975465319,0.8886763975465319
c0ac91fae56c6ec3,1,I think chicken and turkey are healthier,True,2,1.0,1.0
c0ac91fae56c6ec3,1,I eat lean beef to reduce fat,True,9,1.0,1.0
c0ac91fae56c6ec3,1,I prefer beef for hamburgers and sloppy joes,True,2,0.16306562878562597,0.0874048605419504
c0ac91fae56c6ec3,1,I reduce beef or pork when dieting,True,3,1.0,1.0
c0ac91fae56c6ec3,1,Those around me eat meat regularly,True,0,1.0,1.0
c0ac91fae56c6ec3,1,Social contacts like the taste of meat,True,0,1.0,1.0
8f96fa223f234180,1,I eat meat whenever I choose to,True,-1,0.13240699676669218,
8f96fa223f234180,1,I eat more chicken and fish now,True,2,1.0,1.0
8f96fa223f234180,1,I have tried to cut back on red meat,True,3,0.6068885647653232,0.6068885647653232
8f96fa223f234180,1,I have tried to cut back on processed meat,True,3,0.6949779105863573,0.6949779105863573
8f96fa223f234180,1,I am concerned about my health,True,11,1.0,1.0
8f96fa223f234180,1,I want to improve cholesterol and blood work,True,-1,0.10326269715103661,
8f96fa223f234180,1,I do not control grocery shopping or meal planning,True,-1,0.05289973032039567,
8f96fa223f234180,1,"I am fond of chicken, turkey, and fish",True,2,0.754852780398865,0.754852780398865
24e9f4a8dba444ba,1,I eat meat 1-2 times a day,True,14,0.31582792155570527,0.31582792155570527
24e9f4a8dba444ba,1,I eat a lot of chicken,True,-1,0.21314104809373297,
