key,stance_1,stance_2,llm
3d1ddc23b606b8c8,I eat meat at least once a day,I grew up eating meat at meals,support
3d1ddc23b606b8c8,I eat meat at least once a day,Meat-eating is a family tradition,support
3d1ddc23b606b8c8,I eat meat at least once a day,My family eats meat as main portion,support
3d1ddc23b606b8c8,I grew up eating meat at meals,Meat-eating is a family tradition,support
3d1ddc23b606b8c8,I grew up eating meat at meals,My parents served meat with dinner,support
3d1ddc23b606b8c8,I grew up eating meat at meals,My family eats meat as main portion,support
3d1ddc23b606b8c8,Meat-eating is a family tradition,My family eats meat as main portion,support
3d1ddc23b606b8c8,Meat-eating is a family tradition,My parents served meat with dinner,support
3d1ddc23b606b8c8,I eat meat at least once a day,My religious beliefs justify eating animals,support
3d1ddc23b606b8c8,I eat meat at least once a day,I feel guilty about eating animals,conflict
3d1ddc23b606b8c8,I feel guilty about eating animals,My religious beliefs justify eating animals,conflict
3d1ddc23b606b8c8,I feel guilty about eating animals,Meat-eating is a family tradition,conflict
3d1ddc23b606b8c8,I feel guilty about eating animals,My family eats meat as main portion,conflict
3d1ddc23b606b8c8,I feel guilty about eating animals,I grew up eating meat at meals,conflict
242bdf6bc5bb0b94,Doctor recommended I eat lean beef,I am chronically anemic,support
242bdf6bc5bb0b94,Doctor recommended I eat lean beef,I eat meat at least once daily,support
242bdf6bc5bb0b94,Doctor recommended I eat lean beef,I sometimes reduce meat due to health issues,conflict
242bdf6bc5bb0b94,Eating meat is a family tradition,I eat meat at least once daily,support
242bdf6bc5bb0b94,Eating meat is a family tradition,I was raised on a farm,support
242bdf6bc5bb0b94,Eating meat is a family tradition,Some relatives hunt and eat game meats,support
242bdf6bc5bb0b94,I eat meat at least once daily,I have no moral issues eating meat,support
242bdf6bc5bb0b94,I eat meat at least once daily,I like the taste of meat,support
242bdf6bc5bb0b94,I eat meat at least once daily,I sometimes reduce meat due to health issues,conflict
242bdf6bc5bb0b94,I have no moral issues eating meat,I like the taste of meat,support
242bdf6bc5bb0b94,I have no moral issues eating meat,I sometimes reduce meat due to health issues,support
242bdf6bc5bb0b94,I believe too much meat can harm health,I sometimes reduce meat due to health issues,support
242bdf6bc5bb0b94,I like the taste of meat,I was raised on a farm,support
242bdf6bc5bb0b94,Eating meat is a family tradition,I have no moral issues eating meat,support
242bdf6bc5bb0b94,I eat meat at least once daily,I was raised on a farm,support
242bdf6bc5bb0b94,I am chronically anemic,I sometimes reduce meat due to health issues,conflict
