key,stance_1,stance_2,pairwise
4c0618a1f49cf2e9,I am concerned about animal welfare,I eat chicken regularly,conflict
4c0618a1f49cf2e9,Family has type 2 diabetes,Wild game availability prompts discussions,support
4c0618a1f49cf2e9,I eat wild game from family,Wild game availability prompts discussions,support
4c0618a1f49cf2e9,I am concerned about animal welfare,I avoid processed meat products,support
4c0618a1f49cf2e9,Health is my main motivator,I try to buy organic meat,support
4c0618a1f49cf2e9,Health is my main motivator,I avoid processed meat products,support
4c0618a1f49cf2e9,I avoid processed meat products,I try to buy organic meat,support
4c0618a1f49cf2e9,I eat chicken regularly,I eat wild game from family,support
7965eb39cc1b7b97,I eat meat daily with moderation,My social contacts eat meat for nutrition,support
7965eb39cc1b7b97,I eat meat daily with moderation,My spouse had elevated cholesterol,support
7965eb39cc1b7b97,I eat meat daily with moderation,People I know reduce meat for health reasons,support
7965eb39cc1b7b97,I eat meat for protein and iron,People I know reduce meat for health reasons,conflict
7965eb39cc1b7b97,I eat meat daily with moderation,I eat meat for protein and iron,support
7965eb39cc1b7b97,My social contacts eat meat for nutrition,People I know reduce meat for health reasons,conflict
7965eb39cc1b7b97,I eat meat for protein and iron,I try to reduce cholesterol by eating less meat,conflict
8f96fa223f234180,I am trying to cut processed meats,I want more longevity,support
8f96fa223f234180,I am trying to cut processed meats,I really like processed meats,conflict
8f96fa223f234180,I have tried vegetarian diets,I missed variety in vegetarian menus,conflict
8f96fa223f234180,I am cutting out red meat,I eat mostly chicken and fish,support
8f96fa223f234180,I am trying to cut processed meats,I missed variety in vegetarian menus,no connection
8f96fa223f234180,I am trying to cut processed meats,I think processed meats are more harmful,support
8f96fa223f234180,I noticed health benefits from vegetarian diet,I want more longevity,support
8f96fa223f234180,I really like processed meats,I want better blood work numbers,conflict
8f96fa223f234180,I am trying to cut processed meats,I eat mostly chicken and fish,support
25c3702e02bdfd45,I balance meat intake for health,I want to regulate my weight,support
25c3702e02bdfd45,I enjoy eating meat,I want to regulate my weight,support
25c3702e02bdfd45,I am concerned about sustainability of meat,I enjoy eating meat,conflict
25c3702e02bdfd45,Family traditions involve eating meat,I want to regulate my weight,conflict
25c3702e02bdfd45,Family traditions involve eating meat,I enjoy eating meat,support
25c3702e02bdfd45,I am concerned about meat healthiness,I balance meat intake for health,support
25c3702e02bdfd45,I am concerned about meat healthiness,I want to regulate my weight,support
25c3702e02bdfd45,I am concerned about sustainability of meat,I balance meat intake for health,support
25c3702e02bdfd45,Family traditions involve eating meat,I balance meat intake for health,conflict
b06ebcb759ca3ce4,I eat 'cheat meals' when unprepared,I run out of the right foods sometimes,support
b06ebcb759ca3ce4,I eat 'cheat meals' when unprepared,I restrict my diet to mostly meat,conflict
b06ebcb759ca3ce4,I eat 'cheat meals' when unprepared,I experienced health benefits from eating meat,conflict
b06ebcb759ca3ce4,I experienced health benefits from eating meat,I plan elimination and reintegration diets,support
b06ebcb759ca3ce4,I avoid foods that cause allergies,I lost over 100 pounds eating this way,no connection
b06ebcb759ca3ce4,I follow a ketogenic diet,I was pre-diabetic before changing my diet,support
b06ebcb759ca3ce4,I follow a ketogenic diet,I restrict my diet to mostly meat,support
b06ebcb759ca3ce4,I avoid foods that cause allergies,I experienced health benefits from eating meat,no connection
b06ebcb759ca3ce4,I experienced health benefits from eating meat,I lost over 100 pounds eating this way,no connection
99229f1b414f5809,I choose leaner meat options,My family eats more meat than I do,conflict
99229f1b414f5809,I eat whatever I am craving,Taste motivates me to eat meat,support
99229f1b414f5809,I avoid fatty meats,I eat whatever I am craving,conflict
99229f1b414f5809,I cook meat for family preferences,My family eats more meat than I do,support
99229f1b414f5809,I avoid fatty meats,I choose leaner meat options,support
99229f1b414f5809,I choose leaner meat options,I cook meat for family preferences,conflict
99229f1b414f5809,I avoid fatty meats,I cook meat for family preferences,conflict
99229f1b414f5809,I cook meat for family preferences,I eat whatever I am craving,no connection
99229f1b414f5809,I cook meat for family preferences,Taste motivates me to eat meat,support
bb43950de402cf68,Family usually eats chicken together,I eat meat four to five days weekly,conflict
bb43950de402cf68,I like to try new meats,Limited fish options available,conflict
bb43950de402cf68,Chicken is familiar in my meals,Family usually eats chicken together,support
bb43950de402cf68,Chicken is easy to cook,Limited fish options available,no connection
bb43950de402cf68,Chicken is easy to cook,I like to try new meats,no connection
bb43950de402cf68,Chicken is familiar in my meals,I like to try new meats,no connection
bb43950de402cf68,I eat meat four to five days weekly,Limited fish options available,support
bb43950de402cf68,Chicken is familiar in my meals,I enjoy the taste of meat,no connection
bb43950de402cf68,I enjoy the taste of meat,I like to try new meats,support
5152ad6df864fdab,I want to be healthy,Meat has high protein and low carb,support
5152ad6df864fdab,Cost of meat is expensive,Meat is satisfying and filling,conflict
5152ad6df864fdab,Meat can cause constipation,Meat has high protein and low carb,conflict
5152ad6df864fdab,I want to be healthy,I want to keep muscle strong,support
5152ad6df864fdab,I want to be healthy,Meat is satisfying and filling,support
5152ad6df864fdab,I eat meat multiple times a day,Meat can cause constipation,support
5e00cb1279c86d31,Eating meat is easier than vegetarian meals,I eat meat four or five times weekly,support
5e00cb1279c86d31,I believe humans should eat less meat,I enjoy the taste of meat,no connection
5e00cb1279c86d31,I enjoy the taste of meat,I tried a meat-free diet before,no connection
5e00cb1279c86d31,I believe humans should eat less meat,I tried a meat-free diet before,support
5e00cb1279c86d31,I am an animal lover,I eat meat four or five times weekly,no connection
5e00cb1279c86d31,Eating meat is easier than vegetarian meals,I enjoy the taste of meat,no connection
5e00cb1279c86d31,I am an animal lover,I enjoy the taste of meat,no connection
5e00cb1279c86d31,I enjoy the taste of meat,My sister is vegetarian,no connection
b3f7e055bf4647c4,I have considered eating less meat to save money,I like meat,conflict
b3f7e055bf4647c4,I have considered eating less meat to save money,My family likes meat,conflict
b3f7e055bf4647c4,I have considered eating less meat to save money,I try to find meat on sale,support
b3f7e055bf4647c4,I eat meat most meals,My family likes meat,support
b3f7e055bf4647c4,I eat meat most meals,I like meat,support
b3f7e055bf4647c4,I eat meat most meals,Most close contacts eat meat,no connection
b3f7e055bf4647c4,Most close contacts eat meat,My family likes meat,no connection
b3f7e055bf4647c4,I eat meat most meals,I grew up eating meat,support
b3f7e055bf4647c4,I eat meat most meals,I have considered eating less meat to save money,conflict
ca1edc15c837e28e,I am concerned about meat fat content,I have access to meat alternatives,support
ca1edc15c837e28e,I eat salmon occasionally,I have financial limitations,support
ca1edc15c837e28e,I am concerned about meat fat content,My family stopped eating meat,support
ca1edc15c837e28e,I am concerned about meat fat content,I want to avoid hunger,no connection
ca1edc15c837e28e,I have financial limitations,I want to avoid hunger,support
