key,stance,wave,canvas
3d1ddc23b606b8c8,I eat meat at least once a day,1,True
3d1ddc23b606b8c8,I grew up eating meat at meals,1,True
3d1ddc23b606b8c8,My parents served meat with dinner,1,True
3d1ddc23b606b8c8,My family eats meat as main portion,1,True
3d1ddc23b606b8c8,Meat-eating is a family tradition,1,True
3d1ddc23b606b8c8,I feel guilty about eating animals,1,True
3d1ddc23b606b8c8,My religious beliefs justify eating animals,1,True
242bdf6bc5bb0b94,I eat meat at least once daily,1,True
242bdf6bc5bb0b94,I like the taste of meat,1,True
242bdf6bc5bb0b94,I have no moral issues eating meat,1,True
242bdf6bc5bb0b94,I was raised on a farm,1,True
242bdf6bc5bb0b94,Eating meat is a family tradition,1,True
242bdf6bc5bb0b94,Doctor recommended I eat lean beef,1,True
242bdf6bc5bb0b94,I am chronically anemic,1,True
242bdf6bc5bb0b94,Some relatives hunt and eat game meats,1,True
242bdf6bc5bb0b94,I sometimes reduce meat due to health issues,1,True
242bdf6bc5bb0b94,I believe too much meat can harm health,1,True
c0ac91fae56c6ec3,I eat meat every day,1,True
c0ac91fae56c6ec3,I like the taste of meat,1,True
c0ac91fae56c6ec3,I choose chicken and turkey for health,1,True
c0ac91fae56c6ec3,I think chicken and turkey are healthier,1,True
c0ac91fae56c6ec3,I eat lean beef to reduce fat,1,True
c0ac91fae56c6ec3,I prefer beef for hamburgers and sloppy joes,1,True
c0ac91fae56c6ec3,I reduce beef or pork when dieting,1,True
c0ac91fae56c6ec3,Those around me eat meat regularly,1,True
c0ac91fae56c6ec3,Social contacts like the taste of meat,1,True
8f96fa223f234180,I eat meat whenever I choose to,1,True
8f96fa223f234180,I eat more chicken and fish now,1,True
8f96fa223f234180,I have tried to cut back on red meat,1,True
8f96fa223f234180,I have tried to cut back on processed meat,1,True
8f96fa223f234180,I am concerned about my health,1,True
8f96fa223f234180,I want to improve cholesterol and blood work,1,True
8f96fa223f234180,I do not control grocery shopping or meal planning,1,True
8f96fa223f234180,"I am fond of chicken, turkey, and fish",1,True
24e9f4a8dba444ba,I eat meat 1-2 times a day,1,True
24e9f4a8dba444ba,I eat a lot of chicken,1,True
24e9f4a8dba444ba,Eating meat feels natural to me,1,True
24e9f4a8dba444ba,I have always eaten and cooked with meat,1,True
24e9f4a8dba444ba,My parents cooked with meat,1,True
24e9f4a8dba444ba,Most friends and family eat meat,1,True
24e9f4a8dba444ba,Eating meat is a habit for me,1,True
24e9f4a8dba444ba,I reduce meat when it is expensive,1,True
24e9f4a8dba444ba,I enjoy the challenge of vegetarian cooking,1,True
