key,stance_1,stance_2,canvas
3d1ddc23b606b8c8,I eat meat at least once a day,My parents served meat with dinner,support
3d1ddc23b606b8c8,I eat meat at least once a day,I grew up eating meat at meals,support
3d1ddc23b606b8c8,My family eats meat as main portion,My parents served meat with dinner,support
3d1ddc23b606b8c8,I grew up eating meat at meals,My family eats meat as main portion,support
3d1ddc23b606b8c8,I eat meat at least once a day,My religious beliefs justify eating animals,support
3d1ddc23b606b8c8,Meat-eating is a family tradition,My parents served meat with dinner,support
3d1ddc23b606b8c8,I grew up eating meat at meals,Meat-eating is a family tradition,support
3d1ddc23b606b8c8,Meat-eating is a family tradition,My religious beliefs justify eating animals,support
3d1ddc23b606b8c8,My parents served meat with dinner,My religious beliefs justify eating animals,support
3d1ddc23b606b8c8,I eat meat at least once a day,My family eats meat as main portion,support
3d1ddc23b606b8c8,I grew up eating meat at meals,My religious beliefs justify eating animals,support
3d1ddc23b606b8c8,Meat-eating is a family tradition,My family eats meat as main portion,support
3d1ddc23b606b8c8,I eat meat at least once a day,I feel guilty about eating animals,conflict
3d1ddc23b606b8c8,I feel guilty about eating animals,My parents served meat with dinner,conflict
3d1ddc23b606b8c8,I feel guilty about eating animals,I grew up eating meat at meals,conflict
3d1ddc23b606b8c8,I feel guilty about eating animals,Meat-eating is a family tradition,conflict
3d1ddc23b606b8c8,I feel guilty about eating animals,My family eats meat as main portion,conflict
3d1ddc23b606b8c8,I feel guilty about eating animals,My religious beliefs justify eating animals,conflict
242bdf6bc5bb0b94,I eat meat at least once daily,I like the taste of meat,support
242bdf6bc5bb0b94,I eat meat at least once daily,I have no moral issues eating meat,support
242bdf6bc5bb0b94,I eat meat at least once daily,Some relatives hunt and eat game meats,support
242bdf6bc5bb0b94,Eating meat is a family tradition,I eat meat at least once daily,support
242bdf6bc5bb0b94,I am chronically anemic,I eat meat at least once daily,support
242bdf6bc5bb0b94,I eat meat at least once daily,I was raised on a farm,support
242bdf6bc5bb0b94,I believe too much meat can harm health,I sometimes reduce meat due to health issues,support
242bdf6bc5bb0b94,Doctor recommended I eat lean beef,I eat meat at least once daily,support
242bdf6bc5bb0b94,Doctor recommended I eat lean beef,I believe too much meat can harm health,support
242bdf6bc5bb0b94,I believe too much meat can harm health,I like the taste of meat,conflict
242bdf6bc5bb0b94,I like the taste of meat,I sometimes reduce meat due to health issues,conflict
242bdf6bc5bb0b94,Doctor recommended I eat lean beef,I sometimes reduce meat due to health issues,conflict
242bdf6bc5bb0b94,Eating meat is a family tradition,I believe too much meat can harm health,conflict
242bdf6bc5bb0b94,I believe too much meat can harm health,I was raised on a farm,conflict
242bdf6bc5bb0b94,I believe too much meat can harm health,I have no moral issues eating meat,conflict
242bdf6bc5bb0b94,I believe too much meat can harm health,Some relatives hunt and eat game meats,conflict
242bdf6bc5bb0b94,I am chronically anemic,I sometimes reduce meat due to health issues,conflict
242bdf6bc5bb0b94,I believe too much meat can harm health,I eat meat at least once daily,conflict
c0ac91fae56c6ec3,I choose chicken and turkey for health,I think chicken and turkey are healthier,support
c0ac91fae56c6ec3,I eat lean beef to reduce fat,I prefer beef for hamburgers and sloppy joes,support
c0ac91fae56c6ec3,I eat meat every day,I reduce beef or pork when dieting,support
c0ac91fae56c6ec3,I like the taste of meat,Social contacts like the taste of meat,support
c0ac91fae56c6ec3,I like the taste of meat,Those around me eat meat regularly,support
c0ac91fae56c6ec3,I choose chicken and turkey for health,I think chicken and turkey are healthier,conflict
c0ac91fae56c6ec3,I eat lean beef to reduce fat,I prefer beef for hamburgers and sloppy joes,conflict
c0ac91fae56c6ec3,I eat meat every day,I reduce beef or pork when dieting,conflict
c0ac91fae56c6ec3,I like the taste of meat,Social contacts like the taste of meat,conflict
c0ac91fae56c6ec3,I like the taste of meat,Those around me eat meat regularly,conflict
8f96fa223f234180,"I am fond of chicken, turkey, and fish",I eat meat whenever I choose to,support
8f96fa223f234180,I eat meat whenever I choose to,I eat more chicken and fish now,support
8f96fa223f234180,"I am fond of chicken, turkey, and fish",I eat more chicken and fish now,support
8f96fa223f234180,I have tried to cut back on red meat,I want to improve cholesterol and blood work,support
8f96fa223f234180,I am concerned about my health,I want to improve cholesterol and blood work,support
8f96fa223f234180,I am concerned about my health,I have tried to cut back on red meat,support
8f96fa223f234180,I am concerned about my health,I have tried to cut back on processed meat,support
8f96fa223f234180,I have tried to cut back on processed meat,I want to improve cholesterol and blood work,support
8f96fa223f234180,I do not control grocery shopping or meal planning,I have tried to cut back on red meat,conflict
8f96fa223f234180,I do not control grocery shopping or meal planning,I have tried to cut back on processed meat,conflict
8f96fa223f234180,I do not control grocery shopping or meal planning,I want to improve cholesterol and blood work,conflict
24e9f4a8dba444ba,Eating meat is a habit for me,I have always eaten and cooked with meat,support
24e9f4a8dba444ba,I have always eaten and cooked with meat,My parents cooked with meat,support
24e9f4a8dba444ba,Eating meat is a habit for me,My parents cooked with meat,support
24e9f4a8dba444ba,Eating meat is a habit for me,Most friends and family eat meat,support
24e9f4a8dba444ba,I have always eaten and cooked with meat,Most friends and family eat meat,support
24e9f4a8dba444ba,Most friends and family eat meat,My parents cooked with meat,support
24e9f4a8dba444ba,I get bored with the same meals,I reduce meat when it is expensive,support
24e9f4a8dba444ba,I enjoy the challenge of vegetarian cooking,I get bored with the same meals,support
24e9f4a8dba444ba,I enjoy the challenge of vegetarian cooking,I reduce meat when it is expensive,support
24e9f4a8dba444ba,Eating meat feels natural to me,I have always eaten and cooked with meat,support
24e9f4a8dba444ba,Eating meat feels natural to me,Eating meat is a habit for me,support
24e9f4a8dba444ba,Eating meat is a habit for me,I eat meat 1-2 times a day,support
24e9f4a8dba444ba,I eat meat 1-2 times a day,My parents cooked with meat,support
24e9f4a8dba444ba,I eat meat 1-2 times a day,I have always eaten and cooked with meat,support
24e9f4a8dba444ba,Eating meat feels natural to me,I eat meat 1-2 times a day,support
24e9f4a8dba444ba,Eating meat feels natural to me,I reduce meat when it is expensive,conflict
24e9f4a8dba444ba,I have always eaten and cooked with meat,I reduce meat when it is expensive,conflict
24e9f4a8dba444ba,I reduce meat when it is expensive,My parents cooked with meat,conflict
24e9f4a8dba444ba,Eating meat is a habit for me,I reduce meat when it is expensive,conflict
24e9f4a8dba444ba,Eating meat is a habit for me,I get bored with the same meals,conflict
24e9f4a8dba444ba,I get bored with the same meals,I have always eaten and cooked with meat,conflict
24e9f4a8dba444ba,Eating meat feels natural to me,I get bored with the same meals,conflict
24e9f4a8dba444ba,Eating meat feels natural to me,I enjoy the challenge of vegetarian cooking,conflict
24e9f4a8dba444ba,I enjoy the challenge of vegetarian cooking,I have always eaten and cooked with meat,conflict
24e9f4a8dba444ba,I enjoy the challenge of vegetarian cooking,My parents cooked with meat,conflict
24e9f4a8dba444ba,I eat meat 1-2 times a day,I reduce meat when it is expensive,conflict
5d5930b9486b3aef,Chicken and pork are less expensive than beef,I buy more meat when it is on sale,support
5d5930b9486b3aef,I eat mostly chicken,I prefer chicken and fish,support
5d5930b9486b3aef,I eat mostly chicken,I find chicken easier to digest than beef,support
5d5930b9486b3aef,I find steak hard to chew,I prefer chicken and fish,support
5d5930b9486b3aef,I buy more meat when it is on sale,I prefer chicken and fish,conflict
5d5930b9486b3aef,I eat mostly chicken,I find chicken easier to digest than beef,conflict
5d5930b9486b3aef,I find chicken easier to digest than beef,I find steak hard to chew,conflict
5d5930b9486b3aef,Chicken and pork are less expensive than beef,I buy more meat when it is on sale,conflict
