key,stance_1,stance_2,llm
4c0618a1f49cf2e9,Health is my main motivator,I avoid beef,support
4c0618a1f49cf2e9,Health is my main motivator,I avoid processed meat products,support
4c0618a1f49cf2e9,Health is my main motivator,I eat chicken regularly,support
4c0618a1f49cf2e9,Health is my main motivator,I incorporate fish weekly,support
4c0618a1f49cf2e9,Health is my main motivator,I try to buy organic meat,support
4c0618a1f49cf2e9,Family has type 2 diabetes,Health is my main motivator,support
4c0618a1f49cf2e9,Family has type 2 diabetes,I avoid processed meat products,support
4c0618a1f49cf2e9,Family has type 2 diabetes,I avoid beef,support
4c0618a1f49cf2e9,Family has type 2 diabetes,I eat chicken regularly,support
4c0618a1f49cf2e9,Family has type 2 diabetes,I incorporate fish weekly,support
4c0618a1f49cf2e9,I am concerned about animal welfare,I avoid beef,support
4c0618a1f49cf2e9,I avoid beef,I avoid processed meat products,support
4c0618a1f49cf2e9,I am concerned about animal welfare,I try to buy organic meat,support
4c0618a1f49cf2e9,I am concerned about animal welfare,I avoid processed meat products,support
4c0618a1f49cf2e9,I eat wild game from family,Wild game availability prompts discussions,support
4c0618a1f49cf2e9,I am concerned about animal welfare,I eat wild game from family,support
4c0618a1f49cf2e9,I avoid beef,I eat wild game from family,support
4c0618a1f49cf2e9,I eat chicken regularly,I eat wild game from family,support
4c0618a1f49cf2e9,I eat chicken regularly,I incorporate fish weekly,support
4c0618a1f49cf2e9,I incorporate fish weekly,I try to buy organic meat,support
4c0618a1f49cf2e9,I avoid processed meat products,I try to buy organic meat,support
7965eb39cc1b7b97,I eat meat daily with moderation,I eat meat for protein and iron,support
7965eb39cc1b7b97,I eat meat daily with moderation,I try to reduce cholesterol by eating less meat,support
7965eb39cc1b7b97,I eat meat for protein and iron,I try to reduce cholesterol by eating less meat,conflict
7965eb39cc1b7b97,Eating meat is a cultural habit in my family,I eat meat daily with moderation,support
7965eb39cc1b7b97,I eat meat for protein and iron,My social contacts eat meat for nutrition,support
7965eb39cc1b7b97,Eating meat is a cultural habit in my family,My social contacts eat meat for nutrition,support
7965eb39cc1b7b97,Eating meat is a cultural habit in my family,I eat meat for protein and iron,support
7965eb39cc1b7b97,Eating meat is a cultural habit in my family,People I know reduce meat for health reasons,conflict
7965eb39cc1b7b97,I try to reduce cholesterol by eating less meat,My spouse had elevated cholesterol,support
7965eb39cc1b7b97,I eat meat daily with moderation,People I know reduce meat for health reasons,conflict
7965eb39cc1b7b97,I eat meat for protein and iron,People I know reduce meat for health reasons,conflict
7965eb39cc1b7b97,My social contacts eat meat for nutrition,People I know reduce meat for health reasons,conflict
8f96fa223f234180,I am cutting out red meat,I eat mostly chicken and fish,support
8f96fa223f234180,I am cutting out red meat,I want better blood work numbers,support
8f96fa223f234180,I am cutting out red meat,I want more longevity,support
8f96fa223f234180,I am trying to cut processed meats,I really like processed meats,conflict
