Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,596,OUTLIER,Eating meat is a habit for me,Eating meat is a habit,Doctor recommended I eat lean beef,I eat lean beef to reduce fat,I do not control grocery shopping or meal planning
0,243,"chicken, fish, eat chicken, turkey, eat, chicken fish, chicken turkey, eat fish, prefer, eat chicken fish",I mostly eat chicken,"I regularly eat chicken, fish, and turkey",Chicken is filling and versatile,"I eat mainly fish, shrimp, or chicken",I try to eat more fish
1,225,"family, meat family, family eats, eats, eats meat, family eats meat, meat, eating meat family, eating, tradition",My family eats meat regularly,My family regularly eats meat,My family has always eaten meat,My family ate meat in moderation,My family supports me eating less meat
2,186,"red, red meat, eat red, eat red meat, meat, cut, eating red, eating red meat, avoid red meat, avoid red",Red meat is traditional in my culture,I have health concerns about red meat,I eat red meat a few times yearly,Family has concerns about red meat health effects,I have reduced red meat intake over time
3,146,"want, weight, motivated, diet, healthy, healthier, lose, motivated health, health, lose weight",I want to eat healthier and add variety,I want to gain or keep weight,I want a balanced diet,I seek nutritional balance,I want a more balanced diet
4,140,"reducing, reducing meat, consumption, feel, meat consumption, meat, limit meat, limit, try, reduce",I considered reducing meat for my health,I want to eat less meat for health,I want to eliminate meat from my diet,I am trying to reduce meat consumption,I reduced pork consumption significantly
5,137,"expensive, prices, meat prices, meat expensive, meat, choices, cost, alternatives, buy, meat substitutes",Meat is sometimes expensive,Cost of meat is expensive,High meat prices affect my habits,Non-meat options are not reasonably priced,Meat is cheap
6,137,"vegetarian, vegan, vegetarian meals, vegetarians, meals, options, pescatarian, vegetarian options, friends, years",Becoming vegetarian feels implausible,I experimented with vegetarianism as a teenager,I was curious about being vegetarian,I would like to be vegetarian,My daughter is vegan
7,125,"animal, animal welfare, welfare, concerned animal, concerned animal welfare, animals, concerned, animal welfare concerned, welfare concerned, welfare concerned animal",I am concerned about animal rights,I am concerned about animal welfare,I feel moral unease about eating animals,I consider animal intelligence,I approve eating animals if not cruel
8,109,"health, concerned, concerned health, cholesterol, concerns, health concerns, concerned health concerned, health concerned, diabetes, heart",I have health concerns,I have general health concerns,I am concerned about my health,I am concerned about health impacts,I discuss health risks with my friend
