Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,695,OUTLIER,I enjoy the taste of meat,I eat meat at least once a day,My parents served meat with dinner,I eat meat at least once daily,I like the taste of meat
0,298,"vegetarian, plantbased, vegan, vegetables, meals, husband, wife, alternatives, vegetarian meals, meat alternatives",My husband avoids red meat,My partner avoids eating red meat,My husband eats less red meat,I have vegetarian friends,I occasionally eat vegan and meatless options
1,251,"meat, expensive, meat expensive, prices, choices, meat prices, crave, cost, influences, crave meat",Red meat is expensive,Vegetarian options are unaffordable,High meat prices reduce what I buy,Meat prices are expensive,I think meat prices are too high
2,237,"chicken, fish, eat chicken, eat, turkey, chicken fish, chicken eat, chicken turkey, eat fish, eat chicken fish",I mostly eat chicken,I rarely eat chicken or fish,Chicken is familiar in my meals,I eat mostly chicken and fish,I incorporate fish weekly
3,214,"meat, consumption, red meat, red, limit, meat consumption, cut, try, reducing, reduce",I considered reducing meat for my health,I am open to reducing meat consumption,I have reduced meat per meal,I have cut back on beef,I have cut down on meat
4,201,"avoid, avoid eating, pork, meat avoid, eating, beef, meat, processed, meats avoid, avoid pork",Some family members avoid pork,I avoid eating meat in excess for health,I eat almost no beef,I avoid high animal fat options,I avoid processed meat
5,132,"protein, protein meat, believe, believe meat, meat protein, meat, source, eat meat protein, meat good, healthy",I think meat is a complete protein,I prefer meat protein sources,I eat meat for protein,Meat is a good protein source,I try to get enough protein from meat
6,131,"concerns, health, red meat, red, environmental, unhealthy, health concerns, meat, concerned, impact",I am concerned about the environmental impact of beef,I feel medical advice about meat is misleading,I am concerned about cancer risk from red meat,I am aware of beef’s carbon footprint,I do not trust negative media about meat
7,121,"animal, welfare, animal welfare, concerned animal, concerned animal welfare, concerned, welfare concerned, animal welfare concerned, animals, welfare concerned animal",I am an animal lover,My family values animal welfare,I want animals to have decent lives,I consider animal cruelty in my choices,I believe animals should have ethical lives
8,114,"eat meat, eat, eat meat regularly, meat meals, meat regularly, regularly, meals eat meat, meat regularly eat, meals eat, eat meat meals",I eat meat in most meals,I eat meat with most dinners,I eat meat regularly,I am a heavy meat eater,I eat meat at most meals
9,104,"times, week, meat times, week eat, eat meat times, eat, weekly, week eat meat, weekly eat, times week",I eat meat four to five days weekly,I eat meat three times a week,I eat red meat 3-4 times weekly,I eat meat three to four days weekly,I eat red meat about once a week
10,103,"family, family eats, family eats meat, eats, eats meat, meat family, meat family eats, meat, eats meat family, eats meat regularly",My children eat more meat than I do,My family eats meat daily,My family eats meat regularly,My family prefers steak,My family included meat in daily meals
11,100,"health, cholesterol, concerned health, concerned, concerns, health concerns, concerned health concerned, health concerned, heart, cholesterol concerned",I have health concerns,My husband has health concerns,I am concerned about health impacts,I discuss health risks with my friend,I had colon cancer
12,95,"want, weight, motivated, weight want, lose, motivated health, lose weight, healthy, health, lose weight want",My friends are concerned about weight,I want healthy hair,I want to stay healthy,I want to avoid weight loss,I work out and lift weights
13,93,"protein, want protein, want, protein want, protein want protein, want protein want, need, need protein, protein diet, high protein",I need high protein intake,Protein should be part of my diet,I want to get more protein,I want foods high in protein,I am trying to eat healthier proteins
14,92,"habit, eating, eating meat, meat habit, eating meat habit, meat feels, eating meat feels, meat, feels, natural",I eat meat out of habit,Eating meat feels normal to me,Eating meat feels more natural to me,Eating meat is mostly out of habit,Eating meat feels natural to me
15,85,"community, family, tradition, family tradition, eating, meat, cultural, meat family tradition, eating meat family, eating meat",Red meat is traditional in my culture,Meat is prevalent in my cultural cuisine,Eating meat is cultural in my family,Meat eating is a tradition in my community,Eating meat is a family tradition
16,76,"diet, moderation, balanced, balanced diet, meat moderation, want, variety, eat healthier, mindful, healthier",I am very conscious about my diet,I want variety in my diet,I am more conscious about my diet,I like variety in my food,I like variety in my diet
17,72,"friends, reasons, meat health, family, meat friends, meat, health, meat health reasons, red meat, red",Some family avoid red meat for health,My family does not eat much red meat,Some people avoid meat for dietary reasons,Friends or family sometimes restrict meat for health,My family stopped eating meat
18,64,"contacts, social contacts, social, meat social contacts, meat social, contacts eat, social contacts eat, contacts eat meat, eating meat social, contacts enjoy",Some social contacts are concerned about environment,Social contacts value convenience of meat consumption,My social contacts eat meat for nutrition,Social contacts also eat meat out of habit,Social contacts prefer eating meat
19,63,"friends, friends eat, friends family, friends eat meat, family, meat friends, friends family eat, family eat, eat meat, family eat meat",Most friends eat a lot of meat,Friends and family eat meat regularly,All my friends eat meat,My friends and family eat meat regularly,My friends include meat in their meals
20,63,"grew, grew eating, raised, grew eating meat, eating, eating meat, raised eating, meat grew, raised eating meat, meat grew eating",I was raised eating pork,I grew up eating meat,I grew up eating meat regularly,Southern cuisine was central when growing up,I used to eat meat daily
21,54,"day eat, meat day eat, eat meat day, day eat meat, meat day, day, daily eat, meat daily eat, daily eat meat, eat meat",I eat meat every day,I eat meat most days,I eat meat daily,I eat meat almost daily,I eat meat almost every day
