Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,351,OUTLIER,I eat a lot of chicken,I often do not eat any meat,I eat meat,I eat meat at least once a day,I eat meat at least once daily
0,308,"friends, social, contacts, social contacts, people, friends eat, eat meat, meat social, meat friends, friends eat meat",My friends eat meat for convenience,Multiple friends eat less meat now,People around me eat meat regularly,People around me eat meat,Social contacts prefer eating meat
1,240,"family, family eats, eats, meat family, family eats meat, eats meat, meat family eats, meat, members, parents",My family prefers traditional meat-heavy meals,My family eats meat with me,My family values red meat as prosperity,My family finds red meat convenient,My family also enjoys eating meat
2,210,"consumption, red meat, red, meat consumption, reducing, limit, cut, reducing meat, meat, try",I try to keep meat eating to a minimum,I have cut back on meat,I limit red meat consumption,I eat less beef and steak now,I try to limit red meat
3,130,"chicken, fish, eat chicken, chicken fish, turkey, eat chicken fish, prefer, eat, fish eat, eat fish",Becoming pescatarian is my goal,I eat fish to feel physically and mentally better,I eat more beans and rice,I like the taste of chicken and fish,I interchange meats with fish and chicken
4,127,"plantbased, vegetables, meals, new, vegetarian, vegetarian meals, plantbased meals, balance, balance meat, trying",I sometimes eat no meat,I sometimes enjoy meals without meat,I enjoy vegetables and salads,I eat more plant-based foods,I am happy with vegetarian meals
5,93,"expensive, meat expensive, prices, meat prices, cost, expensive meat, choices, meat expensive meat, limited, meat choices",Red meat is expensive,I am concerned about meat cost,High meat prices reduce what I buy,Meat is expensive at every meal,Meat is expensive
6,88,"concerned health, health, concerned, concerned health concerned, health concerned, concerns, cholesterol, health concerns, health concerned health, heart",I have health concerns,I am concerned about my health,I have dental problems,I am concerned about digestion difficulties,I have stomach issues
7,86,"protein, want protein, protein want, want, protein want protein, want protein want, need, need protein, protein diet, high protein",I want to get enough protein,I want enough protein,I want to consume a lot of protein,I want to consume enough protein,I want to get plenty of protein
8,86,"taste meat, taste, enjoy taste meat, enjoy taste, taste meat enjoy, meat enjoy taste, meat enjoy, enjoy, like taste meat, like taste",I enjoy the taste of meat,I enjoy having steak and ribs,I like the taste of meat,I prefer the taste of meat,I like how meat tastes
9,84,"environmental, impact, environmental impact, concerned, concerned environmental, concerned environmental impact, environment, environmental impact concerned, impact concerned, environment concerned",I am concerned about the environment,I experience environmental concerns,I am concerned about environmental impact,Environmental concerns make me sad,I am curious about environmental impact
