label,n_topics,n_pairs,n_participants,phi_within,phi_between,phi_delta
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,29,435,210,0.133,0.029,0.104
02__qwen3-embedding-0.6b__run_20260210_221633_570b87a6,16,136,210,0.184,0.045,0.139
03__qwen3-embedding-0.6b__run_20260210_221845_49de70a3,30,465,210,0.114,0.018,0.096
04__bert-base-nli-mean-tokens__run_20260210_222655_488612a3,24,300,210,0.157,0.054,0.103
05__all-MiniLM-L6-v2__run_20260210_222351_76cefc5d,24,300,210,0.178,0.041,0.137
06__qwen3-embedding-0.6b__run_20260210_221858_a0d6d680,18,171,210,0.175,0.049,0.125
07__bert-base-nli-mean-tokens__run_20260210_222836_5385f300,20,210,210,0.135,0.043,0.093
08__all-MiniLM-L6-v2__run_20260210_222527_5fffdd10,18,171,210,0.189,0.044,0.145
09__all-MiniLM-L6-v2__run_20260210_222432_3c9714b4,16,136,210,0.225,0.068,0.157
10__all-MiniLM-L6-v2__run_20260210_222517_e0058bf3,24,300,210,0.151,0.029,0.122
