Topic,Count,Name,Representation,Representative_Docs
-1,553,-1_meats_meat_avoid_eat,"['meats', 'meat', 'avoid', 'eat', 'processed', 'iron', 'beef', 'chicken', 'eat beef', 'eating']","['I am concerned about climate change', 'I avoid processed meats', 'I avoid processed meats']"
0,185,0_red_red meat_eat red_eat red meat,"['red', 'red meat', 'eat red', 'eat red meat', 'cut', 'eating red', 'meat', 'eating red meat', 'avoid red', 'avoid red meat']","['I eat less red meat', 'I eat less red meat', 'I eat less red meat']"
1,152,1_family_family eats_eats_family eats meat,"['family', 'family eats', 'eats', 'family eats meat', 'meat family', 'eats meat', 'meat family eats', 'eating meat family', 'meat', 'family members']","['My family eats meat with me', 'My family eats meat', 'All my family eats meat']"
2,141,2_fish_chicken_turkey_eat chicken,"['fish', 'chicken', 'turkey', 'eat chicken', 'chicken fish', 'chicken turkey', 'eat fish', 'eat chicken fish', 'eat', 'fish eat']","['I eat more chicken and fish', 'I eat chicken and fish', 'I eat more chicken and fish']"
3,137,3_vegetarian_vegan_vegetarian meals_vegetarians,"['vegetarian', 'vegan', 'vegetarian meals', 'vegetarians', 'meals', 'options', 'pescatarian', 'vegetarian options', 'years', 'friends']","['I am a vegetarian', 'I became vegetarian', 'I am vegetarian']"
4,103,4_reducing_reducing meat_consumption_meat consumption,"['reducing', 'reducing meat', 'consumption', 'meat consumption', 'considered', 'reduce', 'considered reducing', 'reduce meat', 'reduced', 'reducing meat consumption']","['I have not considered reducing meat', 'I am reducing meat consumption', 'I have not considered reducing meat consumption']"
5,92,5_protein_want protein_protein want_want,"['protein', 'want protein', 'protein want', 'want', 'protein want protein', 'want protein want', 'need', 'protein diet', 'need protein', 'high protein']","['I want to get enough protein', 'I want to get enough protein', 'I want to get enough protein']"
6,87,6_expensive_prices_meat prices_meat expensive,"['expensive', 'prices', 'meat prices', 'meat expensive', 'cost', 'buy meat', 'buy', 'price', 'expensive meat', 'affordable']","['Meat is expensive for me', 'Meat is expensive for me', 'Meat is expensive']"
7,86,7_meals_include_include meat_convenient,"['meals', 'include', 'include meat', 'convenient', 'meat easy', 'easy', 'prepare', 'include meat meals', 'cook', 'meals meat']","['I always include meat in my meals', 'I include meat in most meals', 'I include meat in most meals']"
8,83,8_protein_protein meat_meat protein_source,"['protein', 'protein meat', 'meat protein', 'source', 'eat meat protein', 'protein source', 'source protein', 'high protein', 'protein eat', 'meat good']","['Meat is my go-to protein', 'I get most of my protein from meat', 'I get protein from meat']"
