embed_model_outname,run_id,run_dir,umap_n_neighbors,umap_n_components,umap_min_dist,hdb_min_cluster_size,hdb_min_samples,n_total,n_topics,dbcv,n_outliers,n_topic0,outlier_rate,topic0_ratio,outlier_0_ratio,distortion,mean_assigned_prob
qwen3-embedding-0.6b,20260210_221633_570b87a6,run_20260210_221633_570b87a6,30,10,0.1,75,5,3458,15,0.4314026922441897,551,605,0.15934065934065933,0.1749566223250434,0.3342972816657027,0.14387771110990674,0.5643395327430917
qwen3-embedding-0.6b,20260210_221845_49de70a3,run_20260210_221845_49de70a3,45,2,0.1,50,5,3458,29,0.43016990697357627,517,251,0.1495083863504916,0.07258530942741469,0.2220936957779063,0.1184233370098035,0.7149585034306273
qwen3-embedding-0.6b,20260210_221858_a0d6d680,run_20260210_221858_a0d6d680,45,2,0.1,75,5,3458,17,0.4063435169678874,668,376,0.19317524580682474,0.10873337189126663,0.3019086176980914,0.1397473167134015,0.6655090039036067
qwen3-embedding-0.6b,20260210_221530_6181ad35,run_20260210_221530_6181ad35,15,10,0.1,25,5,3458,48,0.39508050561957675,612,236,0.1769809138230191,0.06824754193175246,0.24522845575477153,0.10599668739718278,0.6998424249034682
qwen3-embedding-0.6b,20260210_221724_c7917687,run_20260210_221724_c7917687,15,2,0.1,25,5,3458,51,0.3602331309023286,603,236,0.17437825332562173,0.06824754193175246,0.2426257952573742,0.10726311300765404,0.7234284008232923
qwen3-embedding-0.6b,20260210_221821_bca1af6c,run_20260210_221821_bca1af6c,30,2,0.1,75,5,3458,16,0.3411569662433819,665,565,0.19230769230769232,0.16338924233661076,0.3556969346443031,0.13776754916802642,0.755139201397187
qwen3-embedding-0.6b,20260210_221608_e342c2c8,run_20260210_221608_e342c2c8,30,10,0.1,25,5,3458,44,0.33788218638594997,492,239,0.14227877385772122,0.0691150954308849,0.21139386928860612,0.10810346030256512,0.636028418091291
qwen3-embedding-0.6b,20260210_221621_7e14f5f4,run_20260210_221621_7e14f5f4,30,10,0.1,50,5,3458,27,0.3375699244266906,444,239,0.12839791787160207,0.0691150954308849,0.197513013302487,0.12527355694106343,0.7097721396575787
qwen3-embedding-0.6b,20260210_221545_b46b0b3d,run_20260210_221545_b46b0b3d,15,10,0.1,50,5,3458,23,0.310446655508581,675,236,0.19519953730480047,0.06824754193175246,0.2634470792365529,0.12988220274641152,0.6862555366253759
qwen3-embedding-0.6b,20260210_221833_996e4291,run_20260210_221833_996e4291,45,2,0.1,25,5,3458,41,0.30455589933543614,424,251,0.12261422787738577,0.07258530942741469,0.19519953730480047,0.11235787904647596,0.6783737106957344
qwen3-embedding-0.6b,20260210_221557_576ab144,run_20260210_221557_576ab144,15,10,0.1,75,5,3458,16,0.2908100446921583,679,444,0.19635627530364372,0.12839791787160207,0.3247541931752458,0.1422897581146449,0.6314427835639661
qwen3-embedding-0.6b,20260210_221757_7e83541c,run_20260210_221757_7e83541c,30,2,0.1,25,5,3458,48,0.2891520267860726,368,504,0.1064198958935801,0.145748987854251,0.25216888374783114,0.10987680322915605,0.6601758108270692
qwen3-embedding-0.6b,20260210_221809_60311038,run_20260210_221809_60311038,30,2,0.1,50,5,3458,25,0.28018921047417544,573,504,0.16570271833429728,0.145748987854251,0.3114517061885483,0.12656014108161992,0.7026207791872975
qwen3-embedding-0.6b,20260210_221646_60749f3b,run_20260210_221646_60749f3b,45,10,0.1,25,5,3458,41,0.260291212231657,446,240,0.12897628687102372,0.06940427993059572,0.19838056680161945,0.10845255982353393,0.5733033104365645
qwen3-embedding-0.6b,20260210_221659_08f5397c,run_20260210_221659_08f5397c,45,10,0.1,50,5,3458,27,0.22367854810638324,498,240,0.14401388085598613,0.06940427993059572,0.21341816078658185,0.11827035175787436,0.6989957830844377
qwen3-embedding-0.6b,20260210_221712_d6dd6eec,run_20260210_221712_d6dd6eec,45,10,0.1,75,5,3458,20,0.15735026409068506,683,361,0.197513013302487,0.1043956043956044,0.3019086176980914,0.13030180067629427,0.7485590058294712
qwen3-embedding-0.6b,20260210_221736_9341fc36,run_20260210_221736_9341fc36,15,2,0.1,50,5,3458,8,0.1462759611629043,150,2702,0.04337767495662233,0.7813765182186235,0.8247541931752458,0.17332047314136464,0.9024505060275629
qwen3-embedding-0.6b,20260210_221746_ad4ca679,run_20260210_221746_ad4ca679,15,2,0.1,75,5,3458,6,0.08387403518579314,201,2702,0.058126084441873914,0.7813765182186235,0.8395026026604974,0.18005360223268269,0.89622702644059
