Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,464,OUTLIER,I enjoy the taste of meat,I grew up eating meat at meals,I like the taste of meat,Doctor recommended I eat lean beef,I eat meat every day
0,879,"meat, red, red meat, avoid, eating, health, pork, eat, consumption, reduce",Red meat is traditional in my culture,I am sensitive about animal harm,Eating meat may cause physical illness,I have stopped eating beef,I have acid reflux from some meats
1,645,"meat, family, eat meat, eat, eats, eating, eating meat, eats meat, meat family, friends",I eat more meat during holidays,I was brought up eating meat,I am conscious of meat amount,I switched to eating meat as an adult,Eating meat is a family tradition
2,380,"want, weight, plantbased, vegetables, meals, healthy, diet, healthier, food, foods",I consider cost when choosing foods,Girlfriend eats similar food at home,I value convenience in meal choices,I make vegetable dishes when daughter visits,My family eats whatever I cook
3,219,"meat, easy, prefer, believe, protein, good, meat easy, eating, meat tastes, meat feels",I think chicken and turkey are healthier,Environmental concerns about eating beef are minimal,"Tender, soft meats are easier to eat",I find meat healthy and nutritious,Eating meat makes me feel better
4,215,"chicken, eat chicken, fish, eat, turkey, chicken fish, beef, chicken turkey, prefer, eat chicken fish",I choose chicken and turkey for health,I am happy with the chicken I eat,"I enjoy eating beef, pork, chicken, seafood",I prefer traditional pork bacon,"I eat steak, chicken, pork, and lunch meat"
5,110,"vegetarian, vegan, vegetarian meals, meals, friends, years, vegetarians, vegetarian vegetarian, vegan vegetarian, vegetarian vegan",My family is vegetarian,My parents are vegetarian,I prepare vegan meals for social occasions,My dad and stepmom are vegetarians,I am happy with vegetarian meals
6,101,"week, times, week eat, eat, meat times, times week, weekly, eat meat times, eat meat, times week eat",I eat meat a few times a week,I eat red meat up to twice a week,I eat meat multiple times a week,I eat red meat 3-4 times weekly,I eat meat at least once daily
7,100,"health, concerned health, concerned, health concerns, concerns, motivated health, motivated, heart, health concerned, concerned health concerned",I have health concerns,My wife has liver issues,My mother is health conscious,I am motivated by health reasons,I am motivated by health advice
8,93,"animal, welfare, animal welfare, concerned animal, concerned animal welfare, animal welfare concerned, welfare concerned, concerned, welfare concerned animal, animals",I am concerned about animal rights,I care about animal welfare,I consider animal intelligence,My mom cares about animal welfare,I am concerned about animal welfare
9,88,"eat meat, eat, meat meals, meat, people, eat meat meals, people know, meals, know, people know eat",Most friends eat a lot of meat,I eat meat for most meals,I eat meat with most meals,Most people around me eat meat,I eat meat most days
10,82,"protein, want protein, want, protein want, want protein want, protein want protein, need, need protein, protein diet, high protein",I need high protein intake,I need protein,I want to get enough protein,I want protein for energy and focus,I try to include more protein
11,82,"concerned, environmental, impact, environmental impact, environment, concerned environmental, concerned environmental impact, environmental impact concerned, impact concerned, concerned environment",I care about sustainability,I am concerned about environmental impact,I am concerned about environmental impacts,I am concerned about the environment,I care about the environment
