Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,839,OUTLIER,I enjoy eating meat,I like the taste of meat,Doctor recommended I eat lean beef,I eat lean beef to reduce fat,I do not control grocery shopping or meal planning
0,292,"chicken, fish, eat chicken, eat, turkey, chicken fish, chicken turkey, eat fish, prefer, beef",I choose chicken and turkey for health,I eat chicken and fish,I primarily eat chicken or turkey,"I enjoy eating chicken, turkey, pork, and fish",We raise chickens for eggs and meat
1,204,"protein, want protein, want, meat protein, source, protein want, protein meat, iron, high protein, protein eat",I believe meat provides necessary protein,I find lean meats easiest for protein,I want to consume enough protein,Meat is a good source of protein,I see meat as a good protein source
2,190,"red, red meat, meat, eat red meat, eat red, cut, eating red, eating red meat, avoid red meat, avoid red",I avoid eating red meat,I avoid red meat and eat white meat,I have reduced red meat intake over time,I avoid red meat,I try to avoid red meat
3,186,"want, weight, motivated, cholesterol, diet, healthy, healthier, lose, motivated health, health",I want to maintain a healthy weight,It is hard to have a different diet,I want a balanced diet,I want to lose or maintain weight,I want to eat healthier
4,180,"family, meat family, family eats, eats, family eats meat, eats meat, friends, eat meat family, meat, family eat",My family eats meat regularly,My family eats meat every day,My family eats meat at every meal,My family eats meat,My family eats similar amounts of meat
5,176,"believe, believe meat, processed, meat, health, concerns, meat believe, meats, ethical, environmental",I think eating a lot of meat is unhealthy,I avoid stories about animal welfare in meat,I consider environmental impacts of eating meat,I believe meat is nutrient-rich,I want to avoid disease from meat
6,158,"expensive, choices, meat, prices, meat prices, meat expensive, alternatives, buy, cost, meat alternatives",Meat is expensive for me,High meat prices affect my habits,Meat is too expensive for my budget,Meat is relatively cheap,Meat is affordable for me
7,135,"vegetarian, vegan, vegetarian meals, vegetarians, meals, options, vegetarian options, pescatarian, friends, years",I lost weight as a vegetarian,Someone in my family is vegan,I was vegetarian for 19 years,I am a vegan,I was vegan or vegetarian for years
8,126,"animal, welfare, animal welfare, concerned animal, animals, concerned animal welfare, concerned, animal welfare concerned, welfare concerned, welfare concerned animal",I am concerned about animal rights,I don't like eating animals,I want animals to have decent lives,I consider animal cruelty in my choices,I believe animals should have ethical lives
9,106,"reducing, reducing meat, consumption, meat consumption, limit meat, meat, limit, try, reduce, considered",I sometimes reduce meat due to health issues,I try to reduce meat consumption,I have reduced meat per meal,I have not considered reducing meat,I am reducing meat consumption
10,98,"meals, meals meat, include, include meat, incomplete, meat, meat meals, meat easy, convenient, incomplete meat",Most dinners I cook include meat,Meat is the meal standard for me,My typical meals usually include meat,Meat is available to cook,I include meat in most meals
11,80,"times, eat meat times, week, meat times, week eat, eat meat, week eat meat, weekly eat, weekly, weekly eat meat",I eat meat multiple times a day,I eat meat a few times weekly,I eat meat four to five times weekly,I eat meat four or five times weekly,I eat meat a couple times a day
12,76,"eat meat day, meat day, day, eat meat, day eat, meat day eat, day eat meat, meat daily, daily, eat meat daily",I eat meat for dinner most days,I eat meat every day,I eat meat almost daily,Eating meat is part of my routine,I eat meat daily
13,73,"environmental, environmental impact, impact, concerned, concerned environmental, environment, concerned environmental impact, environment concerned, concerned environment, impact concerned",I care about sustainability,I am concerned about environmental impact,I want a smaller environmental footprint,I am concerned about environmental impacts,I want to reduce environmental blueprint
14,72,"health, concerned health, concerned, health concerns, concerns, concerned health concerned, health concerned, diabetes, heart, health concerned health",I have health concerns,I am concerned about health impacts,I am concerned about my health,I am concerned about health effects,I am concerned about health
15,64,"contacts, social contacts, social, meat social, meat social contacts, contacts eat, social contacts eat, contacts eat meat, taste meat social, eating meat social",Social contacts are concerned about heart disease,My social contacts enjoy the taste of meat,My social contacts eat meat for nutrition,Social contacts regulate red meat intake,Social contacts prefer eating meat
16,63,"eat meat regularly, meat regularly eat, meat regularly, regularly, regularly eat, regularly eat meat, eat meat, eat, meat eat meat, meat",I eat various meats regularly,I eat meat regularly,I am used to eating meat,I eat wild game meats,I used to eat a lot of meat
17,61,"tradition, family, family tradition, meat family tradition, cultural, eating meat family, meat family, gatherings, eating, social",Eating meat is family tradition,Group outings are seen as special occasions,Meat is central in my family culture,Family gatherings usually include meat,Eating meat is a family tradition
18,61,"enjoy taste meat, enjoy taste, meat enjoy, enjoy, meat enjoy taste, taste meat enjoy, taste meat, taste, texture, texture meat",I enjoy the texture of meat,I enjoy the taste of meat,People I know enjoy the taste of meat,I enjoy the flavor of some meats,I enjoy the versatility of meat
19,60,"eat meat meals, meat meal eat, meal eat, eat meat, meat meals eat, meals eat, meat meal, meal eat meat, eat, eat meat meal",I eat meat most meals,I eat meat at most meals,I eat meat for lunch and dinner,I eat meat with every meal,I eat meat with most dinners
20,55,"grew, grew eating, raised, grew eating meat, raised eating, eating meat, eating, meat grew, raised eating meat, eating meat grew",I was raised eating pork,I grew up eating meat-centered meals,Southern cuisine was central when growing up,I grew up eating a lot of meat,I was brought up eating meat
21,52,"people, meat people, know, people eat, people eat meat, eat meat people, people know, know eat, meat people eat, people know eat",People I live with eat meat,Most people around me eat meat,People around me like the taste of meat,Everyone in my life eats meat,People around me eat a lot of meat
22,51,"feel, better, eating meat, eating, feel better, meat helps, helps, energy, meat, energized",Meat gets tiring when eaten too much,I believe less meat is better for environment,Meat fuels my body,I believe eating less meat helps the environment,I think it's healthier to eat less meat
