Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,668,OUTLIER,I eat meat every day,I eat meat at least once a day,I eat meat at least once daily,I like the taste of meat,I have no moral issues eating meat
0,254,"chicken, fish, eat chicken, eat, turkey, chicken fish, chicken turkey, chicken eat, prefer, eat fish",I mostly eat chicken,My aunts eat more fish for health,I buy fried chicken from stores,I increase chicken and fish for weight loss,I eat a lot of chicken
1,220,"family, friends, meat family, family eats, eats, family eats meat, eats meat, friends eat, meat, friends eat meat",My family eats more meat than I do,Everyone in my family eats meat,Household members want meat for protein,My family eats meat,My family prefers red meat for flavor
2,218,"consumption, meat, red meat, red, meat consumption, try, cut, reduce, reducing, limit",I have reduced how much meat I eat,Hunting saves money on buying meat,I try to cut down on red meat,I reduced pork consumption significantly,I am trying to reduce meat consumption
3,157,"expensive, meat expensive, meat, prices, choices, cost, meat prices, convenient, price, meat easy",Grocery costs are increasing,Meat is too expensive for my budget,The cost of beef is high,I care about the price of meat,Meat for breakfast is expensive
4,148,"protein, believe, protein meat, believe meat, meat protein, meat, source, eat meat protein, incomplete, meat good",I find lean meats easiest for protein,I eat meat for protein,I enjoy the protein in meat,I get most of my protein from meat,I prefer meat protein sources
5,141,"pork, avoid, beef, avoid pork, avoid eating, eating, rarely, picky, meatfree, rarely eat",I try to avoid beef,I avoid eating beef and pork,I avoid pork,Some family do not eat pork,"I avoid beef, pork, and lamb"
6,132,"plantbased, vegetables, vegetarian, alternatives, meals, vegetarian meals, meat alternatives, substitutes, meat substitutes, plantbased meals",I am trying to eat more vegetables,I eat more vegetables now,I lack confidence cooking vegetarian meals,I make vegetable dishes when daughter visits,I will eat more vegetables if prepared deliciously
7,121,"animal, welfare, animal welfare, concerned animal, concerned animal welfare, concerned, welfare concerned, animal welfare concerned, animals, welfare concerned animal",I am an animal lover,I am concerned about animal cruelty,I want animals to have decent lives,I consider animal cruelty in my choices,I believe animals should have ethical lives
8,120,"cook, family, community, tradition, meat, meals, meat family, home, family tradition, cook meat",Red meat is traditional in my culture,Eating meat is family tradition,Eating meat is a family tradition,Meat is central in my family culture,Meat is prevalent in my cultural cuisine
9,111,"concerns, health, red meat, red, environmental, unhealthy, health concerns, meat, concerned, impact",I believe pork is unhealthy,Red meat causes health complications for me,Red meat is unhealthy,I am concerned about hormones in meat,Red meat upsets my stomach
10,105,"health, concerned health, concerned, health concerns, concerns, motivated, motivated health, cholesterol, health concerned, concerned health concerned",I have health concerns,My husband has health concerns,I am concerned about health impacts,I discuss health risks with my friend,I had colon cancer
11,99,"eat meat, eat meat regularly, meat meals, meals eat meat, meat regularly, meals eat, eat, meat meals eat, regularly, eat meat meals",I eat meat for dinner most days,I eat meat for most meals,I eat meat with most meals,My meals usually include meat,I have always eaten meat
12,98,"times, week, meat times, week eat, eat meat times, weekly, eat, week eat meat, weekly eat, times week",I eat red meat occasionally,I eat white meat twice a week,I eat beef occasionally,I eat about five servings of meat a week,I eat meat two to three times weekly
13,98,"diet, balance, balance meat, balanced, moderation, balanced diet, try, want, new, foods",I am very conscious about my diet,I try to eat enough meat,I am more mindful about portion sizes,I am more conscious about my diet,I want a balanced diet
14,93,"protein, want protein, want, protein want, protein want protein, want protein want, need, need protein, protein diet, high protein",I need high protein intake,I want more protein for athletic needs,I need protein for endurance sports,My boyfriend wants a lot of protein,I use other proteins sometimes
15,84,"habit, eating, eating meat, meat habit, eating meat habit, meat feels, eating meat feels, feels, habit eating, habit eating meat",I feel guilty about eating animals,I view eating meat as natural,Eating meat feels more natural to me,I eat meat out of habit,Eating meat is a habit among my friends
16,80,"vegetarian, vegan, vegetarians, friends, years, vegan vegetarian, vegetarian friends, vegetarian vegan, vegans, vegan family",I am influenced by friends eating vegetarian meals,I discuss meat-eating with vegans,I have never known vegetarians personally,I was vegetarian for 19 years,I was raised vegetarian
17,77,"want, weight, weight want, lose, lose weight, healthy, lose weight want, want healthy, want lose, want healthier",I want to stay healthy,I lost significant weight over time,I want healthy hair,I want stronger muscles,I want to avoid weight loss
18,72,"reasons, friends, meat health, meat health reasons, family, health, red meat, red, meat, avoid meat",Some family avoid red meat for health,Friends reduce meat for environmental reasons,Some people avoid meat for dietary reasons,Friends or family sometimes restrict meat for health,Discussions with family prompt eating less meat
19,67,"contacts, social contacts, social, meat social contacts, meat social, contacts eat, contacts eat meat, social contacts eat, taste meat social, eating meat social",Some social contacts are concerned about environment,Most close contacts eat meat,Social contacts regulate red meat intake,Social contacts also eat meat out of habit,Social contacts prefer eating meat
20,66,"avoid, meat avoid, meats avoid, processed, avoid eating, avoid processed, avoid red meat, avoid red, meats, red",I avoid greasy meats,I avoid processed meat,I avoid processed meats,I avoid eating red meats,I avoid too much processed meat
21,63,"grew, grew eating, raised, grew eating meat, raised eating, eating, eating meat, meat grew, raised eating meat, meat grew eating",I was raised eating pork,I was raised eating meat regularly,I grew up eating meat,Southern cuisine was central when growing up,I used to eat meat daily
22,62,"husband, wife, partner, boyfriend, prefers, meat wife, eats, wife eats, meat partner, eating",My husband avoids red meat,My wife prefers red meat,My partner eats less meat now,My husband loves steak and pork,My wife suggests eating less meat
23,54,"crave, crave meat, like, meat crave, available, meat available, meat, cravings, available crave, eat meat available",I eat meat when craving it,I eat what I crave,I eat 'cheat meals' when unprepared,I really like processed meats,I like clean meats
24,50,"enjoy taste meat, enjoy taste, meat enjoy, taste meat enjoy, meat enjoy taste, enjoy, taste meat, taste, meat enjoy flavor, flavor",I enjoy the taste of meat,I enjoy the flavor of meat,I enjoy the flavor of some meats,I enjoy pleasant meat aromas during cooking,I find meat delicious
