Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,492,OUTLIER,Most people I know eat meat,I eat meat at least once a day,My religious beliefs justify eating animals,I eat meat at least once daily,Doctor recommended I eat lean beef
0,225,"family, family eats, eats, meat family, family eats meat, eats meat, meat family eats, parents, meat, meals family",My family loves eating meat,My family finds red meat convenient,My family also enjoys eating meat,My family values meat for nutrition,My family argues for more meat for nutrition
1,216,"chicken, fish, eat chicken, turkey, chicken fish, eat, chicken turkey, prefer, eat fish, chicken eat",I mostly eat chicken,I eat mostly chicken and fish when dining out,I primarily eat chicken and fish,I eat chicken and fish,I prefer chicken and pork to red meat
2,186,"social, contacts, social contacts, friends, people, meat friends, people eat, people eat meat, friends eat, eat meat",I know vegetarians or vegans,Friends are vegetarian for ethical reasons,Social contacts see meat as strength,Social contacts prefer plant-based meals,Exposure to vegetarian recipes through social contacts
3,93,"expensive, meat expensive, prices, cost, meat prices, expensive meat, choices, price, meat expensive meat, limited",Red meat is expensive,Prices of beef have gone up,Meat is expensive at every meal,Rising meat prices,Meat is expensive
4,87,"health, red meat, red, unhealthy, concerns, health concerns, meat unhealthy, health concerns red, meat health concerns, problems",I am concerned about soy and estrogen,I have health concerns about meat,I am concerned about negative health effects of certain meats,I have health concerns about red meat,I am concerned about health effects of meat
5,82,"protein, want protein, protein want, want, protein want protein, want protein want, need, need protein, protein try, protein diet",I want to get enough protein,I want to meet protein needs,I want enough protein,I have a hard time getting enough protein,I want to hit protein goals
6,82,"environmental, impact, environmental impact, concerned, concerned environmental, concerned environmental impact, environment, environmental impact concerned, impact concerned, environment concerned",My sons are concerned about environment,I am concerned about the environment,I am concerned about environmental impact,I am concerned about sustainability,Environmental concerns make me sad
7,79,"wife, husband, partner, prefers, boyfriend, meat husband, meat wife, eats, wife eats, husband prefers",My wife avoids red meat,My significant other has IBS,My wife limits her red meat intake,My partner is also reducing meat consumption,My husband prefers red meat
8,74,"times, week, week eat, meat times, eat meat times, weekly, week eat meat, weekly eat, times week, times week eat",I eat meat five times per week,I eat meat five to six days weekly,I eat meat three to four days weekly,I eat meat one to three times weekly,I eat meat three days a week
9,69,"buy, buy meat, grassfed, sale, prefer, cheap, affordable, ethically, meat sale, grassfed meat",I prefer grass-fed or ethical meat,"I seek organic, pasture-raised, grass-fed meat",I buy meat when it looks good,I look for meat deals when shopping,I prefer animal welfare-friendly meat
10,69,"dislike, rarely, rarely eat, meat dislike, meat rarely, dont, like, meat rarely eat, dislike taste, meat",I dislike yogurt,I do not like meat,I dislike periods without eating meat,I hate the thought of eating meat,I do not support cutting out meat
11,65,"concerned animal, animal, concerned animal welfare, welfare, animal welfare, animal welfare concerned, welfare concerned, welfare concerned animal, concerned, farming",I am concerned about animal welfare,I am aware of animal welfare concerns,Concern for animal welfare,I have concerns about animal welfare,I worry about animal welfare
12,65,"enjoy eating, enjoy eating meat, eating meat enjoy, enjoy, meat enjoy eating, meat enjoy, eating meat, eating, flavor, meat enjoy flavor",I enjoy eating meat,I get satisfaction from eating meat,I enjoy eating venison,I like eating meat,I enjoy eating steak
13,55,"believe meat, believe, meat feels, eating meat feels, feels, natural, nutritious, normal, necessary, meat feels normal",I believe meat is healthy,I think meat is good for health,I believe eating meat is healthy,I believe meat is nutritious,Meat is believed essential for fitness in my group
14,55,"crave, home, crave meat, cook, meat crave, meat available, eat meat available, crave meat crave, meat crave meat, cook meat",I eat meat when craving it,I crave meat during my follicular phase,I am obsessed with being a carnivore,I crave meat during pregnancy,I crave chicken sometimes
15,54,"avoid, avoid eating, pork avoid, pork, avoid red meat, avoid red, pork avoid eating, meat avoid, red meat avoid, avoid eating red",I avoid red meat and pork,I avoid beef,I avoid pork because it feels heavy,I avoid steak and pork,I avoid pork
16,54,"meat easy, easy, convenient, meat convenient, easier, meals, meals meat, meat easy cook, makes meals, satisfying",Meat tastes great with meals,Meat is easy to cook,Most meals contain meat,Meat is easy to get at the store,Meat adds flavor to meals
