key,wave,stance,canvas,topic,topic_conf,assigned_prob
3d1ddc23b606b8c8,1,I eat meat at least once a day,True,0,0.4571300712131858,0.4571300712131858
3d1ddc23b606b8c8,1,I grew up eating meat at meals,True,-1,0.05185665218696054,
3d1ddc23b606b8c8,1,My parents served meat with dinner,True,1,1.0,1.0
3d1ddc23b606b8c8,1,My family eats meat as main portion,True,1,1.0,1.0
3d1ddc23b606b8c8,1,Meat-eating is a family tradition,True,-1,0.09815961914960063,
3d1ddc23b606b8c8,1,I feel guilty about eating animals,True,0,0.5814945021713055,0.5814945021713055
3d1ddc23b606b8c8,1,My religious beliefs justify eating animals,True,0,1.0,1.0
242bdf6bc5bb0b94,1,I eat meat at least once daily,True,0,0.4573839681721831,0.4573839681721831
242bdf6bc5bb0b94,1,I like the taste of meat,True,4,1.0,1.0
242bdf6bc5bb0b94,1,I have no moral issues eating meat,True,0,1.0,1.0
242bdf6bc5bb0b94,1,I was raised on a farm,True,-1,0.05522163057385727,
242bdf6bc5bb0b94,1,Eating meat is a family tradition,True,-1,0.09829882112182838,
242bdf6bc5bb0b94,1,Doctor recommended I eat lean beef,True,0,0.8192457370091935,0.8192457370091935
242bdf6bc5bb0b94,1,I am chronically anemic,True,0,0.7869824302166073,0.7869824302166073
242bdf6bc5bb0b94,1,Some relatives hunt and eat game meats,True,1,0.2759879562036293,0.2759879562036293
242bdf6bc5bb0b94,1,I sometimes reduce meat due to health issues,True,0,1.0,1.0
242bdf6bc5bb0b94,1,I believe too much meat can harm health,True,0,1.0,1.0
c0ac91fae56c6ec3,1,I eat meat every day,True,-1,0.15096212385765748,
c0ac91fae56c6ec3,1,I like the taste of meat,True,4,1.0,1.0
c0ac91fae56c6ec3,1,I choose chicken and turkey for health,True,0,1.0,1.0
c0ac91fae56c6ec3,1,I think chicken and turkey are healthier,True,0,1.0,1.0
c0ac91fae56c6ec3,1,I eat lean beef to reduce fat,True,0,0.799812174609513,0.799812174609513
c0ac91fae56c6ec3,1,I prefer beef for hamburgers and sloppy joes,True,0,1.0,1.0
c0ac91fae56c6ec3,1,I reduce beef or pork when dieting,True,0,1.0,1.0
c0ac91fae56c6ec3,1,Those around me eat meat regularly,True,2,1.0,1.0
c0ac91fae56c6ec3,1,Social contacts like the taste of meat,True,2,0.735538690040609,0.735538690040609
8f96fa223f234180,1,I eat meat whenever I choose to,True,0,0.8335704643825621,0.8335704643825621
8f96fa223f234180,1,I eat more chicken and fish now,True,0,1.0,1.0
8f96fa223f234180,1,I have tried to cut back on red meat,True,0,1.0,1.0
8f96fa223f234180,1,I have tried to cut back on processed meat,True,0,1.0,1.0
8f96fa223f234180,1,I am concerned about my health,True,5,1.0,1.0
8f96fa223f234180,1,I want to improve cholesterol and blood work,True,0,0.1515497021583091,0.1515497021583091
8f96fa223f234180,1,I do not control grocery shopping or meal planning,True,2,0.16993203900560014,0.16993203900560014
8f96fa223f234180,1,"I am fond of chicken, turkey, and fish",True,0,1.0,1.0
24e9f4a8dba444ba,1,I eat meat 1-2 times a day,True,0,0.4560369045387199,0.4560369045387199
24e9f4a8dba444ba,1,I eat a lot of chicken,True,0,0.7007085727790319,0.7007085727790319
24e9f4a8dba444ba,1,Eating meat feels natural to me,True,0,1.0,1.0
24e9f4a8dba444ba,1,I have always eaten and cooked with meat,True,-1,0.047896622827203084,
24e9f4a8dba444ba,1,My parents cooked with meat,True,1,1.0,1.0
24e9f4a8dba444ba,1,Most friends and family eat meat,True,2,0.27329573749929315,0.27329573749929315
24e9f4a8dba444ba,1,Eating meat is a habit for me,True,0,1.0,1.0
24e9f4a8dba444ba,1,I reduce meat when it is expensive,True,0,1.0,1.0
24e9f4a8dba444ba,1,I enjoy the challenge of vegetarian cooking,True,0,1.0,1.0
24e9f4a8dba444ba,1,I get bored with the same meals,True,0,0.9576900915301151,0.9576900915301151
5d5930b9486b3aef,1,I eat mostly chicken,True,0,0.8305919477305075,0.8305919477305075
5d5930b9486b3aef,1,I prefer chicken and fish,True,0,1.0,1.0
5d5930b9486b3aef,1,I find chicken easier to digest than beef,True,0,1.0,1.0
5d5930b9486b3aef,1,I find steak hard to chew,True,0,0.7902019166443558,0.7902019166443558
5d5930b9486b3aef,1,Chicken and pork are less expensive than beef,True,0,0.92152145530404,0.92152145530404
5d5930b9486b3aef,1,I buy more meat when it is on sale,True,0,1.0,1.0
c64e457f6d99d425,1,I eat meat when I feel like it,True,0,0.8771073329505306,0.8771073329505306
c64e457f6d99d425,1,My mood influences what meat I eat,False,0,0.6117744676977102,0.6117744676977102
c64e457f6d99d425,1,I sometimes choose to cut back on meat,True,0,1.0,1.0
c64e457f6d99d425,1,Meat consumption is a personal preference,True,0,0.42120123338026305,0.42120123338026305
0ec83457dd9ad9bb,1,I enjoy eating meat regularly,True,0,0.20764137657733153,0.20764137657733153
0ec83457dd9ad9bb,1,I crave meat,True,0,1.0,1.0
0ec83457dd9ad9bb,1,Meat tastes delicious to me,True,4,1.0,1.0
0ec83457dd9ad9bb,1,Most people I know eat meat regularly,True,-1,0.13861377212149126,
cd254873c8c70b1f,1,I crave meat more during holidays,True,0,1.0,1.0
cd254873c8c70b1f,1,I enjoy eating meat,True,4,1.0,1.0
cd254873c8c70b1f,1,I want to be healthier,True,0,0.5149782491561057,0.5149782491561057
cd254873c8c70b1f,1,I eat more meat at gatherings,True,0,1.0,1.0
cd254873c8c70b1f,1,My family are big meat eaters,True,1,0.8061694674201766,0.8061694674201766
cd254873c8c70b1f,1,My friends enjoy eating meat,True,2,1.0,1.0
cd254873c8c70b1f,1,My brother reduces meat for health reasons,True,-1,0.16774230707068602,
673d057ee91b91d4,1,I eat predominantly meat with each meal,True,0,0.6253406226220394,0.6253406226220394
673d057ee91b91d4,1,I feel better when I eat more meat,True,0,0.7195771789824645,0.7195771789824645
673d057ee91b91d4,1,I follow a low-carb diet,True,0,0.7649423918010586,0.7649423918010586
673d057ee91b91d4,1,I believe meat is essential for health,True,0,1.0,1.0
673d057ee91b91d4,1,I would like to eat less meat,False,0,0.8705406642235225,0.8705406642235225
673d057ee91b91d4,1,My family serves meat at meals,True,1,0.5824097439780043,0.5824097439780043
673d057ee91b91d4,1,Family habits from childhood influence my eating,True,1,1.0,1.0
7cf1b08e24b10350,1,I love eating meat,True,-1,0.008239688747728782,
7cf1b08e24b10350,1,I enjoy cooking meat at home,True,0,0.6956385008833929,0.6956385008833929
7cf1b08e24b10350,1,Meat is expensive for me,True,0,1.0,1.0
7cf1b08e24b10350,1,I eat a lot of chicken,True,0,0.7034680006621388,0.7034680006621388
7cf1b08e24b10350,1,I prefer real meat over substitutes,True,0,1.0,1.0
7cf1b08e24b10350,1,I avoid fast food bacon,True,0,1.0,1.0
7cf1b08e24b10350,1,Chicken is cheap and convenient,True,0,0.9348358186905459,0.9348358186905459
7cf1b08e24b10350,1,My girlfriend loves bacon,True,7,1.0,1.0
7cf1b08e24b10350,1,Family eats more chicken for cost reasons,True,1,1.0,1.0
7cf1b08e24b10350,1,I got food poisoning from fast food bacon,True,0,0.7460926245434085,0.7460926245434085
bd14752573c3fbed,1,I eat meat at most meals,True,0,1.0,1.0
bd14752573c3fbed,1,I like the taste of meat,True,4,1.0,1.0
bd14752573c3fbed,1,I try to have some balance,False,0,0.7311560953882744,0.7311560953882744
bd14752573c3fbed,1,Eating meat is mostly out of habit,True,0,0.3955426848775369,0.3955426848775369
bd14752573c3fbed,1,My family eats similar meals as me,True,1,1.0,1.0
