Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,424,OUTLIER,I love the taste of meat,I am chronically anemic,Some relatives hunt and eat game meats,I prefer beef for hamburgers and sloppy joes,I reduce meat when it is expensive
0,251,"consumption, red meat, red, limit, meat, try, meat consumption, cut, reducing, reduce",I eat red meat less frequently,I cut out red meat for cholesterol,I want to eat less meat for health,I eat less beef than before,I feel healthier eating less meat
1,247,"chicken, fish, eat chicken, turkey, chicken fish, eat, chicken turkey, chicken eat, eat fish, eat chicken fish",I eat more fish and chicken,I used to eat a lot of seafood,I eat chicken and fish,I rarely eat chicken or fish,Chicken does not get stuck in my teeth
2,204,"vegetarian, vegan, vegetables, meals, plantbased, vegetarian meals, picky, options, plantbased meals, eat plantbased",Vegan family member influences some meals,I eat mostly vegetarian dinners,I find plant-based meals easy and light,I include plant-based meals for health,Some days I eat vegetarian meals
3,124,"family, family eats, family eats meat, eats, eats meat, meat family, meat family eats, eats meat family, meat, eats meat regularly",My children eat more meat than I do,My family enjoys eating meat,My family eats meat,My family has mixed meat preferences,My family eats meat frequently
4,123,"husband, wife, friends, reasons, meat health, red meat, red, partner, eats, meat husband",Some family avoid red meat for health,My partner limits meat consumption,My husband likes eating meat,My partner eats less meat now,Friends avoid meat for animal welfare reasons
5,111,"avoid, avoid eating, pork, pork avoid, meats avoid, avoid pork, processed, meat avoid, avoid red meat, avoid red",I avoid red meat and pork,We avoid fast food at home,I avoid eating swine,I avoid fatty and fried meats,I avoid greasy foods
6,108,"expensive, meat expensive, prices, meat prices, cost, price, choices, expensive meat, influences, meat",Non-meat alternatives are often expensive,Meat is expensive,Meat prices are expensive,Cost of meat is expensive,Meat for breakfast is expensive
7,106,"health, cholesterol, concerned health, concerned, concerns, health concerns, health concerned, heart, cholesterol concerned, concerned health concerned",I have health concerns,My health focus has increased with age,I am concerned about my health,I am concerned about health impacts,I discuss health risks with my friend
8,99,"like taste meat, like taste, meat meat, like, taste meat meat, taste meat, meat tastes, tastes, taste, incomplete",Meat keeps me feeling full longer,I think meat is delicious,I like the taste of meat,Meat leaves me feeling satiated,Meat fills me up
9,98,"protein, want protein, protein want, want, protein want protein, want protein want, need, need protein, protein diet, high protein",I want to get enough protein,I want enough protein,I want to consume enough protein,I want to get a lot of protein,I have a hard time getting enough protein
10,89,"environmental, concerned, impact, environmental impact, concerned environmental, environment, concerned environmental impact, impact concerned, environmental impact concerned, environment concerned",I care about sustainability,I care about environmental impact,I care about the environment,I am concerned about environmental impact,I am concerned about food processing and pollution
11,79,"eat meat regularly, meat regularly eat, regularly eat, meat regularly, regularly, regularly eat meat, eat meat, eat, meat eat, meat eat meat",I eat meat regularly,I eat meat regularly at home,I regularly eat meat,I eat meat often,I eat common meat regularly
12,75,"protein, protein meat, meat protein, source, eat meat protein, protein eat, protein source, source protein, protein eat meat, high protein",I choose meat for protein,I eat meat to get protein,I eat meat for protein,I eat more protein that is non-meat,I enjoy the protein in meat
13,71,"habit, meat habit, eating meat habit, eating, eating meat, feels, meat feels, eating meat feels, natural, habit eating meat",Eating meat is a habit,Eating meat is a habit for me,I eat meat out of habit,Meat-eating is ingrained in my lifestyle,Meat-eating is ingrained in our behavior
14,67,"times, week eat, meat times, week, eat meat times, weekly eat, week eat meat, weekly, times week, times week eat",I eat meat three days a week,I eat about five servings of meat a week,I eat meat 2-4 times a week,I eat meat four to five days weekly,I eat meat four or five times weekly
15,66,"crave, crave meat, like, meat crave, meat available, available, like eating, eat meat available, available crave, like eat meat",I eat whatever I am craving,I crave meat during pregnancy,I like meat,I like eating meat,I eat 'cheat meals' when unprepared
