Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,416,OUTLIER,I grew up eating meat,I grew up eating meat at meals,I was raised on a farm,Doctor recommended I eat lean beef,I eat lean beef to reduce fat
0,936,"meat, eat, eat meat, meals, beef, eating, meats, eating meat, health, feel",I eat less beef than before,Meat is the focal point of big meals,Eating too much meat is unhealthy,Meat-based meals are convenient for me,I eat meat at every meal
1,447,"family, meat, friends, social, meat family, contacts, eats, social contacts, eat meat, family eats",Most friends eat a lot of meat,Some social contacts have high cholesterol,My social contacts enjoy the taste of meat,I encourage family to eat organic meat,My family likes to eat meat
2,247,"chicken, fish, eat chicken, eat, turkey, chicken fish, chicken turkey, eat fish, prefer, chicken eat",I eat chicken and fish,"I eat ground turkey, chicken, and catfish",I incorporate fish weekly,I rarely eat chicken or fish,I eat more fish and chicken
3,201,"protein, want, want protein, meat protein, source, protein want, protein meat, iron, high protein, protein eat",I want to consume enough protein,My preference for protein is fish or eggs,I eat meat for protein,I try to include more protein,I enjoy the protein in meat
4,186,"red, red meat, meat, eat red, eat red meat, cut, eating red, eating red meat, avoid, avoid red meat",Red meat is traditional in my culture,I have health concerns about red meat,Working in restaurants discouraged red meat eating,My family does not eat much red meat,I abstain from red meat for months
5,142,"want, weight, motivated, diet, healthy, healthier, health, lose, motivated health, lose weight",I want to be healthier,I want a balanced diet,I want proper nutrition,I want to lose weight,I want variety in my diet
6,137,"vegetarian, vegan, vegetarian meals, meals, vegetarians, options, friends, vegetarian options, pescatarian, years",I sometimes have vegetarian meals,I often choose vegetarian options,I enjoy being a vegetarian,My parents are vegetarian,My nephew is vegan
7,129,"animal, animal welfare, welfare, concerned animal, animals, concerned animal welfare, concerned, welfare concerned, animal welfare concerned, welfare concerned animal",I am concerned about animal rights,I believe animals should have ethical lives,I am in favor of animal rights,I avoid eating intelligent animals,I feel moral unease about eating animals
8,107,"taste meat, taste, enjoy taste meat, enjoy taste, taste meat enjoy, meat enjoy, enjoy, meat enjoy taste, like taste meat, like taste",I like the taste of meat,I enjoy the texture of meat,I enjoy the taste of meat,I like the texture of meat,I love the taste of meat
9,104,"health, concerned, concerned health, cholesterol, concerns, health concerns, concerned health concerned, health concerned, diabetes, heart",I have health concerns,I have experienced serious health issues,I want to lower my cholesterol,I am concerned about my health,I am concerned about health effects
10,86,"environmental, concerned, impact, environmental impact, environment, concerned environmental, concerned environmental impact, impact concerned, environmental impact concerned, environment concerned",I care about sustainability,I am concerned about environmental impact,I want a smaller environmental footprint,I am concerned about environmental impacts,I am not concerned about climate change
11,83,"times, week, eat meat times, meat times, week eat, eat meat, eat, week eat meat, weekly, weekly eat",I do intermittent fasting,I intermittent fast,I eat meat at least once daily,I eat about five servings of meat a week,I limit meat to two or three days weekly
12,83,"enjoy eating, enjoy eating meat, enjoy, meat enjoy eating, eating meat, eating, meat enjoy, eating meat enjoy, meat, love",I enjoy eating meat,I enjoy eating different kinds of meat,I eat foods I like,I get satisfaction from eating meat,I am obsessed with being a carnivore
13,79,"vegetables, plantbased, foods, plantbased meals, plantbased foods, meals, eat plantbased, vegetable, eat vegetables, veggie",One friend eats more fruits and vegetables,I alter meals if others want plant-based,Trying new vegetable recipes excites me,I have easy access to fresh vegetables,I enjoy vegetables and salads
14,75,"eat meat day, meat day, day, eat meat, day eat, day eat meat, meat day eat, meat daily, eat, daily",I eat meat for dinner most days,I eat meat most days,I eat meat almost every day,I eat meat almost daily,Eating meat is part of my routine
