Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,749,OUTLIER,I enjoy the taste of meat,I grew up eating meat at meals,My religious beliefs justify eating animals,I like the taste of meat,Doctor recommended I eat lean beef
0,539,"meat, family, eat meat, eat, eats, eats meat, meat family, eating meat, eating, regularly",I buy meat available at grocery stores,Meat-eating is ingrained in my lifestyle,Eating meat is a family tradition,I eat meat for nutrients,Meat is available to cook
1,465,"want, protein, want protein, diet, weight, plantbased, vegetables, meals, healthy, healthier",I want to get enough protein,Protein is what I'm used to,I make recipes to satisfy family preferences,My social contacts follow similar eating habits,I enjoy vegetables and salads
2,228,"meat, easy, believe, good, meat easy, prefer, protein, eating, meat tastes, meat feels",Meat tastes great with meals,Meat is satisfying and filling,Meat is easy to cook,I view eating meat as natural,I think meat is delicious
3,224,"chicken, eat chicken, fish, eat, turkey, chicken fish, chicken eat, chicken turkey, prefer, beef",I mostly eat chicken,I eat chicken and beef most often,My household mainly eats chicken and turkey,My significant other mostly eats chicken,"I eat chicken, fish, and red meat"
4,214,"meat, dislike, concerned, unhealthy, environmental, eating, concerns, animal, feel, health",I dislike the taste of fish,I dislike soy products,Meat by-products grossed me out,I do not like limiting what I eat,I sometimes feel self-conscious eating all meats
5,198,"reduce, meat, want, consumption, try, eat, want reduce, reduce meat, meat health, reducing",I sometimes reduce meat due to health issues,I try to minimize meat consumption,I want to avoid weight gain,Community members try to eat less red meat,I considered reducing meat for my health
6,168,"avoid, avoid eating, pork, eating, meat avoid, meat, red, avoid meat, red meat, processed",I avoid fatty meats,I live alone,I avoid buying beef at grocery stores,I do not eat fish,I cook separately if not wanting meat
7,118,"times, week, week eat, weekly, eat, meat times, eat meat times, eat meat, weekly eat, times week",I incorporate fish weekly,I have reduced eating meat to every other day,I eat meat multiple times a week,I eat red meat 3-4 times weekly,I eat meat at least once daily
8,112,"vegetarian, vegan, vegetarian meals, meals, friends, years, vegetarians, vegan vegetarian, vegetarian vegetarian, vegetarian vegan",I have tried vegetarian diets,I often choose vegetarian options,I became vegetarian,My husband became vegetarian,Social support encourages vegetarianism
9,101,"health, concerned health, concerned, health concerns, concerns, motivated health, motivated, heart, health concerned, concerned health concerned",I have health concerns,Friends prioritize convenience over health,I am motivated by health reasons,I am motivated by health advice,I am concerned about my health
10,94,"animal, animal welfare, welfare, concerned animal, concerned animal welfare, animal welfare concerned, welfare concerned, concerned, welfare concerned animal, animals",I am concerned about animal rights,I care about animal welfare,I consider animal intelligence,My mom cares about animal welfare,I am concerned about animal welfare
11,87,"eat meat, eat, meat meals, eat meat meals, people, meat, people know, meals, know eat, people know eat",Most friends eat a lot of meat,I eat meat in most meals,I eat meat for most meals,Meat is part of almost every meal locally,I eat meat with most meals
12,83,"rarely, incomplete, rarely eat, feel, meat, eat, meals, incomplete meat, meat rarely, meat feel",I sometimes eat no meat,I sometimes skip meat for meals,I feel a meal is incomplete without meat,I rarely eat red meat,Eating out limits my food choices
13,78,"concerned, environmental, impact, environmental impact, environment, concerned environmental, concerned environmental impact, impact concerned, environmental impact concerned, environment concerned",I care about sustainability,I am concerned about environmental impact,I am concerned about environmental impacts,I am concerned about the environment,I care about the environment
