Topic,Count,Name,Representation,Representative_Docs
-1,389,-1_taste meat_meat_taste_enjoy,"['taste meat', 'meat', 'taste', 'enjoy', 'eating meat', 'eating', 'enjoy taste meat', 'enjoy taste', 'eat meat', 'eat']","['I enjoy the taste of meat', 'I enjoy the taste of meat', 'I enjoy the taste of meat']"
0,1942,0_meat_eat_eat meat_eating,"['meat', 'eat', 'eat meat', 'eating', 'family', 'eating meat', 'red', 'red meat', 'avoid', 'meals']","['I eat less meat than before', 'I do not eat meat', 'I eat less meat than before']"
1,225,1_plantbased_vegetables_meals_diet,"['plantbased', 'vegetables', 'meals', 'diet', 'food', 'eat', 'foods', 'want', 'family', 'healthier']","['I want a balanced diet', 'I want a balanced diet', 'I eat more vegetables now']"
2,222,2_chicken_eat chicken_fish_eat,"['chicken', 'eat chicken', 'fish', 'eat', 'turkey', 'chicken fish', 'chicken turkey', 'chicken eat', 'prefer', 'home']","['I eat chicken most often', 'I mostly eat chicken', 'I eat mostly chicken']"
3,126,3_week_times_eat_week eat,"['week', 'times', 'eat', 'week eat', 'eat meat', 'day', 'day eat', 'meat times', 'weekly', 'meat day']","['I eat meat 2-3 times a week', 'I eat meat several times a week', 'I eat meat several times a week']"
4,106,4_vegetarian_vegan_vegetarian meals_meals,"['vegetarian', 'vegan', 'vegetarian meals', 'meals', 'friends', 'years', 'vegetarians', 'vegetarian vegetarian', 'vegan vegetarian', 'vegetarian vegan']","['I am a vegetarian', 'I am vegetarian', 'I am a vegetarian']"
5,101,5_animal_welfare_animal welfare_concerned animal,"['animal', 'welfare', 'animal welfare', 'concerned animal', 'concerned animal welfare', 'concerned', 'animal welfare concerned', 'welfare concerned', 'welfare concerned animal', 'animals']","['I am concerned about animal welfare', 'I am concerned about animal welfare', 'I am concerned about animal welfare']"
6,100,6_health_concerned health_concerned_health concerns,"['health', 'concerned health', 'concerned', 'health concerns', 'concerns', 'motivated health', 'motivated', 'heart', 'health concerned', 'concerned health concerned']","['I am concerned about my health', 'I am concerned about my health', 'I am concerned about my health']"
7,88,7_want_healthy_weight_healthier,"['want', 'healthy', 'weight', 'healthier', 'want healthy', 'want healthier', 'stay', 'want stay', 'healthy want', 'weight want']","['I want to be healthier', 'I want to be healthy', 'I want to be healthy']"
8,80,8_protein_want protein_want_protein want,"['protein', 'want protein', 'want', 'protein want', 'want protein want', 'protein want protein', 'need', 'need protein', 'protein diet', 'high protein']","['I want to get enough protein', 'I want to get enough protein', 'I want enough protein']"
9,79,9_concerned_environmental_impact_environmental impact,"['concerned', 'environmental', 'impact', 'environmental impact', 'environment', 'concerned environmental', 'concerned environmental impact', 'impact concerned', 'environmental impact concerned', 'environment concerned']","['I am concerned about environmental impact', 'I am concerned about environmental impact', 'I am concerned about environmental impact']"
