embed_model_outname,run_id,run_dir,umap_n_neighbors,umap_n_components,umap_min_dist,hdb_min_cluster_size,hdb_min_samples,n_total,n_topics,dbcv,n_outliers,n_topic0,outlier_rate,topic0_ratio,outlier_0_ratio,distortion,mean_assigned_prob
qwen3-embedding-0.6b,20260207_194841_60311038,run_20260207_194841_60311038,30,2,0.1,50,5,3458,26,0.5458124581502007,664,244,0.1920185078079815,0.0705610179294389,0.2625795257374205,0.1211266776622835,0.7122920828418575
bert-base-nli-mean-tokens,20260207_195652_c4427094,run_20260207_195652_c4427094,15,10,0.1,25,5,3458,40,0.4491117080331216,667,376,0.1928860613071139,0.1087333718912666,0.3016194331983806,0.1435866414731824,0.634702323036594
bge-large-en-v1.5,20260207_195303_88aad651,run_20260207_195303_88aad651,45,2,0.1,25,5,3458,39,0.4479519451757943,428,222,0.123770965876229,0.064198958935801,0.18796992481203,0.1068824352014182,0.5946810752366017
bge-large-en-v1.5,20260207_195329_adbd2d24,run_20260207_195329_adbd2d24,45,2,0.1,75,5,3458,21,0.4244862407480941,693,281,0.2004048582995951,0.0812608444187391,0.2816657027183343,0.120692176305795,0.7580705959275991
all-MiniLM-L6-v2,20260207_195532_884d6d4a,run_20260207_195532_884d6d4a,15,2,0.1,50,5,3458,23,0.4127277849267561,660,358,0.1908617698091382,0.1035280508964719,0.2943898207056102,0.2354939949190812,0.6756138408941552
bert-base-nli-mean-tokens,20260207_195811_ec23d79d,run_20260207_195811_ec23d79d,45,10,0.1,50,5,3458,22,0.4123822759089723,696,402,0.2012724117987276,0.1162521688837478,0.3175245806824754,0.1569557579896486,0.664905785096046
all-MiniLM-L6-v2,20260207_195559_e0058bf3,run_20260207_195559_e0058bf3,30,2,0.1,50,5,3458,24,0.4121770078812982,608,246,0.1758241758241758,0.0711393869288606,0.2469635627530364,0.2156618623644636,0.6582462265297194
bge-large-en-v1.5,20260207_195316_449f58eb,run_20260207_195316_449f58eb,45,2,0.1,50,5,3458,23,0.4092664228666027,635,281,0.1836321573163678,0.0812608444187391,0.264893001735107,0.1174913287331692,0.6586747073407367
bert-base-nli-mean-tokens,20260207_195857_72be4522,run_20260207_195857_72be4522,15,2,0.1,75,5,3458,14,0.3893464445097686,447,915,0.1292654713707345,0.2646038172353961,0.3938692886061307,0.1953423429925114,0.762282704413376
bge-large-en-v1.5,20260207_195019_6c86d3c9,run_20260207_195019_6c86d3c9,15,10,0.1,75,5,3458,15,0.3667145676893752,589,362,0.1703296703296703,0.1046847888953152,0.2750144592249855,0.1352623490432946,0.6175578886420166
