Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,501,OUTLIER,I love the taste of meat,I have no moral issues eating meat,I am chronically anemic,I sometimes reduce meat due to health issues,My mood influences what meat I eat
0,244,"chicken, fish, eat chicken, turkey, chicken fish, eat, chicken eat, chicken turkey, eat fish, eat chicken fish",I choose chicken and turkey for health,I enjoy chicken's versatility and flavors,Traditional meals include ham or turkey,I mainly eat chicken or fish,I want to eat more fish
1,122,"husband, wife, meat health, reasons, meat husband, partner, red meat, red, friends, meat health reasons",Some family avoid red meat for health,My partner avoids eating red meat,No one considers eating less meat,My husband prefers meals with meat,My husband became vegetarian
2,107,"health, concerned health, cholesterol, concerned, health concerned, concerns, health concerns, heart, cholesterol concerned, concerned health concerned",I have health concerns,I want better blood work numbers,I had colon cancer,I am concerned about my health,My family has health challenges
3,94,"protein, want protein, protein want, want, protein want protein, want protein want, need, need protein, protein diet, high protein",I want to get enough protein,I want enough protein,I have a hard time getting enough protein,I want enough protein and nutrients,I want to consume enough protein
4,92,"expensive, meat expensive, prices, cost, meat prices, price, expensive meat, choices, meat expensive meat, availability",Red meat is expensive,Meat is expensive for me,Meat is expensive at every meal,Rising meat prices,Meat is expensive
5,92,"dislike, picky, picky eater, meals, meatfree, eater, like, meat dislike, meatless, skip meat",I am not pressured by others' habits,I do not enjoy eating meat,I do not like meat,I live alone,I cook separately if not wanting meat
6,91,"protein, protein meat, meat protein, source, eat meat protein, protein eat, protein eat meat, protein source, source protein, high protein",I eat beef for high protein,I eat meat for protein,Meat is my main source of protein,I eat meat to get protein,I think animal proteins are easy to replace
7,76,"day eat, day, day eat meat, meat day eat, meat day, eat meat day, daily eat, daily, daily eat meat, meat daily eat",I eat meat every day,I eat meat daily,I eat some kind of meat daily,I eat meat every single day,I eat meat-based meals daily
8,74,"meat meals, meals eat meat, eat meat meals, meat meal, meals eat, meat meals eat, meals, meal, eat meat meal, meat meal eat",Most dinners I cook include meat,I eat meat for most meals,I eat meat at most meals,I eat meat with most meals,I include meat in most meals
9,72,"plantbased, vegetables, plantbased meals, balance, balance meat, eat plantbased, eat vegetables, meals, plantbased foods, include plantbased",I try plant-based options eating out,I consume more plant-based foods,I find plant-based meals easy and light,I eat more plant-based foods,I value creativity in plant-based meals
10,68,"health, health concerns, unhealthy, concerns, meat health concerns, meat unhealthy, red meat, red, concerns red, concerns red meat",I am concerned about meat healthiness,I have health concerns about meat,Family has concerns about red meat health effects,I have health concerns about beef and pork,I am concerned about health problems from meat
11,67,"crave, meat crave, crave meat, like, different, kinds meat, kinds, meat available, available, like eating",I eat meat when craving it,I am obsessed with being a carnivore,Cravings lead to eating more meat,I crave filling meat-based dishes sometimes,I eat meat when it is available
12,66,"friends, family, family friends, friends family, friends family eat, family friends eat, family eat, family eat meat, friends eat, friends eat meat",People I live with eat meat,Most family and friends eat meat,My family and friends eat a lot of meat,Family and friends eat meat regularly,Family and friends eat much more meat
13,63,"grew, grew eating, raised, grew eating meat, raised eating, meat grew, raised eating meat, eating meat, meat grew eating, eating",I grew up eating meat,Southern cuisine was central when growing up,I grew up eating meat regularly,I grew up being told to eat meat,I was raised eating meat regularly
14,63,"motivated, want, motivated health, health, want healthier, healthy, motivated health concerns, want healthy, healthier, want stay",I want to be healthier,I want healthy hair,I want to be as healthy as possible,I want to be healthy,I want more longevity
15,60,"consumption, cut, meat consumption, reduce, reducing, reduced, reducing meat, cut red, cut red meat, cut meat",Limited time sometimes reduces meat consumption,I am trying to reduce meat consumption,I have meatless meals to save money,I focus on reducing meat consumption,I try to cut down on red meat
16,60,"eat meat regularly, meat regularly, meat regularly eat, regularly, regularly eat, regularly eat meat, meat eat meat, meat eat, eat meat, eat",I eat meat regularly,I keep kosher and eat kosher meat,I eat meat regularly at home,I regularly eat meat,I eat meat often
17,56,"meat tastes, tastes, incomplete meat, incomplete, incomplete meat meat, feel, meat tastes good, tastes good, filling, filling meat",Meat helps me feel full,Meat helps me gain weight,Meat makes meals feel substantial to contacts,Meat fills me up,Meat-centered meals feel complete
