key,wave,stance,canvas,topic,topic_conf,assigned_prob
3d1ddc23b606b8c8,1,I eat meat at least once a day,True,31,1.0,1.0
3d1ddc23b606b8c8,1,I grew up eating meat at meals,True,14,1.0,1.0
3d1ddc23b606b8c8,1,My parents served meat with dinner,True,1,0.15780801771932387,0.15780801771932387
3d1ddc23b606b8c8,1,My family eats meat as main portion,True,1,1.0,1.0
3d1ddc23b606b8c8,1,Meat-eating is a family tradition,True,18,1.0,1.0
3d1ddc23b606b8c8,1,I feel guilty about eating animals,True,7,0.4379217557508485,0.4379217557508485
3d1ddc23b606b8c8,1,My religious beliefs justify eating animals,True,7,1.0,1.0
242bdf6bc5bb0b94,1,I eat meat at least once daily,True,31,1.0,1.0
242bdf6bc5bb0b94,1,I like the taste of meat,True,-1,0.03854491077254219,
242bdf6bc5bb0b94,1,I have no moral issues eating meat,True,26,0.23942561988640282,0.23942561988640282
242bdf6bc5bb0b94,1,I was raised on a farm,True,14,1.0,1.0
242bdf6bc5bb0b94,1,Eating meat is a family tradition,True,18,1.0,1.0
242bdf6bc5bb0b94,1,Doctor recommended I eat lean beef,True,2,0.09912621643858907,0.09912621643858907
242bdf6bc5bb0b94,1,I am chronically anemic,True,-1,0.009222985928101217,
242bdf6bc5bb0b94,1,Some relatives hunt and eat game meats,True,1,0.0882927766064572,0.0882927766064572
242bdf6bc5bb0b94,1,I sometimes reduce meat due to health issues,True,2,0.19906982936015633,0.19906982936015633
242bdf6bc5bb0b94,1,I believe too much meat can harm health,True,47,0.1683535116584757,0.1683535116584757
c0ac91fae56c6ec3,1,I eat meat every day,True,37,1.0,1.0
c0ac91fae56c6ec3,1,I like the taste of meat,True,-1,0.03826344536768801,
c0ac91fae56c6ec3,1,I choose chicken and turkey for health,True,0,0.4461440808896528,0.4461440808896528
c0ac91fae56c6ec3,1,I think chicken and turkey are healthier,True,0,0.3185945100778149,0.3185945100778149
c0ac91fae56c6ec3,1,I eat lean beef to reduce fat,True,2,0.1696592921545656,0.1696592921545656
c0ac91fae56c6ec3,1,I prefer beef for hamburgers and sloppy joes,True,0,0.0547427612862959,0.0547427612862959
c0ac91fae56c6ec3,1,I reduce beef or pork when dieting,True,2,0.6338337230285224,0.6338337230285224
c0ac91fae56c6ec3,1,Those around me eat meat regularly,True,22,1.0,1.0
c0ac91fae56c6ec3,1,Social contacts like the taste of meat,True,12,0.8189691061975659,0.8189691061975659
8f96fa223f234180,1,I eat meat whenever I choose to,True,19,0.2171262408626685,0.2171262408626685
8f96fa223f234180,1,I eat more chicken and fish now,True,0,0.8855001333568358,0.8855001333568358
8f96fa223f234180,1,I have tried to cut back on red meat,True,2,1.0,1.0
8f96fa223f234180,1,I have tried to cut back on processed meat,True,2,1.0,1.0
8f96fa223f234180,1,I am concerned about my health,True,4,1.0,1.0
8f96fa223f234180,1,I want to improve cholesterol and blood work,True,-1,0.006741947854828196,
8f96fa223f234180,1,I do not control grocery shopping or meal planning,True,46,0.32247165432182473,0.32247165432182473
8f96fa223f234180,1,"I am fond of chicken, turkey, and fish",True,0,0.8088243049511292,0.8088243049511292
24e9f4a8dba444ba,1,I eat meat 1-2 times a day,True,31,1.0,1.0
24e9f4a8dba444ba,1,I eat a lot of chicken,True,0,1.0,1.0
24e9f4a8dba444ba,1,Eating meat feels natural to me,True,7,1.0,1.0
24e9f4a8dba444ba,1,I have always eaten and cooked with meat,True,11,0.051201290907478714,0.051201290907478714
24e9f4a8dba444ba,1,My parents cooked with meat,True,1,0.3384173703528276,0.3384173703528276
24e9f4a8dba444ba,1,Most friends and family eat meat,True,1,1.0,1.0
24e9f4a8dba444ba,1,Eating meat is a habit for me,True,7,0.19035184763026677,0.19035184763026677
24e9f4a8dba444ba,1,I reduce meat when it is expensive,True,2,1.0,1.0
24e9f4a8dba444ba,1,I enjoy the challenge of vegetarian cooking,True,16,1.0,1.0
24e9f4a8dba444ba,1,I get bored with the same meals,True,5,0.07380641681281777,0.025580995170715957
5d5930b9486b3aef,1,I eat mostly chicken,True,0,1.0,1.0
5d5930b9486b3aef,1,I prefer chicken and fish,True,0,0.5177677011762695,0.5177677011762695
5d5930b9486b3aef,1,I find chicken easier to digest than beef,True,0,0.3376065716903536,0.3376065716903536
5d5930b9486b3aef,1,I find steak hard to chew,True,-1,0.08111252421411427,
5d5930b9486b3aef,1,Chicken and pork are less expensive than beef,True,0,0.41389591217698596,0.41389591217698596
5d5930b9486b3aef,1,I buy more meat when it is on sale,True,35,1.0,1.0
c64e457f6d99d425,1,I eat meat when I feel like it,True,19,0.2474163829680995,0.2474163829680995
c64e457f6d99d425,1,My mood influences what meat I eat,False,-1,0.06533045708402081,
c64e457f6d99d425,1,I sometimes choose to cut back on meat,True,2,1.0,1.0
c64e457f6d99d425,1,Meat consumption is a personal preference,True,19,1.0,1.0
