Topic,Count,Name,Representation,Representative_Docs
-1,642,-1_meat_eating_eating meat_taste meat,"['meat', 'eating', 'eating meat', 'taste meat', 'taste', 'enjoy', 'eat', 'enjoy taste meat', 'enjoy taste', 'enjoy eating']","['I enjoy the taste of meat', 'I enjoy the taste of meat', 'I enjoy the taste of meat']"
0,735,0_meat_red_red meat_avoid,"['meat', 'red', 'red meat', 'avoid', 'eating', 'health', 'pork', 'reduce', 'consumption', 'eating meat']","['I avoid red meat', 'I avoid eating red meat', 'I avoid eating red meat']"
1,510,1_meat_family_eat meat_eat,"['meat', 'family', 'eat meat', 'eat', 'eats', 'eats meat', 'family eats', 'regularly', 'meat regularly', 'protein']","['I eat meat', 'I eat meat often', 'I eat meat']"
2,462,2_want_protein_weight_want protein,"['want', 'protein', 'weight', 'want protein', 'diet', 'plantbased', 'vegetables', 'meals', 'healthy', 'healthier']","['I want to get enough protein', 'I want to get enough protein', 'I want to get enough protein']"
3,254,3_meat_easy_believe_good,"['meat', 'easy', 'believe', 'good', 'prefer', 'meat easy', 'eating', 'protein', 'eating meat', 'meat tastes']","['Meat tastes good', 'Eating meat feels normal to me', 'Eating meat feels normal to me']"
4,201,4_chicken_eat chicken_fish_eat,"['chicken', 'eat chicken', 'fish', 'eat', 'turkey', 'chicken fish', 'chicken turkey', 'chicken eat', 'prefer', 'fish eat']","['I mostly eat chicken', 'I mostly eat chicken', 'I eat mostly chicken']"
5,174,5_eat_eat meat_times_week,"['eat', 'eat meat', 'times', 'week', 'week eat', 'day', 'day eat', 'weekly', 'meat day', 'day eat meat']","['I eat meat a few times a week', 'I eat meat four times a week', 'I eat meat three or four times a week']"
6,109,6_vegetarian_vegan_vegetarian meals_meals,"['vegetarian', 'vegan', 'vegetarian meals', 'meals', 'friends', 'years', 'vegetarians', 'vegetarian vegetarian', 'vegan vegetarian', 'vegetarian vegan']","['I am vegetarian', 'I became vegetarian', 'I am a vegetarian']"
7,106,7_animal_animal welfare_welfare_concerned animal,"['animal', 'animal welfare', 'welfare', 'concerned animal', 'concerned animal welfare', 'concerned', 'animal welfare concerned', 'welfare concerned', 'welfare concerned animal', 'animals']","['I am concerned about animal welfare', 'I am concerned about animal welfare', 'I am concerned about animal welfare']"
8,101,8_health_concerned health_concerned_health concerns,"['health', 'concerned health', 'concerned', 'health concerns', 'concerns', 'motivated health', 'motivated', 'heart', 'health concerned', 'concerned health concerned']","['I am concerned about my health', 'I am concerned about my health', 'I am concerned about health']"
9,86,9_eat meat_eat_meat meals_meat,"['eat meat', 'eat', 'meat meals', 'meat', 'eat meat meals', 'people', 'people know', 'meals', 'know', 'know eat']","['Most people I know eat meat', 'Most people I know eat meat', 'Most people I know eat meat']"
10,78,10_concerned_environmental_impact_environmental impact,"['concerned', 'environmental', 'impact', 'environmental impact', 'environment', 'concerned environmental', 'concerned environmental impact', 'impact concerned', 'environmental impact concerned', 'environment concerned']","['I am concerned about environmental impact', 'I am concerned about environmental impact', 'I am concerned about environmental impact']"
