Topic,Count,Name,Representation,Representative_Docs
-1,428,-1_meat_eat_love taste_love,"['meat', 'eat', 'love taste', 'love', 'eating', 'know', 'love taste meat', 'eat meat', 'eating meat', 'taste']","['I love the taste of meat', 'I love the taste of meat', 'I love the taste of meat']"
0,222,0_family_meat family_family eats_eats,"['family', 'meat family', 'family eats', 'eats', 'family eats meat', 'eats meat', 'meat', 'meat family eats', 'eating meat family', 'tradition']","['My family eats more meat', 'My family eats more meat than I do', 'My family eats meat with me']"
1,204,1_chicken_fish_eat chicken_turkey,"['chicken', 'fish', 'eat chicken', 'turkey', 'chicken fish', 'eat', 'chicken turkey', 'prefer', 'eat fish', 'eat chicken fish']","['I eat chicken and fish', 'I eat chicken and fish', 'I eat more chicken and fish now']"
2,201,2_red meat_consumption_red_limit,"['red meat', 'consumption', 'red', 'limit', 'meat consumption', 'cut', 'meat', 'try', 'reducing', 'reduce']","['I limit red meat consumption', 'I limit red meat consumption', 'I limit red meat consumption']"
3,164,3_avoid_avoid eating_pork_meat avoid,"['avoid', 'avoid eating', 'pork', 'meat avoid', 'dislike', 'meats avoid', 'pork avoid', 'rarely', 'red', 'processed']","['I avoid eating red meat', 'I avoid eating red meat', 'I avoid eating red meat']"
4,139,4_plantbased_vegetables_meals_vegetarian,"['plantbased', 'vegetables', 'meals', 'vegetarian', 'new', 'vegetarian meals', 'plantbased meals', 'meatless', 'balance', 'balance meat']","['I am open to trying new meats', 'I eat more vegetables now', 'I sometimes have vegetarian meals']"
5,108,5_eat meat_meat meals_meals eat_eat,"['eat meat', 'meat meals', 'meals eat', 'eat', 'meals eat meat', 'meat meals eat', 'eat meat meals', 'meat meal', 'meals', 'eat meat meal']","['I eat meat most meals', 'I eat meat for most meals', 'I eat meat at most meals']"
6,107,6_protein_want protein_want_protein want,"['protein', 'want protein', 'want', 'protein want', 'protein want protein', 'want protein want', 'need', 'need protein', 'high protein', 'protein diet']","['I want to get enough protein', 'I want more protein', 'I want to get enough protein']"
7,99,7_expensive_meat expensive_prices_cost,"['expensive', 'meat expensive', 'prices', 'cost', 'meat prices', 'expensive meat', 'choices', 'price', 'limited', 'meat choices']","['Meat is expensive for me', 'Meat can be expensive for me', 'Meat is too expensive']"
8,98,8_health_concerned health_concerned_concerns,"['health', 'concerned health', 'concerned', 'concerns', 'cholesterol', 'health concerns', 'health concerned', 'concerned health concerned', 'concerned cholesterol', 'heart']","['I am concerned about my health', 'I am concerned about health', 'I am concerned about my health']"
9,97,9_protein meat_meat easy_easy_protein,"['protein meat', 'meat easy', 'easy', 'protein', 'meat', 'source', 'easier', 'source protein', 'good', 'source protein meat']","['Meat is a good source of protein', 'Meat is a good source of protein', 'Meat is a good source of protein']"
10,95,10_times_week_week eat_meat times,"['times', 'week', 'week eat', 'meat times', 'eat meat times', 'weekly', 'weekly eat', 'week eat meat', 'weekly eat meat', 'times week eat']","['I eat meat a few times a week', 'I eat meat a few times a week', 'I eat meat four or five times a week']"
11,92,11_buy_cook_home_choose,"['buy', 'cook', 'home', 'choose', 'grassfed', 'prefer', 'buy meat', 'meats', 'different', 'leaner']","['I buy meat when it is on sale', 'I buy meat on sale', 'I buy more meat when it is on sale']"
12,89,12_diet_food_balanced_balanced diet,"['diet', 'food', 'balanced', 'balanced diet', 'picky', 'variety', 'picky eater', 'mindful', 'foods', 'want balanced']","['I want a balanced diet', 'I want a balanced diet', 'I want a more balanced diet']"
13,88,13_environmental_concerned_impact_environmental impact,"['environmental', 'concerned', 'impact', 'environmental impact', 'concerned environmental', 'environment', 'concerned environmental impact', 'environment concerned', 'impact concerned', 'environmental impact concerned']","['I am concerned about environmental impact', 'I am concerned about environmental impact', 'I am concerned about environmental impact']"
14,86,14_taste meat_taste_enjoy taste meat_enjoy taste,"['taste meat', 'taste', 'enjoy taste meat', 'enjoy taste', 'taste meat enjoy', 'meat enjoy taste', 'meat enjoy', 'enjoy', 'like taste meat', 'like taste']","['I enjoy the taste of meat', 'I enjoy the taste of meat', 'I enjoy the taste of meat']"
15,82,15_wife_husband_partner_prefers,"['wife', 'husband', 'partner', 'prefers', 'boyfriend', 'eats', 'meat wife', 'meat husband', 'husband prefers', 'wife eats']","['My wife prefers red meat', 'My husband prefers eating meat', 'My wife eats the same as I do']"
16,79,16_grew_grew eating_raised_grew eating meat,"['grew', 'grew eating', 'raised', 'grew eating meat', 'raised eating', 'raised eating meat', 'meat grew', 'eating', 'eating meat', 'meat grew eating']","['I grew up eating meat', 'I grew up eating meat', 'I grew up eating meat']"
17,75,17_health_red meat_red_concerns,"['health', 'red meat', 'red', 'concerns', 'health concerns', 'unhealthy', 'meat unhealthy', 'health concerns red', 'meat health concerns', 'problems']","['I have health concerns about red meat', 'I have health concerns about red meat', 'I have health concerns about red meat']"
18,65,18_social_contacts_social contacts_meat social,"['social', 'contacts', 'social contacts', 'meat social', 'meat social contacts', 'contacts eat', 'contacts eat meat', 'social contacts eat', 'taste meat social', 'circle']","['My social contacts eat meat regularly', 'Social contacts eat meat regularly', 'Most social contacts eat meat']"
19,63,19_enjoy eating_enjoy eating meat_meat enjoy eating_eating meat enjoy,"['enjoy eating', 'enjoy eating meat', 'meat enjoy eating', 'eating meat enjoy', 'enjoy', 'meat enjoy', 'eating meat', 'eating', 'meat love eating', 'eating meat love']","['I enjoy eating meat', 'I enjoy eating meat', 'I enjoy eating meat']"
20,62,20_concerned animal_animal_concerned animal welfare_animal welfare,"['concerned animal', 'animal', 'concerned animal welfare', 'animal welfare', 'welfare', 'welfare concerned', 'animal welfare concerned', 'concerned', 'welfare concerned animal', 'factory']","['I am concerned about animal welfare', 'I am concerned about animal welfare', 'I am concerned about animal welfare']"
21,62,21_want_weight want_weight_lose,"['want', 'weight want', 'weight', 'lose', 'lose weight', 'lose weight want', 'healthy', 'want lose', 'want healthier', 'healthier want']","['I want to lose weight', 'I want to lose weight', 'I want to lose weight']"
22,57,22_animal_animals_welfare_animal welfare,"['animal', 'animals', 'welfare', 'animal welfare', 'care', 'care animal', 'care animal welfare', 'animal suffering', 'suffering', 'rights']","['I care about animal welfare', 'I care about animal welfare', 'I care about animal welfare']"
23,53,23_meat protein_protein_eat meat protein_protein eat,"['meat protein', 'protein', 'eat meat protein', 'protein eat', 'protein eat meat', 'meat protein eat', 'iron', 'eat meat', 'eat', 'protein meat']","['I eat meat to get protein', 'I eat meat for protein', 'I eat meat for protein']"
24,46,24_friends_friends eat_friends eat meat_meat friends,"['friends', 'friends eat', 'friends eat meat', 'meat friends', 'vegetarian', 'friends enjoy', 'meals friends', 'vegetarians', 'meat friends eat', 'vegan friends']","['My friends eat meat regularly', 'My friends eat meat', 'My friends often eat meat']"
25,44,25_eat meat regularly_regularly_meat regularly_meat regularly eat,"['eat meat regularly', 'regularly', 'meat regularly', 'meat regularly eat', 'regularly eat', 'regularly eat meat', 'eat meat', 'eat', 'meat', 'meat routine']","['I eat meat regularly', 'I eat meat regularly', 'I eat meat regularly']"
26,44,26_day eat_day_meat day eat_day eat meat,"['day eat', 'day', 'meat day eat', 'day eat meat', 'meat day', 'eat meat day', 'daily', 'daily eat', 'meat daily', 'meat daily eat']","['I eat meat every day', 'I eat meat every day', 'I eat meat every day']"
27,42,27_community_friends_friends family_friends family eat,"['community', 'friends', 'friends family', 'friends family eat', 'family eat meat', 'family eat', 'friends eat', 'common', 'family friends', 'family']","['My friends and family eat meat regularly', 'Most of my friends and family eat meat regularly', 'All my friends and family eat meat regularly']"
28,40,28_believe meat_believe_nutritious_necessary,"['believe meat', 'believe', 'nutritious', 'necessary', 'health believe meat', 'health believe', 'essential', 'meat healthy', 'meat good', 'think meat']","['I believe meat is nutritious', 'I believe meat is nutritious', 'I believe meat is nutritious']"
29,40,29_habit_meat habit_eating meat habit_habit eating meat,"['habit', 'meat habit', 'eating meat habit', 'habit eating meat', 'habit eating', 'eating meat', 'eating', 'meateating', 'meat habit eating', 'animals eating']","['Eating meat is mostly out of habit', 'Eating meat is a habit for me', 'Eating meat is a habit for me']"
30,35,30_feel_helps_meat helps_energy,"['feel', 'helps', 'meat helps', 'energy', 'energy meat', 'meat fills', 'fills', 'meat gives', 'gives', 'feel meat']","['Meat helps me feel energized and healthy', 'Meat helps me feel full', 'Meat helps me feel full']"
31,35,31_crave_meat crave_crave meat_meat crave meat,"['crave', 'meat crave', 'crave meat', 'meat crave meat', 'crave meat crave', 'eat meat crave', 'like eat meat', 'like eat', 'meat feel', 'feel']","['I crave meat', 'I eat meat if I crave it', 'I eat meat when I crave it']"
32,35,32_friends_avoid meat_reasons_reasons friends,"['friends', 'avoid meat', 'reasons', 'reasons friends', 'meat friends', 'meat health', 'friends avoid', 'social contacts avoid', 'contacts avoid', 'avoid']","['Some social contacts avoid meat for animal welfare', 'Social contacts avoid meat for health reasons', 'Some social contacts avoid meat for health reasons']"
33,33,33_motivated_motivated health_health_motivated health concerns,"['motivated', 'motivated health', 'health', 'motivated health concerns', 'health concerns', 'concerns', 'health concerns motivated', 'motivated health reasons', 'concerns motivated', 'reasons motivated']","['I am motivated by health concerns', 'I am motivated by health concerns', 'I am motivated by health concerns']"
34,33,34_environmental_impact_environmental impact_environmental concerns,"['environmental', 'impact', 'environmental impact', 'environmental concerns', 'meat aware', 'environmental impact meat', 'impact meat', 'production', 'aware', 'concerns']","['I am concerned about the environmental impact of beef', 'I consider environmental impact of meat', 'I consider environmental impact of meat']"
35,33,35_mom_son_daughter_vegetarian,"['mom', 'son', 'daughter', 'vegetarian', 'mother', 'vegetarian daughter', 'eats', 'reasons', 'vegetarian son', 'son vegetarian']","['My son is vegetarian', 'My mom eats less meat now', 'My mom eats less meat for health reasons']"
36,28,36_people_people eat_people eat meat_meat people,"['people', 'people eat', 'people eat meat', 'meat people', 'meat people eat', 'eat meat people', 'meat regularly people', 'regularly people', 'eat meat', 'close']","['People around me eat meat', 'Most people around me eat meat', 'People around me eat meat often']"
37,28,37_feel_incomplete_incomplete meat_meat feel,"['feel', 'incomplete', 'incomplete meat', 'meat feel', 'meal incomplete meat', 'meal incomplete', 'feel meal incomplete', 'feel meal', 'feel incomplete', 'meals feel']","['I feel a meal is incomplete without meat', 'I feel a meal is incomplete without meat', 'I feel a meal is incomplete without meat']"
38,27,38_vegetarian_vegan_benefits_health benefits,"['vegetarian', 'vegan', 'benefits', 'health benefits', 'tried', 'vegetarian tried', 'currently vegetarian', 'vegetarian tried vegetarian', 'vegan currently vegetarian', 'tried vegetarian']","['I am vegetarian', 'I am vegetarian', 'I became vegetarian']"
