Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,428,OUTLIER,I love the taste of meat,I feel guilty about eating animals,I have no moral issues eating meat,I eat meat whenever I choose to,I want to improve cholesterol and blood work
0,222,"family, meat family, family eats, eats, family eats meat, eats meat, meat, meat family eats, eating meat family, tradition",My family also enjoys eating meat,My family eats meat regularly,Family prefers foods with beef,Taste motivates my family to eat meat,Meat fills my family up faster
1,204,"chicken, fish, eat chicken, turkey, chicken fish, eat, chicken turkey, prefer, eat fish, eat chicken fish","I eat ground turkey, chicken, and catfish",I interchange meats with fish and chicken,"I eat mainly fish, shrimp, or chicken",I increase chicken and fish for weight loss,I eat a lot of chicken and fish
2,201,"red meat, consumption, red, limit, meat consumption, cut, meat, try, reducing, reduce",I eat red meat less frequently,I ate little meat after pregnancy,I try to limit red meat,I eat less red meat,I try to reduce meat consumption
3,164,"avoid, avoid eating, pork, meat avoid, dislike, meats avoid, pork avoid, rarely, red, processed",I dislike the taste of beef and pork,I avoid fatty and fried meats,I avoid lab-grown and 3D-printed meat,I am unwilling to butcher cows or pigs,I did not like pork or beef taste
4,139,"plantbased, vegetables, meals, vegetarian, new, vegetarian meals, plantbased meals, meatless, balance, balance meat",I include vegetables for health,Plant-based foods are filling,I eat more plant-based options,I try plant-based options eating out,I appreciate plant-based meals are less expensive
5,108,"eat meat, meat meals, meals eat, eat, meals eat meat, meat meals eat, eat meat meals, meat meal, meals, eat meat meal",I eat meat for most meals,I follow a mostly animal-based diet,I usually eat meat at dinner,I eat meat with most dinners,My typical meals usually include meat
6,107,"protein, want protein, want, protein want, protein want protein, want protein want, need, need protein, high protein, protein diet",I want to get enough protein,I want enough protein,I want to meet protein needs,I want to get plenty of protein,I want enough protein and nutrients
7,99,"expensive, meat expensive, prices, cost, meat prices, expensive meat, choices, price, limited, meat choices",Cost of meat is expensive,Eating less meat is hard in this economy,I am aware meat costs can be high,High meat prices reduce what I buy,Meat is expensive at every meal
8,98,"health, concerned health, concerned, concerns, cholesterol, health concerns, health concerned, concerned health concerned, concerned cholesterol, heart",I have health concerns,I am concerned about health,I had colon cancer,I am concerned about my health,My husband has health concerns
9,97,"protein meat, meat easy, easy, protein, meat, source, easier, source protein, good, source protein meat",Meat is usually included in dinners,Meat is always present in grocery stores,Meat is convenient for meal prep,Meat is convenient,"Tender, soft meats are easier to eat"
10,95,"times, week, week eat, meat times, eat meat times, weekly, weekly eat, week eat meat, weekly eat meat, times week eat",I have meat-free days each week,I eat meat a few times a week,I eat meat three to four times weekly,I eat meat three or four times a week,I eat meat four times a week
11,92,"buy, cook, home, choose, grassfed, prefer, buy meat, meats, different, leaner",I buy meat when it looks good,I try to buy organic meat,I vary meat based on what is on sale,I prefer sourcing meat from local producers,I cook meat by baking or grilling
