Topic,Count,Name,Representation,Representative_Docs
-1,696,-1_meat_eating_eating meat_eat,"['meat', 'eating', 'eating meat', 'eat', 'taste', 'taste meat', 'eat meat', 'like', 'meals', 'regularly']","['I eat meat often', 'I eat mostly meat', 'I mostly eat meat']"
0,402,0_avoid_meat_eating_reduce,"['avoid', 'meat', 'eating', 'reduce', 'red', 'meat health', 'red meat', 'reasons', 'avoid eating', 'pork']","['I avoid eating red meat', 'I avoid eating red meat', 'I avoid red meat for health reasons']"
1,297,1_family_meat_eats_eats meat,"['family', 'meat', 'eats', 'eats meat', 'family eats', 'regularly', 'meat regularly', 'eat meat', 'family eats meat', 'eat']","['My family eats meat regularly', 'My family eats meat regularly', 'My family eats meat regularly']"
2,259,2_meat_health_dislike_unhealthy,"['meat', 'health', 'dislike', 'unhealthy', 'eating', 'choices', 'concerned', 'concerns', 'environmental', 'feel']","['Red meat is unhealthy', 'I believe red meat is unhealthy', 'I believe red meat is unhealthy']"
3,194,3_vegetables_diet_plantbased_food,"['vegetables', 'diet', 'plantbased', 'food', 'meals', 'foods', 'eat', 'habits', 'want', 'balanced']","['I want a more balanced diet', 'I want a balanced diet', 'I eat more vegetables now']"
4,190,4_meat_easy_believe_good,"['meat', 'easy', 'believe', 'good', 'meat easy', 'prefer', 'protein', 'meat tastes', 'tastes', 'meat feels']","['Meat tastes good to me', 'Eating meat feels normal to me', 'Eating meat feels normal to me']"
5,181,5_chicken_eat chicken_fish_turkey,"['chicken', 'eat chicken', 'fish', 'turkey', 'chicken fish', 'eat', 'chicken turkey', 'prefer', 'chicken eat', 'eat chicken fish']","['I mostly eat chicken', 'I eat mostly chicken', 'I mostly eat chicken']"
6,118,6_times_week_week eat_weekly,"['times', 'week', 'week eat', 'weekly', 'meat times', 'eat', 'eat meat times', 'weekly eat', 'times week', 'eat meat']","['I eat meat 2-3 times a week', 'I eat meat several times a week', 'I eat meat four times a week']"
7,110,7_vegetarian_vegan_vegetarian meals_meals,"['vegetarian', 'vegan', 'vegetarian meals', 'meals', 'friends', 'years', 'vegetarians', 'vegetarian vegetarian', 'vegan vegetarian', 'vegetarian vegan']","['I am vegetarian', 'I am a vegetarian', 'I am vegetarian']"
8,100,8_health_concerned health_health concerns_concerned,"['health', 'concerned health', 'health concerns', 'concerned', 'concerns', 'motivated health', 'motivated', 'heart', 'health concerned', 'concerned health concerned']","['I am concerned about my health', 'I am concerned about health', 'I am concerned about my health']"
9,95,9_animal_animal welfare_welfare_concerned animal,"['animal', 'animal welfare', 'welfare', 'concerned animal', 'concerned animal welfare', 'welfare concerned', 'animal welfare concerned', 'welfare concerned animal', 'concerned', 'animals']","['I am concerned about animal welfare', 'I am concerned about animal welfare', 'I am concerned about animal welfare']"
10,85,10_eat meat_eat_meat meals_eat meat meals,"['eat meat', 'eat', 'meat meals', 'eat meat meals', 'people', 'people know', 'people know eat', 'know eat', 'know', 'meals']","['Most people I know eat meat', 'Most people I know eat meat', 'Most people I know eat meat']"
11,84,11_want_healthy_weight_want healthy,"['want', 'healthy', 'weight', 'want healthy', 'want healthier', 'healthier', 'weight want', 'stay', 'want stay', 'healthy want']","['I want to stay healthy', 'I want to be healthy', 'I want to be healthy']"
12,80,12_protein_want protein_want_protein want,"['protein', 'want protein', 'want', 'protein want', 'want protein want', 'protein want protein', 'need', 'need protein', 'high protein', 'protein diet']","['I want enough protein', 'I want to get enough protein', 'I want to get enough protein']"
13,79,13_concerned_environmental_impact_environmental impact,"['concerned', 'environmental', 'impact', 'environmental impact', 'environment', 'concerned environmental', 'concerned environmental impact', 'environmental impact concerned', 'impact concerned', 'environment concerned']","['I am concerned about environmental impact', 'I am concerned about environmental impact', 'I am concerned about environmental impact']"
14,70,14_red meat_red_limit red_limit red meat,"['red meat', 'red', 'limit red', 'limit red meat', 'red meat consumption', 'meat', 'limit', 'cut red meat', 'cut red', 'consumption']","['I limit red meat consumption', 'I limit red meat consumption', 'I limit red meat consumption']"
15,68,15_enjoy taste meat_enjoy taste_enjoy_taste meat,"['enjoy taste meat', 'enjoy taste', 'enjoy', 'taste meat', 'taste meat enjoy', 'meat enjoy', 'meat enjoy taste', 'taste', 'meat', 'flavor']","['I enjoy the taste of meat', 'I enjoy the taste of meat', 'I enjoy the taste of meat']"
16,66,16_protein_meat protein_eat meat protein_protein meat,"['protein', 'meat protein', 'eat meat protein', 'protein meat', 'protein eat meat', 'protein eat', 'eat meat', 'meat', 'meat protein eat', 'meat provides']","['I eat meat for protein', 'I eat meat for protein', 'I eat meat for protein']"
17,64,17_meat_crave_eat meat_crave meat,"['meat', 'crave', 'eat meat', 'crave meat', 'eat', 'meat available', 'people eat', 'people', 'meat filling', 'people eat meat']","['People around me eat meat', 'I eat meat', 'I eat meat']"
18,58,18_enjoy eating_enjoy eating meat_meat enjoy eating_enjoy,"['enjoy eating', 'enjoy eating meat', 'meat enjoy eating', 'enjoy', 'meat enjoy', 'eating meat enjoy', 'eating meat', 'eating', 'meat love', 'eating meat love']","['I enjoy eating meat', 'I enjoy eating meat', 'I enjoy eating meat']"
19,57,19_day_day eat_eat meat day_meat day,"['day', 'day eat', 'eat meat day', 'meat day', 'meat day eat', 'day eat meat', 'daily eat', 'daily', 'meat daily', 'meat daily eat']","['I eat meat almost every day', 'I eat meat every day', 'I eat meat every day']"
20,53,20_rarely_rarely eat_eat_meals,"['rarely', 'rarely eat', 'eat', 'meals', 'meat', 'meat eat', 'meatless', 'limited', 'rarely eats', 'eat smaller']","['I rarely eat meat at home', 'I rarely eat beef', 'I rarely eat meat']"
21,52,21_expensive_meat expensive_prices_expensive meat,"['expensive', 'meat expensive', 'prices', 'expensive meat', 'meat prices', 'expensive meat expensive', 'meat expensive meat', 'high', 'red meat expensive', 'high meat prices']","['Meat is expensive', 'Meat is too expensive', 'Meat is sometimes expensive']"
