Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,963,OUTLIER,I enjoy eating meat,I grew up eating meat at meals,I have no moral issues eating meat,I was raised on a farm,Doctor recommended I eat lean beef
0,246,"chicken, fish, eat chicken, eat, turkey, chicken fish, chicken turkey, eat fish, prefer, beef",I eat chicken and fish,I try to eat more fish,I eat salmon occasionally,Limited fish options available,I eat mostly chicken and fish
1,234,"family, meat family, family eats, eats, family eats meat, meat, eats meat, friends, family eat, friends family",My children eat more meat than I do,My family all eat meat,My family eats meat daily,One family member eats only white meat,My family eats more meat
2,215,"meat, feel, reducing, eating, reducing meat, eating meat, consumption, beef, eat meat, meat consumption",I want to eat less meat,I aspire to eat less meat,Limited time sometimes reduces meat consumption,I reduced pork consumption significantly,I wish I ate less meat
3,209,"protein, want protein, want, meat protein, source, protein want, protein meat, iron, high protein, high",I want to consume enough protein,I need protein for workouts,I want stronger muscles,I want more protein,I get most of my protein from meat
4,176,"expensive, meat, choices, prices, meat prices, meat expensive, alternatives, buy, substitutes, meat alternatives",I include meat by personal choice,Meat choices depend on beef sales,Meat is affordable for me,The cost of living affects my choices,I switch meat types due to cost
5,168,"red, red meat, meat, eat red, eat red meat, eating red, eating red meat, avoid, avoid red meat, avoid red",I still consume red meat,I used to like eating red meat,My wife prefers red meat,I substitute red meat with alternatives,My husband prefers red meat
6,135,"vegetarian, vegan, vegetarian meals, vegetarians, meals, options, friends, pescatarian, vegetarian options, years",Eating vegetarian is cheaper for me,I was vegan or vegetarian for years,My parents are vegetarian,I partake in vegan meals at family gatherings,I lack vegan recipes I like
7,127,"animal, welfare, animal welfare, concerned animal, animals, concerned animal welfare, concerned, animal welfare concerned, welfare concerned, welfare concerned animal",I am concerned about animal rights,I am concerned about animal cruelty,I feel guilty about animal suffering,I want animals to have decent lives,I consider animal cruelty in my choices
8,126,"meals, believe, meat, believe meat, filling, include, include meat, meat easy, meat healthy, easy",Most recipes I know use meat,I include meat in most meals,Meat goes well with foods like pasta or rice,Meat is usually included in dinners,I prefer easy-to-cook meats
9,114,"want, weight, diet, healthy, lose, healthier, lose weight, diet want, weight want, cholesterol",I am very conscious about my diet,I aim for dietary balance,I want to lose weight,"We focus on a varied, balanced diet",I want better health
10,113,"taste meat, taste, enjoy taste meat, meat enjoy, enjoy taste, taste meat enjoy, enjoy, meat enjoy taste, like taste meat, like taste",I like the taste of meat,I enjoy the taste of meat,I love the taste of meat,My friends enjoy the flavor of meat,I enjoy the flavor of some meats
11,111,"meals, eat, meal, eat meat, eat meat meals, meat meals, meat meal, meat, eat meat meal, incomplete",I eat smaller portions of meat,I eat meat for most meals,I feel a meal is incomplete without meat,I plan to continue eating meat,I eat meat for nutrients
12,103,"health, concerned, concerned health, concerns, cholesterol, health concerns, concerned health concerned, health concerned, diabetes, heart",I have health concerns,I am concerned about health effects,I have high cholesterol,I am concerned about health,I am concerned about my health
13,94,"processed, health, meats, avoid, processed meats, meat, avoid processed, concerns, health concerns, think",I avoid processed meats,I am concerned about meat fat content,I am unwilling to butcher cows or pigs,I think excess meat is unhealthy,I am concerned about hormones in meat
14,86,"environmental, concerned, impact, environmental impact, environment, concerned environmental, concerned environmental impact, impact concerned, environmental impact concerned, environment concerned",I care about sustainability,I am concerned about environmental impact,I want a smaller environmental footprint,I am concerned about environmental impacts,I am not concerned about climate change
15,84,"times, week, eat meat times, meat times, week eat, eat meat, eat, week eat meat, weekly eat, weekly",I eat meat four or five times weekly,I eat meat at least once a day,I eat meat at least once daily,I eat about five servings of meat a week,I limit meat to two or three days weekly
16,77,"friends, community, meat friends, friends eat, friends eat meat, meat, meals, gatherings, include, include meat",Most friends eat a lot of meat,People in my household eat more meat,Most friends have similar meat-eating habits,I live in Texas where meat-eating is common,Friends buy fresh meat from local farmers
17,77,"eat meat day, meat day, day, eat meat, day eat, day eat meat, meat day eat, meat daily, daily, eat meat daily",I eat meat for dinner most days,I eat meat every day,I eat meat almost daily,Eating meat is part of my routine,I eat meat daily
