key,wave,n_nodes,n_edges,n_pairs,pairs_support,pairs_conflict,pairs_both,density,mean_degree,centralization,transitivity
3d1ddc23b606b8c8,1,7,18,18,12,6,0,0.86,5.14,0.2,0.8
242bdf6bc5bb0b94,1,10,18,18,9,9,0,0.4,3.6,0.61,0.33
c0ac91fae56c6ec3,1,9,10,5,0,0,5,0.14,1.11,0.14,0.0
8f96fa223f234180,1,8,11,11,8,3,0,0.39,2.75,0.24,0.71
24e9f4a8dba444ba,1,10,26,26,15,11,0,0.58,5.2,0.39,0.74
5d5930b9486b3aef,1,6,8,6,2,2,2,0.4,2.0,0.3,0.0
c64e457f6d99d425,1,3,3,2,1,0,1,0.67,1.33,1.0,0.0
0ec83457dd9ad9bb,1,4,2,2,2,0,0,0.33,1.0,0.67,0.0
cd254873c8c70b1f,1,7,12,12,4,8,0,0.57,3.43,0.6,0.5
673d057ee91b91d4,1,6,8,8,7,1,0,0.53,2.67,0.4,0.56
7cf1b08e24b10350,1,10,8,8,5,3,0,0.18,1.6,0.33,0.0
bd14752573c3fbed,1,7,6,6,4,2,0,0.29,1.71,0.53,0.0
2a27143cb3ff288a,1,6,9,8,4,3,1,0.53,2.67,0.4,0.79
99229f1b414f5809,1,8,11,10,6,3,1,0.36,2.5,0.29,0.33
41f4d247212a91b7,1,10,13,13,7,6,0,0.29,2.6,0.75,0.37
5abe20da31c1510b,1,8,6,6,4,2,0,0.21,1.5,0.48,0.0
e0b75643b94ce352,1,10,4,4,4,0,0,0.09,0.8,0.17,0.0
98326b74d660f5fd,1,4,5,5,2,3,0,0.83,2.5,0.33,0.75
3e8a40a8a3361337,1,4,5,5,2,3,0,0.83,2.5,0.33,0.75
5fee709bfe55faf2,1,9,17,17,10,7,0,0.47,3.78,0.68,0.65
d91dfb759b5c056c,1,8,4,4,3,1,0,0.14,1.0,0.19,0.0
25c3702e02bdfd45,1,10,8,8,5,3,0,0.18,1.6,0.19,0.0
b8eba67020022d75,1,10,12,12,7,5,0,0.27,2.4,0.22,0.12
53cf43f573cc8f32,1,9,10,10,7,3,0,0.28,2.22,0.29,0.4
e0b47f3f6a91ab2e,1,10,13,13,7,6,0,0.29,2.6,0.33,0.54
e04998f79adab146,1,7,3,3,2,1,0,0.14,0.86,0.27,0.0
fd51071022fe231c,1,9,11,11,6,5,0,0.31,2.44,0.25,0.32
5152ad6df864fdab,1,8,10,10,6,4,0,0.36,2.5,0.29,0.33
3adb7e8ae191bee6,1,8,6,6,5,1,0,0.21,1.5,0.29,0.0
79908652a256d33e,1,9,5,5,3,2,0,0.14,1.11,0.14,0.0
405ae83ad699f77e,1,7,4,4,3,1,0,0.19,1.14,0.43,0.0
f1109e14be29a5d7,1,8,9,9,5,4,0,0.32,2.25,0.52,0.0
e16f233f154de5f7,1,9,14,14,6,8,0,0.39,3.11,0.79,0.4
7965eb39cc1b7b97,1,9,9,9,9,0,0,0.25,2.0,0.0,0.0
7819704fed235622,1,9,12,11,10,0,1,0.31,2.44,0.41,0.12
c314920d84ff0215,1,6,15,14,10,3,1,0.93,4.67,0.1,0.92
520db7eff8e356ca,1,6,7,7,7,0,0,0.47,2.33,0.8,0.4
aa0f860caa6662ef,1,7,10,10,5,5,0,0.48,2.86,0.27,0.39
b06ebcb759ca3ce4,1,7,3,3,3,0,0,0.14,0.86,0.27,1.0
b88f86ad894a422f,1,7,5,5,5,0,0,0.24,1.43,0.37,0.0
04311d2ad745c4c6,1,8,6,6,6,0,0,0.21,1.5,0.67,0.0
74ee6a013b1d50b3,1,7,8,8,5,3,0,0.38,2.29,0.4,0.21
8bcf4a8ef4be7cba,1,7,5,5,3,2,0,0.24,1.43,0.37,0.0
abe8e3027db90040,1,10,10,10,8,2,0,0.22,2.0,0.14,0.0
cb76d03be5d6b3ac,1,10,12,12,10,2,0,0.27,2.4,0.22,0.43
97f6aaf7d17e1706,1,9,16,16,9,7,0,0.44,3.56,0.71,0.47
ca1edc15c837e28e,1,9,8,8,5,3,0,0.22,1.78,0.52,0.5
11e5443a9c9c5d6e,1,7,7,7,4,3,0,0.33,2.0,0.47,0.27
901b1e68b9a21d2e,1,9,19,19,11,8,0,0.53,4.22,0.29,0.53
62db37d23852862b,1,8,14,14,7,7,0,0.5,3.5,0.48,0.35
fe0757521e1d3e76,1,7,13,10,5,2,3,0.48,2.86,0.5,0.41
edc04ff5e481112b,1,9,22,20,11,7,2,0.56,4.44,0.25,0.7
06a4dd916c731ccf,1,7,4,4,2,2,0,0.19,1.14,0.2,0.0
df3aa70f59b84ff1,1,6,5,5,3,2,0,0.33,1.67,0.4,0.6
cb4fa8f65ecfa814,1,7,5,5,4,1,0,0.24,1.43,0.6,0.0
9fc1c0064ceb93cd,1,9,12,10,6,2,2,0.28,2.22,0.45,0.16
bdb2c3e399606ce4,1,9,10,10,8,2,0,0.28,2.22,0.93,0.18
61766c21a780a6d9,1,8,2,2,2,0,0,0.07,0.5,0.29,0.0
333a4e955656276f,1,7,8,8,4,4,0,0.38,2.29,0.63,0.53
72148bfd1d0973af,1,7,8,4,0,0,4,0.19,1.14,0.2,0.0
bb43950de402cf68,1,9,17,16,7,8,1,0.44,3.56,0.55,0.4
90a26c5862848d7f,1,9,10,10,7,3,0,0.28,2.22,0.77,0.21
f8610fec106ff80d,1,9,8,8,4,4,0,0.22,1.78,1.0,0.0
ccae674b4ff562be,1,4,3,3,3,0,0,0.5,1.5,1.0,0.0
56bf7903d2e713c7,1,9,10,8,3,3,2,0.22,1.78,0.2,0.55
13acdf8c5c78ff2c,1,7,4,3,1,1,1,0.14,0.86,0.27,0.0
a92d69730b8c4ae0,1,9,6,5,3,1,1,0.14,1.11,0.14,0.0
761f1ce0efbbce9e,1,8,7,7,7,0,0,0.25,1.75,0.43,0.0
82db7bf9aab23ea9,1,8,11,11,6,5,0,0.39,2.75,0.62,0.11
cac06cf49267cb04,1,10,14,14,10,4,0,0.31,2.8,0.44,0.44
f9ac4b8a3e8bbb4e,1,9,28,28,23,5,0,0.78,6.22,0.29,0.82
b96bd44f593949b7,1,9,7,7,4,3,0,0.19,1.56,0.39,0.0
d0948831f2fd6c9a,1,9,9,9,9,0,0,0.25,2.0,0.96,0.1
bcaf50d01f330313,1,9,3,3,3,0,0,0.08,0.67,0.05,
5cac8fe98f0a075d,1,10,9,8,7,0,1,0.18,1.6,0.61,0.0
f59ad690cbd0e6c3,1,9,4,4,3,1,0,0.11,0.89,0.18,0.0
a7f9aa7ea5df8acf,1,7,10,10,10,0,0,0.48,2.86,0.73,0.58
05dc9cc1ea5a74bc,1,9,7,7,5,2,0,0.19,1.56,0.07,0.0
a22e24bd1aef3c96,1,10,14,14,6,8,0,0.31,2.8,0.72,0.37
7aa3b079e2dda8a1,1,6,4,4,2,2,0,0.27,1.33,0.5,0.6
b382256ca5a24f97,1,9,5,5,2,3,0,0.14,1.11,0.3,0.0
6d94ac5f05b3776e,1,7,9,9,4,5,0,0.43,2.57,0.33,0.57
d626dfd972cd0a7d,1,9,10,10,10,0,0,0.28,2.22,0.77,0.11
7eefc6f2e7826814,1,4,5,5,2,3,0,0.83,2.5,0.33,0.75
44bb0706ca255d7e,1,8,9,9,6,3,0,0.32,2.25,0.33,0.19
8c30dfbb7ee2fbe8,1,8,20,20,10,10,0,0.71,5.0,0.38,0.75
721f6be7c6c2c5e8,1,10,13,13,13,0,0,0.29,2.6,0.19,0.23
b2db432aa5f7dbbc,1,8,6,6,5,1,0,0.21,1.5,0.1,0.0
5f03a63347991312,1,10,9,9,8,1,0,0.2,1.8,0.86,0.0
971e17af6c60aec7,1,7,16,16,9,7,0,0.76,4.57,0.1,0.71
