Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
-1,466,OUTLIER,I enjoy eating meat,I grew up eating meat at meals,I was raised on a farm,Those around me eat meat regularly,I want to improve cholesterol and blood work
0,1144,"meat, eat, eat meat, eating, eating meat, meals, beef, feel, meats, health",I am concerned about soy and estrogen,I try to reduce cholesterol by eating less meat,I eat meat most meals,I tried a meat-free diet before,I believe humans should eat less meat
1,239,"chicken, fish, eat chicken, eat, turkey, chicken fish, chicken turkey, eat fish, chicken eat, fish eat",I choose chicken and turkey for health,I eat chicken and beef most often,I prefer cooking chicken and fish at home,I eat more chicken and turkey,I occasionally eat fish and yogurt
2,207,"protein, want, want protein, meat protein, source, protein want, protein meat, iron, high protein, protein eat",I include plant-based proteins in meals,I have trouble getting protein elsewhere,Protein is important to me,Protein content of alternatives matters to me,I seek alternative protein sources
3,202,"family, meat family, family eats, eats, family eats meat, eats meat, meat, eating meat family, eating, tradition",My children eat more meat than I do,My family eats meat daily,My family eats more meat,My family serves meat with every meal,I eat meat with mother and grandmother
4,185,"red, red meat, meat, eat red, eat red meat, cut, eating red, eating red meat, avoid, avoid red meat",I eat less red meat,I love eating red meat,I crave red meat occasionally,My family finds red meat convenient,Working in restaurants discouraged red meat eating
5,137,"vegetarian, vegan, vegetarian meals, meals, vegetarians, options, friends, vegetarian options, pescatarian, years",I tried being vegetarian,I enjoy being a vegetarian,I lack vegan recipes I like,My nephew is vegan,My dad and stepmom are vegetarians
6,130,"animal, animal welfare, welfare, concerned animal, animals, concerned animal welfare, concerned, animal welfare concerned, welfare concerned, welfare concerned animal",I am concerned about animal rights,I believe animals should have ethical lives,I am in favor of animal rights,I avoid eating intelligent animals,I feel moral unease about eating animals
7,115,"health, concerned health, concerned, motivated, health concerns, concerns, motivated health, financial limitations, diabetes, limitations",I have health concerns,I am concerned about my health,I am concerned about health,My mother is health conscious,I am motivated by health reasons
8,111,"taste meat, taste, meat enjoy, enjoy taste meat, enjoy taste, taste meat enjoy, enjoy, meat enjoy taste, like taste meat, like taste",I like the taste of meat,I enjoy the taste of meat,I like the texture of meat,I love the taste of meat,I enjoy the versatility of meat
9,102,"want, weight, diet, healthy, healthier, weight want, lose, lose weight, diet want, want healthier",I want to avoid hunger,I want to gain or keep weight,I aim for dietary balance,I am trying to lose weight,I want to lose weight
10,98,"friends, friends eat, friends eat meat, meat friends, friends family, eat meat, family, friends family eat, family friends, family eat",Most friends eat a lot of meat,Household shares same meat-eating habits,Friends have restrictive diets or picky eating,My family and friends eat meat with every meal,Most friends have similar meat-eating habits
11,86,"environmental, concerned, impact, environmental impact, environment, concerned environmental, concerned environmental impact, impact concerned, environmental impact concerned, environment concerned",I care about sustainability,I am concerned about environmental impact,I want a smaller environmental footprint,I am concerned about environmental impacts,I am not concerned about climate change
12,81,"times, week, eat meat times, meat times, week eat, eat meat, week eat meat, eat, weekly eat, weekly",I do intermittent fasting,I have meat-free days each week,I eat about five servings of meat a week,I limit meat to two or three days weekly,I eat meat two to three times weekly
13,79,"contacts, social contacts, social, meat social, meat social contacts, contacts eat, contacts eat meat, social contacts eat, friends, meat",Social contacts are concerned about heart disease,Social contacts watch their weight,Friends avoid chemical additives in food,Social contacts follow the same meat habits,My social contacts do not limit meat at all
14,76,"eat meat day, meat day, day, eat meat, day eat, meat day eat, day eat meat, meat daily, eat, daily",I eat meat for dinner most days,I eat meat every day,I eat meat almost daily,Eating meat is part of my routine,I eat meat daily
